'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/10/2025,2.4,1.0, ,15.2,6.9,99,64,7.95,14.83
HAMILTON AIRPORT,02/10/2025,2.0,6.4, ,12.7,5.3,99,68,8.18,13.80
HAMILTON AIRPORT,03/10/2025,1.9,3.0, ,15.2,8.1,100,76,5.73,12.78
HAMILTON AIRPORT,04/10/2025,4.1,0.2, ,21.9,4.2,100,46,4.89,22.19
HAMILTON AIRPORT,05/10/2025,3.7,0.2, ,20.7,13.1,99,38,7.23,8.61
HAMILTON AIRPORT,06/10/2025,2.5,7.0, ,14.0,7.9,99,52,4.74,14.02
HAMILTON AIRPORT,07/10/2025,2.2,0.0, ,13.1,7.9,79,68,5.84,9.91
HAMILTON AIRPORT,08/10/2025,2.9,0.0, ,17.2,6.7,100,60,6.90,17.01
HAMILTON AIRPORT,09/10/2025,3.4,1.6, ,16.6,7.8,100,49,8.39,17.57
HAMILTON AIRPORT,10/10/2025,3.3,1.2, ,17.0,10.1,94,57,10.80,15.90
HAMILTON AIRPORT,11/10/2025,3.0,1.8, ,16.9,9.3,98,57,7.04,16.65
HAMILTON AIRPORT,12/10/2025,2.6,2.6, ,15.8,8.2,99,67,6.29,17.66
HAMILTON AIRPORT,13/10/2025,2.7,7.6, ,14.6,0.4,99,54,2.76,20.07
HAMILTON AIRPORT,14/10/2025,3.4,0.2, ,17.0,6.5,99,51,4.89,22.33
Totals:,,40.1,32.8, ,,,,,, 
