'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/08/2025, , , ,14.7, ,100,47,3.28,12.62
HOPETOUN AIRPORT,02/08/2025,1.5,0.0, ,14.7,0.2,100,47,1.91,12.72
HOPETOUN AIRPORT,03/08/2025,1.8,0.2, ,17.9,-1.3,100,41,2.08,12.75
HOPETOUN AIRPORT,04/08/2025,3.3,0.0, ,20.3,4.8,98,36,6.11,9.61
HOPETOUN AIRPORT,05/08/2025, ,1.6, , ,4.2,100,43,4.59,12.65
HOPETOUN AIRPORT,06/08/2025, , , , , , , , ,11.51
HOPETOUN AIRPORT,07/08/2025, , , ,13.3, ,100,46,2.56,12.88
HOPETOUN AIRPORT,08/08/2025,2.0,0.0, ,16.1,1.8,99,49,3.62,13.34
HOPETOUN AIRPORT,09/08/2025,2.3,0.0, ,18.6,4.8,99,48,3.81,11.54
HOPETOUN AIRPORT,10/08/2025,2.1,0.0, ,17.7,7.1,91,57,3.87,12.47
HOPETOUN AIRPORT,11/08/2025,2.5,0.0, ,19.6,4.5,99,48,4.06,13.85
HOPETOUN AIRPORT,12/08/2025,1.3,3.2, ,15.4,9.3,100,66,2.55,6.20
HOPETOUN AIRPORT,13/08/2025,1.7,2.6, ,15.8,1.7,100,57,2.29,14.06
HOPETOUN AIRPORT,14/08/2025,2.0,0.2, ,17.3,0.1,100,44,2.22,14.26
HOPETOUN AIRPORT,15/08/2025, ,0.0, , ,6.6,100,55,5.66,8.98
HOPETOUN AIRPORT,16/08/2025, , , , , ,100,48,4.27,13.88
HOPETOUN AIRPORT,17/08/2025,1.9, , ,13.7,3.7,100,48,3.32,13.40
HOPETOUN AIRPORT,18/08/2025,2.2,0.0, ,14.8,4.2,100,45,4.00,14.77
HOPETOUN AIRPORT,19/08/2025,1.6,0.2, ,13.9,-2.5,100,49,1.47,14.80
HOPETOUN AIRPORT,20/08/2025,2.6,0.0, ,18.6,1.6,97,45,3.55,15.14
HOPETOUN AIRPORT,21/08/2025,2.6,0.0, ,19.9,3.9,99,45,3.43,15.03
HOPETOUN AIRPORT,22/08/2025,2.2,0.0, ,19.4,7.8,97,45,2.78,9.38
HOPETOUN AIRPORT,23/08/2025,2.2,0.0, ,18.0,4.4,100,48,2.67,13.87
HOPETOUN AIRPORT,24/08/2025,2.1,0.0, ,17.2,2.0,99,42,1.96,15.76
HOPETOUN AIRPORT,25/08/2025,2.8,0.0, ,19.4,3.9,84,41,3.45,12.71
HOPETOUN AIRPORT,26/08/2025,1.4,3.8, ,14.2,10.6,100,69,5.18,5.04
HOPETOUN AIRPORT,27/08/2025,2.5,14.6, ,15.7,7.9,100,54,6.95,13.47
HOPETOUN AIRPORT,28/08/2025,2.0,1.0, ,14.8,7.3,100,67,7.11,14.88
HOPETOUN AIRPORT,29/08/2025,1.9,4.4, ,12.8,7.5,100,64,9.79,10.99
HOPETOUN AIRPORT,30/08/2025,2.1,1.6, ,13.0,4.3,100,57,6.27,14.01
HOPETOUN AIRPORT,31/08/2025,2.0,0.0, ,15.9,3.6,100,59,3.36,12.72
Totals:,,52.6,33.4, ,,,,,, 
