'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/09/2025,2.1,1.4, ,15.9,6.0,100,51,1.99,15.21
HOPETOUN AIRPORT,02/09/2025,3.2,0.0, ,20.2,5.7,100,37,3.83,16.48
HOPETOUN AIRPORT,03/09/2025,2.7,0.0, ,18.9,5.9,96,49,3.87,14.63
HOPETOUN AIRPORT,04/09/2025,2.7,0.0, ,17.7,3.4,100,47,4.06,16.45
HOPETOUN AIRPORT,05/09/2025,2.6,0.0, ,15.2,1.1,99,42,3.85,16.69
HOPETOUN AIRPORT,06/09/2025,3.2,0.0, ,20.3,4.5,88,45,5.21,10.97
HOPETOUN AIRPORT,07/09/2025,5.5,0.6, ,27.4,11.4,92,35,7.49,14.40
HOPETOUN AIRPORT,08/09/2025,3.7,1.4, ,21.3,4.5,100,36,4.26,18.24
HOPETOUN AIRPORT,09/09/2025,2.2,0.0, ,18.4,0.6,100,49,1.61,16.13
HOPETOUN AIRPORT,10/09/2025, ,4.2, , ,7.2,100,68,4.83,10.11
HOPETOUN AIRPORT,11/09/2025, , , , , , , , ,15.71
HOPETOUN AIRPORT,12/09/2025, , , ,17.1, ,100,54,2.77,15.32
HOPETOUN AIRPORT,13/09/2025,2.9,0.2, ,20.4,1.9,100,36,1.82,18.71
HOPETOUN AIRPORT,14/09/2025,4.3,0.0, ,22.9,3.7,99,29,4.39,19.30
HOPETOUN AIRPORT,15/09/2025,7.7,0.0, ,29.1,7.6,69,19,7.45,19.02
HOPETOUN AIRPORT,16/09/2025,2.0,7.2, ,16.7,11.8,100,66,4.25,11.01
HOPETOUN AIRPORT,17/09/2025,2.7,0.4, ,16.9,3.5,100,44,3.04,16.87
HOPETOUN AIRPORT,18/09/2025,4.3,0.0, ,22.7,2.6,100,29,4.11,20.05
HOPETOUN AIRPORT,19/09/2025,5.6,0.0, ,24.7,9.4,100,25,6.90,20.05
HOPETOUN AIRPORT,20/09/2025,3.2,0.2, ,17.5,4.9,100,42,4.81,16.99
HOPETOUN AIRPORT,21/09/2025,3.2,0.0, ,20.0,8.2,100,52,5.87,15.93
HOPETOUN AIRPORT,22/09/2025,3.2,0.2, ,17.6,3.3,100,41,4.15,19.21
HOPETOUN AIRPORT,23/09/2025,2.8,0.0, ,18.3,1.8,100,49,3.96,15.44
HOPETOUN AIRPORT,24/09/2025,3.5,0.0, ,19.9,10.5,100,47,5.32,17.54
HOPETOUN AIRPORT,25/09/2025,3.8,0.0, ,20.5,7.3,97,40,4.60,19.84
HOPETOUN AIRPORT,26/09/2025,7.3,0.0, ,28.3,5.4,97,17,7.02,21.56
HOPETOUN AIRPORT,27/09/2025,4.0,0.0, ,21.6,1.7,100,31,3.72,19.11
HOPETOUN AIRPORT,28/09/2025,2.9,0.0, ,19.6,3.1,100,41,1.65,18.46
HOPETOUN AIRPORT,29/09/2025,5.2,0.0, ,26.6,4.5,90,25,4.10,19.24
HOPETOUN AIRPORT,30/09/2025,4.2,0.8, ,21.9,12.7,100,32,5.66,14.91
Totals:,,100.7,16.6, ,,,,,, 
