'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/10/2025,4.0,0.2, ,19.9,5.6,100,39,6.68,17.18
HOPETOUN AIRPORT,02/10/2025,4.4,0.2, ,18.6,8.2,93,35,7.45,19.81
HOPETOUN AIRPORT,03/10/2025,3.8,0.0, ,21.8,6.6,100,46,4.82,19.04
HOPETOUN AIRPORT,04/10/2025,5.1,0.0, ,29.1,2.5,100,19,2.49,22.70
HOPETOUN AIRPORT,05/10/2025,9.0,0.0, ,33.6,12.2,74,10,6.35,19.89
HOPETOUN AIRPORT,06/10/2025,2.7,0.4, ,17.6,11.5,100,47,4.02,11.94
HOPETOUN AIRPORT,07/10/2025,4.2,0.2, ,22.0,2.0,94,29,2.94,22.59
HOPETOUN AIRPORT,08/10/2025,4.8,0.0, ,25.8,4.0,80,31,3.08,22.07
HOPETOUN AIRPORT,09/10/2025,5.0,0.0, ,23.6,3.6,100,28,4.74,21.81
HOPETOUN AIRPORT,10/10/2025,6.4,0.0, ,25.4,5.6,85,26,6.73,23.21
HOPETOUN AIRPORT,11/10/2025,5.2,0.0, ,23.9,5.7,96,28,5.37,20.78
HOPETOUN AIRPORT,12/10/2025,4.6,0.0, ,22.4,5.3,100,32,5.87,16.05
HOPETOUN AIRPORT,13/10/2025,4.5,0.0, ,22.4,6.0,100,24,2.89,23.82
HOPETOUN AIRPORT,14/10/2025,4.9,0.0, ,24.0,3.0,89,26,3.65,21.71
Totals:,,68.6,1, ,,,,,, 
