'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/08/2025,1.7,0.0, ,13.8,-0.3,98,51,4.06,10.90
HORSHAM AERODROME,02/08/2025,1.6,0.0, ,15.1,-0.2,98,47,2.28,12.28
HORSHAM AERODROME,03/08/2025,2.2,0.2, ,17.2,-2.7,98,42,3.54,12.39
HORSHAM AERODROME,04/08/2025,3.4,0.0, ,18.9,2.9,91,43,8.28,10.85
HORSHAM AERODROME,05/08/2025,2.0,3.4, ,15.6,3.9,97,56,5.82,12.04
HORSHAM AERODROME,06/08/2025, ,0.0, , ,3.8,96,51,4.30,11.09
HORSHAM AERODROME,07/08/2025, , , ,12.7, ,96,48,3.36,12.62
HORSHAM AERODROME,08/08/2025,2.1,0.0, ,15.4,0.7,94,52,4.71,12.96
HORSHAM AERODROME,09/08/2025,2.6,0.0, ,18.2,3.7,93,46,4.98,13.10
HORSHAM AERODROME,10/08/2025,2.5,0.0, ,18.0,7.0,87,51,4.95,12.83
HORSHAM AERODROME,11/08/2025,2.7,0.0, ,18.6,3.2,94,47,5.44,13.41
HORSHAM AERODROME,12/08/2025,1.3,7.2, ,14.2,9.1,97,75,4.04,7.69
HORSHAM AERODROME,13/08/2025,1.9,6.0, ,15.7,2.1,98,54,3.27,13.45
HORSHAM AERODROME,14/08/2025,2.2,0.0, ,16.4,0.1,98,44,3.57,13.82
HORSHAM AERODROME,15/08/2025,2.2,0.0, ,15.1,6.7,93,55,6.58,9.76
HORSHAM AERODROME,16/08/2025,1.9,1.2, ,12.6,1.5,96,50,4.52,12.72
HORSHAM AERODROME,17/08/2025,1.5,2.0, ,12.0,3.3,97,62,3.67,12.00
HORSHAM AERODROME,18/08/2025,2.0,0.2, ,12.9,0.7,95,52,4.69,13.57
HORSHAM AERODROME,19/08/2025,1.8,0.0, ,13.1,-2.3,95,48,2.77,14.37
HORSHAM AERODROME,20/08/2025,2.8,0.0, ,18.2,-1.6,95,45,4.99,14.70
HORSHAM AERODROME,21/08/2025,3.0,0.0, ,19.1,1.8,92,46,5.15,14.82
HORSHAM AERODROME,22/08/2025,2.5,0.0, ,18.4,6.8,94,46,4.28,9.26
HORSHAM AERODROME,23/08/2025,2.3,0.0, ,16.5,5.1,98,42,3.23,14.15
HORSHAM AERODROME,24/08/2025,2.2,0.2, ,16.2,-1.8,98,41,2.69,15.33
HORSHAM AERODROME,25/08/2025,2.3,0.0, ,15.9,2.9,92,55,5.57,10.22
HORSHAM AERODROME,26/08/2025,1.9,1.2, ,14.8,8.6,96,61,6.88,6.81
HORSHAM AERODROME,27/08/2025,2.7,11.8, ,14.1,7.4,92,50,8.61,14.51
HORSHAM AERODROME,28/08/2025,2.3,1.4, ,14.4,7.1,94,60,7.81,13.98
HORSHAM AERODROME,29/08/2025,2.0,2.6, ,12.0,6.5,96,64,11.36,11.42
HORSHAM AERODROME,30/08/2025,2.2,13.6, ,13.0,3.5,96,57,6.98,13.79
HORSHAM AERODROME,31/08/2025,2.1,0.0, ,15.0,3.9,97,60,4.86,13.88
Totals:,,63.9,51, ,,,,,, 
