'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/09/2025,2.0,0.6, ,15.5,2.4,98,51,2.31,14.92
HORSHAM AERODROME,02/09/2025,3.0,0.0, ,18.5,4.5,97,46,5.71,14.16
HORSHAM AERODROME,03/09/2025,2.8,0.0, ,17.0,4.6,92,48,5.46,14.56
HORSHAM AERODROME,04/09/2025,2.3,0.4, ,15.0,6.8,96,54,4.83,13.86
HORSHAM AERODROME,05/09/2025,2.6,0.2, ,15.1,-3.2,96,41,3.76,16.53
HORSHAM AERODROME,06/09/2025,3.1,0.0, ,18.2,2.9,87,52,7.70,11.22
HORSHAM AERODROME,07/09/2025,4.1,0.2, ,24.3,9.9,87,51,8.07,12.44
HORSHAM AERODROME,08/09/2025,2.9,1.8, ,18.8,6.0,96,51,5.38,13.87
HORSHAM AERODROME,09/09/2025,2.2,0.0, ,16.6,2.8,98,56,3.10,14.30
HORSHAM AERODROME,10/09/2025,2.0,0.0, ,13.6,5.7,93,62,5.40,9.87
HORSHAM AERODROME,11/09/2025,2.9,0.4, ,16.5,4.3,97,47,5.10,16.44
HORSHAM AERODROME,12/09/2025,2.4,0.0, ,17.1,1.7,98,55,3.80,13.56
HORSHAM AERODROME,13/09/2025,2.6,0.2, ,17.6,7.0,96,51,2.70,16.78
HORSHAM AERODROME,14/09/2025,4.6,0.0, ,22.2,1.4,95,32,5.96,18.90
HORSHAM AERODROME,15/09/2025,6.5,0.0, ,27.4,5.1,90,23,7.56,15.01
HORSHAM AERODROME,16/09/2025,3.3,2.0, ,17.5,11.2,94,49,7.33,15.95
HORSHAM AERODROME,17/09/2025,2.8,0.8, ,16.0,2.4,97,44,4.62,15.63
HORSHAM AERODROME,18/09/2025,4.8,0.0, ,22.9,0.0,97,29,5.66,19.43
HORSHAM AERODROME,19/09/2025,4.5,0.0, ,20.7,7.0,94,36,7.38,19.44
HORSHAM AERODROME,20/09/2025,2.8,4.2, ,15.4,4.3,95,50,6.11,15.78
HORSHAM AERODROME,21/09/2025,2.6,0.0, ,17.0,8.8,96,61,6.09,14.07
HORSHAM AERODROME,22/09/2025,3.1,1.4, ,16.3,3.1,95,50,5.76,18.74
HORSHAM AERODROME,23/09/2025,2.3,0.2, ,16.0,4.4,95,60,4.76,12.58
HORSHAM AERODROME,24/09/2025,3.2,0.0, ,18.5,10.6,95,51,5.74,15.64
HORSHAM AERODROME,25/09/2025,2.5,0.2, ,16.5,9.9,92,59,5.53,11.70
HORSHAM AERODROME,26/09/2025,5.1,0.0, ,23.3,4.7,93,30,6.74,16.46
HORSHAM AERODROME,27/09/2025,3.4,0.0, ,18.1,0.2,98,42,4.78,18.23
HORSHAM AERODROME,28/09/2025,2.9,0.0, ,17.6,4.7,98,42,2.43,17.94
HORSHAM AERODROME,29/09/2025,5.0,0.0, ,24.9,2.1,93,31,5.43,17.02
HORSHAM AERODROME,30/09/2025,3.9,5.6, ,19.6,11.6,96,43,5.84,19.07
Totals:,,98.2,18.2, ,,,,,, 
