'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/10/2025,3.7,0.6, ,17.8,4.5,98,46,7.81,20.80
HORSHAM AERODROME,02/10/2025,3.6,2.2, ,16.5,6.0,92,48,8.09,19.29
HORSHAM AERODROME,03/10/2025,3.3,0.0, ,19.7,7.2,97,51,5.11,16.73
HORSHAM AERODROME,04/10/2025,4.7,0.0, ,26.5,1.2,98,26,2.68,22.60
HORSHAM AERODROME,05/10/2025,6.4,0.0, ,28.8,7.6,94,19,6.16,12.46
HORSHAM AERODROME,06/10/2025,3.1,1.8, ,16.1,9.1,92,44,4.92,14.02
HORSHAM AERODROME,07/10/2025,3.4,0.2, ,17.9,8.6,91,43,4.51,15.99
HORSHAM AERODROME,08/10/2025,4.4,0.0, ,21.3,1.7,94,40,5.47,22.40
HORSHAM AERODROME,09/10/2025,4.2,0.0, ,20.2,4.8,98,40,6.55,19.46
HORSHAM AERODROME,10/10/2025,5.0,1.4, ,22.0,4.7,93,40,9.22,19.54
HORSHAM AERODROME,11/10/2025,4.6,0.0, ,20.8,8.5,96,35,6.73,19.72
HORSHAM AERODROME,12/10/2025,3.9,0.4, ,20.0,3.8,98,41,5.67,17.00
HORSHAM AERODROME,13/10/2025,3.9,0.0, ,19.0,1.3,98,32,3.13,24.18
HORSHAM AERODROME,14/10/2025,4.6,0.0, ,21.4,3.9,90,36,4.59,23.86
Totals:,,58.8,6.6, ,,,,,, 
