'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/08/2025, ,0.0, , ,0.9,100,43,0.80,12.21
HUNTERS HILL,02/08/2025,1.4,0.0, ,12.4,3.2,81,52,1.70,12.35
HUNTERS HILL,03/08/2025, ,0.0, , ,4.3,75,41,0.77,12.53
HUNTERS HILL,04/08/2025, ,0.0, , , ,100,56,1.28,12.65
HUNTERS HILL,05/08/2025,1.2, , ,10.0,6.5,99,63,2.47,11.50
HUNTERS HILL,06/08/2025,0.8,0.4, ,7.0,3.0,98,84,1.38,6.94
HUNTERS HILL,07/08/2025, ,0.6, , ,1.4,100,55,0.36,13.01
HUNTERS HILL,08/08/2025, , , ,13.7, ,81,32,0.65,13.05
HUNTERS HILL,09/08/2025,1.1,0.0, ,13.1,2.8,79,44,0.34,13.27
HUNTERS HILL,10/08/2025,1.3,0.0, ,12.7,3.0,79,43,0.64,13.40
HUNTERS HILL,11/08/2025,1.2,0.0, ,12.7,3.2,83,44,0.39,12.88
HUNTERS HILL,12/08/2025,1.3,0.0, ,12.0,3.2,73,50,0.72,13.11
HUNTERS HILL,13/08/2025,1.0,0.2, ,10.1,5.1,95,62,0.56,7.74
HUNTERS HILL,14/08/2025,1.5,0.2, ,13.3,2.1,84,49,1.08,13.89
HUNTERS HILL,15/08/2025,1.2,0.0, ,9.6,4.1,98,66,1.83,10.65
HUNTERS HILL,16/08/2025,0.8,7.2, ,4.3,2.0,98,85,2.93,8.38
HUNTERS HILL,17/08/2025,0.9,8.4, ,5.4,-0.1,96,73,1.12,9.70
HUNTERS HILL,18/08/2025,1.3,1.6, ,9.2,-0.3,96,40,0.76,14.48
HUNTERS HILL,19/08/2025,1.5,0.0, ,12.8,1.6,74,30,0.79,14.52
HUNTERS HILL,20/08/2025,1.6,0.0, ,14.1,3.8,75,41,0.70,14.78
HUNTERS HILL,21/08/2025,1.6,0.0, ,15.4,5.7,81,52,1.13,11.95
HUNTERS HILL,22/08/2025,1.4,0.0, ,12.6,5.5,92,66,1.17,11.38
HUNTERS HILL,23/08/2025,1.7,0.0, ,13.5,4.7,96,55,1.57,14.80
HUNTERS HILL,24/08/2025,1.7,0.0, ,13.4,1.1,85,49,1.27,14.95
HUNTERS HILL,25/08/2025,1.9,0.0, ,16.6,4.9,85,50,0.92,15.46
HUNTERS HILL,26/08/2025,1.5,0.0, ,13.3,7.8,98,65,1.75,10.51
HUNTERS HILL,27/08/2025,0.7,29.0, ,5.3,3.9,98,92,4.96,7.85
HUNTERS HILL,28/08/2025,0.6,25.2, ,4.8,2.0,99,97,4.30,6.43
HUNTERS HILL,29/08/2025,0.9,15.4, ,6.4,1.7,99,82,4.45,7.02
HUNTERS HILL,30/08/2025,1.5,16.6, ,7.8,-0.7,99,55,2.79,12.17
HUNTERS HILL,31/08/2025,1.2,7.0, ,8.4,0.3,98,74,1.36,10.45
Totals:,,32.8,111.8, ,,,,,, 
