'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/09/2025,1.4,0.0, ,9.5,2.7,99,67,1.19,12.61
HUNTERS HILL,02/09/2025,1.4,0.0, ,10.0,2.9,95,60,1.10,11.93
HUNTERS HILL,03/09/2025,1.8,0.0, ,11.9,3.6,85,58,2.44,12.81
HUNTERS HILL,04/09/2025,1.3,0.0, ,8.1,4.9,98,71,2.75,9.84
HUNTERS HILL,05/09/2025,1.9,4.4, ,12.0,0.6,98,40,0.97,17.17
HUNTERS HILL,06/09/2025,2.0,0.0, ,15.3,3.1,77,48,0.72,17.40
HUNTERS HILL,07/09/2025,2.0,0.0, ,15.6,8.5,95,62,2.39,13.08
HUNTERS HILL,08/09/2025,2.6,18.0, ,15.6,9.7,96,39,2.85,15.65
HUNTERS HILL,09/09/2025,2.5,0.0, ,14.2,5.9,81,42,1.96,17.80
HUNTERS HILL,10/09/2025,1.4,0.0, ,11.2,5.5,97,50,1.37,8.06
HUNTERS HILL,11/09/2025,2.0,16.8, ,11.7,2.3,94,56,1.32,17.30
HUNTERS HILL,12/09/2025,2.1,0.0, ,11.8,3.0,87,53,1.20,17.48
HUNTERS HILL,13/09/2025,2.1,0.0, ,13.8,4.2,89,55,1.15,17.11
HUNTERS HILL,14/09/2025,1.6,0.0, ,12.0,5.5,94,60,1.29,10.98
HUNTERS HILL,15/09/2025,2.7,0.0, ,16.9,5.7,91,44,1.70,19.09
HUNTERS HILL,16/09/2025,1.4,1.4, ,10.3,9.5,98,48,2.66,4.52
HUNTERS HILL,17/09/2025,1.9,20.0, ,9.5,3.8,99,58,2.58,15.99
HUNTERS HILL,18/09/2025,2.2,0.0, ,12.6,2.5,86,46,0.98,17.58
HUNTERS HILL,19/09/2025,1.9,0.0, ,14.2,3.8,95,57,1.77,11.80
HUNTERS HILL,20/09/2025,2.0,3.0, ,8.3,2.5,97,56,3.54,16.27
HUNTERS HILL,21/09/2025,1.1,3.2, ,7.3,3.4,99,85,2.17,8.39
HUNTERS HILL,22/09/2025,2.1,7.0, ,10.0,2.8,99,58,2.23,18.07
HUNTERS HILL,23/09/2025, ,0.2, , ,0.4,100,63,1.43,19.86
HUNTERS HILL,24/09/2025, , , ,10.5, ,97,71,2.25,11.61
HUNTERS HILL,25/09/2025,1.8,0.4, ,10.5,5.2,97,71,1.99,14.30
HUNTERS HILL,26/09/2025,3.3,0.0, ,17.6,5.8,92,36,2.86,19.86
HUNTERS HILL,27/09/2025,2.9,0.0, ,15.7,6.0,94,58,2.35,21.32
HUNTERS HILL,28/09/2025,2.5,7.2, ,13.0,5.6,94,54,1.98,18.98
HUNTERS HILL,29/09/2025,2.8,0.0, ,15.8,4.8,88,44,0.58,21.69
HUNTERS HILL,30/09/2025,2.2,0.0, ,16.6,7.6,79,47,2.35,7.75
Totals:,,56.9,81.6, ,,,,,, 
