'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/08/2025,1.8,0.2, ,13.9,3.1,96,53,4.60,11.70
KELLALAC (WARRACKNABEAL AIRPORT),02/08/2025,1.6,0.0, ,15.5,1.2,98,45,2.30,12.43
KELLALAC (WARRACKNABEAL AIRPORT),03/08/2025,2.0,0.2, ,16.7,-0.5,97,45,3.11,12.55
KELLALAC (WARRACKNABEAL AIRPORT),04/08/2025, ,0.0, , ,5.9,91,47,7.16,8.82
KELLALAC (WARRACKNABEAL AIRPORT),05/08/2025, , , , , ,93,53,4.43,12.13
KELLALAC (WARRACKNABEAL AIRPORT),06/08/2025,2.0, , ,15.0,5.8,94,50,3.98,11.79
KELLALAC (WARRACKNABEAL AIRPORT),07/08/2025,1.7,0.0, ,12.5,-0.6,97,49,3.53,12.44
KELLALAC (WARRACKNABEAL AIRPORT),08/08/2025,2.2,0.0, ,15.3,2.0,93,49,4.74,13.16
KELLALAC (WARRACKNABEAL AIRPORT),09/08/2025,2.5,0.0, ,17.5,3.6,92,47,4.61,13.26
KELLALAC (WARRACKNABEAL AIRPORT),10/08/2025,2.2,0.0, ,17.5,6.8,90,58,4.44,13.17
KELLALAC (WARRACKNABEAL AIRPORT),11/08/2025,2.4,0.0, ,18.4,3.3,94,50,4.39,13.56
KELLALAC (WARRACKNABEAL AIRPORT),12/08/2025,1.2,5.6, ,14.4,9.0,98,75,3.64,6.12
KELLALAC (WARRACKNABEAL AIRPORT),13/08/2025,1.8,5.2, ,15.5,3.0,98,57,3.20,13.83
KELLALAC (WARRACKNABEAL AIRPORT),14/08/2025,2.0,0.0, ,16.0,1.8,98,51,3.51,13.47
KELLALAC (WARRACKNABEAL AIRPORT),15/08/2025,2.0,0.2, ,15.7,6.7,92,62,6.29,7.87
KELLALAC (WARRACKNABEAL AIRPORT),16/08/2025,1.9,0.4, ,12.9,2.8,96,53,4.41,12.38
KELLALAC (WARRACKNABEAL AIRPORT),17/08/2025,1.5,2.0, ,12.8,3.1,97,62,3.15,11.26
KELLALAC (WARRACKNABEAL AIRPORT),18/08/2025,2.0,1.0, ,13.1,2.9,97,52,4.66,14.55
KELLALAC (WARRACKNABEAL AIRPORT),19/08/2025,1.7,0.0, ,13.3,-1.1,94,50,2.47,14.52
KELLALAC (WARRACKNABEAL AIRPORT),20/08/2025,2.5,0.0, ,17.4,0.3,94,47,4.08,14.85
KELLALAC (WARRACKNABEAL AIRPORT),21/08/2025,2.6,0.0, ,18.9,2.6,93,49,4.11,14.97
KELLALAC (WARRACKNABEAL AIRPORT),22/08/2025,1.9,0.0, ,17.5,6.5,95,60,3.40,9.27
KELLALAC (WARRACKNABEAL AIRPORT),23/08/2025,2.3,0.0, ,17.1,3.4,98,46,3.54,13.76
KELLALAC (WARRACKNABEAL AIRPORT),24/08/2025,2.4,0.2, ,16.4,2.1,94,42,3.02,15.47
KELLALAC (WARRACKNABEAL AIRPORT),25/08/2025,2.3,0.0, ,16.8,2.0,92,51,4.27,10.33
KELLALAC (WARRACKNABEAL AIRPORT),26/08/2025,1.6,3.0, ,12.8,8.5,97,61,6.22,4.15
KELLALAC (WARRACKNABEAL AIRPORT),27/08/2025,2.5,6.0, ,14.4,7.9,95,52,7.38,12.18
KELLALAC (WARRACKNABEAL AIRPORT),28/08/2025,2.1,1.2, ,14.5,6.7,95,61,6.39,12.78
KELLALAC (WARRACKNABEAL AIRPORT),29/08/2025,2.0,0.8, ,11.8,6.8,95,62,9.42,12.40
KELLALAC (WARRACKNABEAL AIRPORT),30/08/2025,2.2,2.6, ,13.1,4.0,96,58,6.56,14.44
KELLALAC (WARRACKNABEAL AIRPORT),31/08/2025,1.7,0.0, ,15.6,2.5,97,71,3.68,12.90
Totals:,,58.6,28.6, ,,,,,, 
