'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/09/2025,2.1,0.4, ,16.5,3.7,98,50,2.18,14.37
KELLALAC (WARRACKNABEAL AIRPORT),02/09/2025,2.9,0.0, ,18.7,4.8,97,45,4.33,15.41
KELLALAC (WARRACKNABEAL AIRPORT),03/09/2025,2.8,0.0, ,16.9,6.0,91,47,4.77,15.17
KELLALAC (WARRACKNABEAL AIRPORT),04/09/2025,2.4,0.0, ,15.8,5.1,97,55,4.57,15.69
KELLALAC (WARRACKNABEAL AIRPORT),05/09/2025,2.5,0.8, ,14.7,-2.0,96,46,3.99,16.59
KELLALAC (WARRACKNABEAL AIRPORT),06/09/2025,2.8,0.0, ,18.7,1.9,91,54,6.34,11.14
KELLALAC (WARRACKNABEAL AIRPORT),07/09/2025,3.9,0.2, ,24.7,10.4,91,54,7.63,12.63
KELLALAC (WARRACKNABEAL AIRPORT),08/09/2025,2.9,2.0, ,19.2,5.7,96,49,4.28,14.70
KELLALAC (WARRACKNABEAL AIRPORT),09/09/2025,2.2,0.2, ,17.1,2.8,98,57,3.02,14.68
KELLALAC (WARRACKNABEAL AIRPORT),10/09/2025,2.0,0.0, ,12.9,7.4,89,63,5.72,9.10
KELLALAC (WARRACKNABEAL AIRPORT),11/09/2025,2.9,0.0, ,16.8,4.7,96,49,5.27,16.06
KELLALAC (WARRACKNABEAL AIRPORT),12/09/2025,2.2,0.0, ,17.0,-0.5,98,59,3.32,14.04
KELLALAC (WARRACKNABEAL AIRPORT),13/09/2025,2.9,0.4, ,19.3,5.2,98,48,2.98,18.21
KELLALAC (WARRACKNABEAL AIRPORT),14/09/2025,4.3,0.0, ,21.8,0.8,96,32,5.22,19.01
KELLALAC (WARRACKNABEAL AIRPORT),15/09/2025,6.8,0.0, ,27.5,5.3,86,22,7.68,15.97
KELLALAC (WARRACKNABEAL AIRPORT),16/09/2025,2.4,2.8, ,16.5,11.2,95,59,5.41,11.91
KELLALAC (WARRACKNABEAL AIRPORT),17/09/2025,2.8,0.8, ,16.0,4.1,97,44,3.92,16.60
KELLALAC (WARRACKNABEAL AIRPORT),18/09/2025,4.4,0.0, ,22.3,1.3,97,31,5.04,19.54
KELLALAC (WARRACKNABEAL AIRPORT),19/09/2025,4.5,0.0, ,20.8,8.8,93,36,6.69,19.94
KELLALAC (WARRACKNABEAL AIRPORT),20/09/2025,2.7,1.0, ,15.5,4.2,95,50,5.39,15.11
KELLALAC (WARRACKNABEAL AIRPORT),21/09/2025,2.7,0.8, ,18.7,7.3,97,60,6.19,13.07
KELLALAC (WARRACKNABEAL AIRPORT),22/09/2025,3.2,0.4, ,16.6,3.4,94,45,5.55,16.92
KELLALAC (WARRACKNABEAL AIRPORT),23/09/2025,2.6,0.0, ,17.6,3.0,96,52,4.48,12.57
KELLALAC (WARRACKNABEAL AIRPORT),24/09/2025,3.5,0.0, ,19.4,11.0,90,47,6.24,14.31
KELLALAC (WARRACKNABEAL AIRPORT),25/09/2025,2.7,0.0, ,17.5,8.2,92,54,5.07,12.22
KELLALAC (WARRACKNABEAL AIRPORT),26/09/2025,6.3,0.0, ,25.7,2.9,96,23,7.11,20.30
KELLALAC (WARRACKNABEAL AIRPORT),27/09/2025,3.7,0.0, ,19.6,-0.7,98,39,4.69,19.15
KELLALAC (WARRACKNABEAL AIRPORT),28/09/2025,2.7,0.0, ,18.2,3.2,98,43,2.07,16.31
KELLALAC (WARRACKNABEAL AIRPORT),29/09/2025,5.1,0.0, ,25.2,2.3,92,30,5.07,18.02
KELLALAC (WARRACKNABEAL AIRPORT),30/09/2025,3.9,1.0, ,20.2,11.8,96,38,5.44,16.77
Totals:,,98.8,10.8, ,,,,,, 
