'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/10/2025,3.4,0.2, ,17.6,6.0,97,49,6.64,17.62
KELLALAC (WARRACKNABEAL AIRPORT),02/10/2025,3.9,1.2, ,17.5,5.7,93,42,7.51,20.84
KELLALAC (WARRACKNABEAL AIRPORT),03/10/2025,3.7,0.2, ,21.0,8.8,93,47,5.00,17.36
KELLALAC (WARRACKNABEAL AIRPORT),04/10/2025,5.2,0.0, ,27.5,1.4,98,26,3.29,22.36
KELLALAC (WARRACKNABEAL AIRPORT),05/10/2025,7.6,0.0, ,30.7,8.6,86,15,6.39,16.89
KELLALAC (WARRACKNABEAL AIRPORT),06/10/2025,3.2,2.0, ,17.0,10.0,94,42,4.96,13.66
KELLALAC (WARRACKNABEAL AIRPORT),07/10/2025,4.0,0.0, ,19.9,6.9,92,36,3.95,21.05
KELLALAC (WARRACKNABEAL AIRPORT),08/10/2025,4.1,0.0, ,22.7,1.7,97,41,4.29,19.34
KELLALAC (WARRACKNABEAL AIRPORT),09/10/2025,4.9,0.0, ,21.8,5.9,98,33,6.29,21.59
KELLALAC (WARRACKNABEAL AIRPORT),10/10/2025,5.0,0.0, ,22.7,3.6,91,37,7.05,19.44
KELLALAC (WARRACKNABEAL AIRPORT),11/10/2025,4.6,0.0, ,21.9,7.2,94,35,5.96,18.54
KELLALAC (WARRACKNABEAL AIRPORT),12/10/2025,4.4,0.0, ,21.3,5.5,97,36,6.36,16.08
KELLALAC (WARRACKNABEAL AIRPORT),13/10/2025,4.2,0.2, ,20.4,0.9,97,31,3.25,23.91
KELLALAC (WARRACKNABEAL AIRPORT),14/10/2025,4.7,0.0, ,22.6,2.3,95,29,4.12,22.58
Totals:,,62.9,3.8, ,,,,,, 
