'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KERANG AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KERANG AIRPORT,01/08/2025,0.8,0.0, ,13.8,0.1,98,58,0.00,12.53
KERANG AIRPORT,02/08/2025,0.9,0.0, ,15.7,-1.3,99,56,0.00,12.65
KERANG AIRPORT,03/08/2025,0.9,0.0, ,17.8,-1.4,99,44,0.00,12.76
KERANG AIRPORT,04/08/2025,0.9,0.0, ,19.6,0.7,99,49,0.00,11.76
KERANG AIRPORT,05/08/2025,1.0,1.0, ,16.2,5.7,91,57,0.00,12.63
KERANG AIRPORT,06/08/2025,1.0,0.0, ,16.6,6.2,90,53,0.00,11.96
KERANG AIRPORT,07/08/2025,0.9,0.0, ,13.4,-0.5,98,48,0.00,13.24
KERANG AIRPORT,08/08/2025,0.9,0.2, ,16.4,-2.2,99,50,0.00,13.28
KERANG AIRPORT,09/08/2025,1.0,0.0, ,18.0,1.6,99,45,0.00,13.38
KERANG AIRPORT,10/08/2025,1.1,0.0, ,17.9,3.4,97,50,0.00,13.29
KERANG AIRPORT,11/08/2025,1.1,0.0, ,17.9,-0.2,99,49,0.00,13.76
KERANG AIRPORT,12/08/2025,0.8,0.0, ,13.4,5.5,98,67,0.00,6.18
KERANG AIRPORT,13/08/2025,1.1,3.4, ,15.8,1.8,99,58,0.00,13.28
KERANG AIRPORT,14/08/2025,1.1,0.0, ,17.5,-0.1,99,44,0.00,14.17
KERANG AIRPORT,15/08/2025,1.0,0.0, ,16.7,4.8,95,51,0.00,8.72
KERANG AIRPORT,16/08/2025,1.2,1.0, ,13.7,3.4,96,47,0.00,14.25
KERANG AIRPORT,17/08/2025,0.9,0.0, ,11.9,3.5,99,78,0.00,7.72
KERANG AIRPORT,18/08/2025,1.2,1.0, ,14.3,2.0,99,47,0.00,14.74
KERANG AIRPORT,19/08/2025,1.1,0.2, ,15.8,-4.4,99,41,0.00,14.73
KERANG AIRPORT,20/08/2025,1.2,0.0, ,18.6,-1.4,98,32,0.00,15.04
KERANG AIRPORT,21/08/2025,1.3,0.0, ,20.6,0.2,98,42,0.00,14.13
KERANG AIRPORT,22/08/2025,1.1,0.0, ,18.1,6.3,95,54,0.00,9.62
KERANG AIRPORT,23/08/2025,1.4,0.0, ,18.6,2.7,99,49,0.00,14.66
KERANG AIRPORT,24/08/2025,1.3,0.0, ,16.7,0.9,95,41,0.00,15.60
KERANG AIRPORT,25/08/2025,1.2,0.0, ,19.4,-2.5,99,40,0.00,13.06
KERANG AIRPORT,26/08/2025,0.8,0.4, ,13.8,8.5,91,56,0.00,4.66
KERANG AIRPORT,27/08/2025,1.4,1.4, ,16.9,8.5,95,57,0.00,12.80
KERANG AIRPORT,28/08/2025,1.3,3.0, ,16.0,6.5,92,61,0.00,11.39
KERANG AIRPORT,29/08/2025,1.3,4.8, ,14.8,7.2,92,64,0.00,10.99
KERANG AIRPORT,30/08/2025,1.4,4.4, ,13.9,4.2,91,45,0.00,14.41
KERANG AIRPORT,31/08/2025,1.2,0.0, ,14.7,2.4,99,64,0.00,10.30
Totals:,,33.8,20.8, ,,,,,, 
