'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KERANG AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KERANG AIRPORT,01/09/2025,1.5,0.0, ,16.3,6.7,98,49,0.00,13.74
KERANG AIRPORT,02/09/2025,1.5,0.0, ,19.1,0.3,99,37,0.00,14.82
KERANG AIRPORT,03/09/2025,1.7,0.0, ,19.6,6.2,85,42,0.00,16.06
KERANG AIRPORT,04/09/2025,1.5,0.0, ,17.7,4.8,92,44,0.00,13.54
KERANG AIRPORT,05/09/2025,1.5,0.0, ,15.4,-1.4,96,39,0.00,16.30
KERANG AIRPORT,06/09/2025,1.7,0.0, ,23.6,-0.4,96,34,0.00,15.51
KERANG AIRPORT,07/09/2025,1.5,0.4, ,24.2,12.8,88,48,0.00,9.94
KERANG AIRPORT,08/09/2025,2.0,3.2, ,21.6,7.8,97,36,0.00,17.99
KERANG AIRPORT,09/09/2025,1.8,0.0, ,19.2,0.6,99,43,0.00,17.64
KERANG AIRPORT,10/09/2025,1.2,1.0, ,13.8,7.5,90,59,0.00,7.92
KERANG AIRPORT,11/09/2025,1.7,0.0, ,18.2,4.8,93,39,0.00,14.60
KERANG AIRPORT,12/09/2025,1.7,0.0, ,18.4,1.1,99,45,0.00,15.58
KERANG AIRPORT,13/09/2025,1.9,0.0, ,20.3,1.3,99,43,0.00,16.86
KERANG AIRPORT,14/09/2025,2.1,0.0, ,22.2,3.1,97,32,0.00,19.01
KERANG AIRPORT,15/09/2025,2.2,0.0, ,27.8,6.6,82,19,0.00,18.96
KERANG AIRPORT,16/09/2025,1.1,1.2, ,13.9,12.2,96,29,0.00,6.02
KERANG AIRPORT,17/09/2025,2.0,7.8, ,16.5,5.3,96,46,0.00,17.84
KERANG AIRPORT,18/09/2025,2.1,0.2, ,21.6,0.3,99,30,0.00,19.82
KERANG AIRPORT,19/09/2025,2.1,0.2, ,25.6,7.8,75,24,0.00,17.09
KERANG AIRPORT,20/09/2025,2.0,0.0, ,17.0,5.5,94,42,0.00,17.55
KERANG AIRPORT,21/09/2025,1.9,0.0, ,19.9,7.7,91,47,0.00,13.93
KERANG AIRPORT,22/09/2025,2.0,0.0, ,17.7,4.0,96,33,0.00,17.22
KERANG AIRPORT,23/09/2025,2.1,0.0, ,18.0,0.3,98,47,0.00,19.52
KERANG AIRPORT,24/09/2025,2.1,0.0, ,19.7,9.0,84,45,0.00,15.31
KERANG AIRPORT,25/09/2025,2.2,0.0, ,20.3,7.3,93,43,0.00,16.67
KERANG AIRPORT,26/09/2025,2.6,0.0, ,28.3,8.0,87,16,0.00,20.84
KERANG AIRPORT,27/09/2025,2.4,0.0, ,21.0,2.5,99,39,0.00,20.26
KERANG AIRPORT,28/09/2025,2.2,0.0, ,19.1,4.0,98,37,0.00,17.54
KERANG AIRPORT,29/09/2025,2.5,0.0, ,25.8,0.7,95,27,0.00,20.79
KERANG AIRPORT,30/09/2025,2.1,0.0, ,22.8,14.5,88,34,0.00,13.38
Totals:,,56.9,14, ,,,,,, 
