'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/08/2025,1.4,0.0, ,14.8,0.6,99,46,1.64,12.27
KYABRAM,02/08/2025,1.6,0.0, ,16.1,3.5,99,52,2.29,12.38
KYABRAM,03/08/2025,1.1,0.0, ,18.1,0.0,99,47,0.58,12.50
KYABRAM,04/08/2025,1.7,0.0, ,18.8,1.7,99,63,2.99,12.26
KYABRAM,05/08/2025,1.5,4.0, ,14.8,5.4,99,60,2.55,11.98
KYABRAM,06/08/2025,1.5,0.0, ,15.5,3.6,99,53,2.34,11.28
KYABRAM,07/08/2025,1.5,0.0, ,13.2,0.8,99,55,2.57,12.98
KYABRAM,08/08/2025,1.6,0.0, ,16.3,3.1,99,53,2.16,13.09
KYABRAM,09/08/2025,1.5,0.0, ,17.1,1.8,99,51,1.31,13.08
KYABRAM,10/08/2025,1.4,0.0, ,17.6,1.1,99,50,1.04,13.35
KYABRAM,11/08/2025,1.6,0.0, ,17.0,0.8,99,52,1.72,13.50
KYABRAM,12/08/2025,1.0,0.0, ,12.8,3.7,99,75,1.83,7.04
KYABRAM,13/08/2025,1.7,4.4, ,15.2,7.8,100,61,2.79,13.32
KYABRAM,14/08/2025,1.8,0.2, ,16.7,1.6,99,48,2.24,13.91
KYABRAM,15/08/2025,1.4,0.0, ,16.0,4.8,99,64,2.83,8.13
KYABRAM,16/08/2025,1.7,2.8, ,12.9,2.4,99,49,2.57,13.88
KYABRAM,17/08/2025,1.0,0.0, ,11.3,0.8,99,76,1.64,8.29
KYABRAM,18/08/2025,1.7,0.0, ,13.3,0.8,99,49,2.39,14.49
KYABRAM,19/08/2025,1.6,0.2, ,16.6,-2.0,99,42,1.10,14.46
KYABRAM,20/08/2025,1.9,0.0, ,17.9,-0.3,99,42,1.63,14.76
KYABRAM,21/08/2025,1.9,0.0, ,19.7,1.3,99,45,1.49,13.18
KYABRAM,22/08/2025,1.7,0.0, ,18.6,8.0,99,67,1.75,12.34
KYABRAM,23/08/2025,1.8,0.0, ,17.4,3.8,100,58,2.34,12.66
KYABRAM,24/08/2025,1.9,0.0, ,15.7,0.8,99,45,1.61,15.38
KYABRAM,25/08/2025,1.9,0.0, ,17.8,-0.8,99,46,1.52,14.52
KYABRAM,26/08/2025,1.2,0.2, ,13.6,8.6,98,71,3.28,4.96
KYABRAM,27/08/2025,1.5,6.2, ,14.7,8.2,99,74,4.02,10.81
KYABRAM,28/08/2025,1.9,3.8, ,15.2,6.6,99,61,4.05,12.67
KYABRAM,29/08/2025,1.6,0.2, ,14.5,5.9,99,70,5.41,9.35
KYABRAM,30/08/2025,1.9,5.6, ,12.9,6.1,99,55,4.23,12.73
KYABRAM,31/08/2025,1.6,0.0, ,15.5,3.6,99,67,2.25,10.81
Totals:,,49.1,27.6, ,,,,,, 
