'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/09/2025,1.9,0.0, ,15.8,5.2,100,52,1.65,14.20
KYABRAM,02/09/2025,2.1,0.2, ,16.7,1.4,99,50,2.28,13.99
KYABRAM,03/09/2025,2.6,0.0, ,19.2,5.8,98,46,2.99,15.68
KYABRAM,04/09/2025,2.1,0.0, ,16.7,6.2,99,55,2.85,12.90
KYABRAM,05/09/2025,2.1,0.0, ,15.3,-0.8,99,42,1.51,16.98
KYABRAM,06/09/2025,2.7,0.0, ,20.1,2.2,98,53,3.22,16.99
KYABRAM,07/09/2025,1.7,0.0, ,17.4,10.7,96,64,3.91,5.22
KYABRAM,08/09/2025,2.6,2.2, ,20.0,7.0,99,49,2.15,17.27
KYABRAM,09/09/2025,2.4,0.2, ,18.5,3.1,99,48,1.59,17.96
KYABRAM,10/09/2025,1.8,0.2, ,13.5,7.0,90,64,4.82,6.71
KYABRAM,11/09/2025,2.5,0.0, ,16.5,4.4,96,47,3.33,14.79
KYABRAM,12/09/2025,2.4,0.0, ,17.3,0.7,99,51,2.11,17.68
KYABRAM,13/09/2025,2.3,0.0, ,20.1,4.1,99,51,1.28,15.84
KYABRAM,14/09/2025,3.1,0.0, ,21.3,6.0,99,39,2.52,17.36
KYABRAM,15/09/2025,4.9,0.0, ,25.7,6.5,95,23,4.29,19.10
KYABRAM,16/09/2025,2.2,1.2, ,13.6,12.7,99,30,3.60,7.08
KYABRAM,17/09/2025,2.6,6.6, ,16.5,4.9,99,47,2.41,17.66
KYABRAM,18/09/2025,3.0,0.2, ,20.0,2.3,99,41,2.28,19.05
KYABRAM,19/09/2025,4.0,0.0, ,23.9,6.1,91,33,3.88,14.60
KYABRAM,20/09/2025,2.7,0.0, ,16.5,5.5,99,46,3.48,16.20
KYABRAM,21/09/2025,2.0,0.0, ,16.5,5.1,99,64,2.98,11.60
KYABRAM,22/09/2025,2.8,1.4, ,15.8,4.6,96,45,3.39,17.05
KYABRAM,23/09/2025,2.9,0.2, ,18.2,3.1,99,47,2.73,19.22
KYABRAM,24/09/2025,2.7,0.0, ,19.5,4.9,99,44,2.66,13.90
KYABRAM,25/09/2025,2.7,0.0, ,19.3,6.8,99,52,3.03,15.28
KYABRAM,26/09/2025,5.3,0.0, ,26.7,8.3,94,18,3.95,19.70
KYABRAM,27/09/2025,3.2,0.0, ,19.8,3.3,99,43,2.31,21.06
KYABRAM,28/09/2025,3.1,0.0, ,19.1,4.9,97,37,1.99,19.30
KYABRAM,29/09/2025,3.8,0.0, ,23.6,1.8,99,32,2.23,21.66
KYABRAM,30/09/2025,3.4,0.0, ,21.7,13.2,88,38,3.42,11.95
Totals:,,83.6,12.4, ,,,,,, 
