'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/10/2025,3.0,0.0, ,19.3,6.5,97,41,3.29,14.25
KYABRAM,02/10/2025,3.7,0.8, ,17.9,8.1,98,37,5.21,18.76
KYABRAM,03/10/2025,3.1,0.0, ,20.8,7.1,93,44,2.71,15.53
KYABRAM,04/10/2025,3.8,0.0, ,25.2,3.5,99,32,1.54,22.37
KYABRAM,05/10/2025,6.1,0.0, ,31.5,9.1,91,16,3.47,20.16
KYABRAM,06/10/2025,2.9,0.2, ,17.4,10.3,95,38,2.67,14.50
KYABRAM,07/10/2025,3.3,0.0, ,19.9,0.9,99,36,1.81,21.98
KYABRAM,08/10/2025,4.0,0.0, ,26.1,4.1,95,33,2.34,18.18
KYABRAM,09/10/2025,4.3,0.0, ,22.6,9.9,86,32,2.72,22.80
KYABRAM,10/10/2025,4.7,0.0, ,24.3,4.9,92,29,3.14,22.84
KYABRAM,11/10/2025,4.3,0.0, ,23.1,8.7,92,32,3.09,21.44
KYABRAM,12/10/2025,3.4,0.0, ,20.3,7.1,98,38,2.99,17.09
KYABRAM,13/10/2025,3.6,1.4, ,19.1,3.0,99,30,1.88,23.74
KYABRAM,14/10/2025,4.1,0.0, ,23.3,3.4,91,33,2.14,23.77
Totals:,,54.3,2.4, ,,,,,, 
