'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/08/2025,1.2,0.0, ,13.0,1.7,100,65,2.65,11.08
LAVERTON RAAF,02/08/2025,1.3,0.0, ,14.6,6.0,100,60,2.44,10.06
LAVERTON RAAF,03/08/2025,1.6,0.0, ,17.2,0.5,100,32,1.66,11.84
LAVERTON RAAF,04/08/2025,2.4,0.2, ,17.6,5.2,85,56,6.23,8.67
LAVERTON RAAF,05/08/2025,2.4,1.6, ,16.9,8.0,96,46,5.68,12.01
LAVERTON RAAF,06/08/2025,1.7,0.0, ,14.6,8.2,93,59,4.14,9.25
LAVERTON RAAF,07/08/2025,1.4,0.2, ,13.9,2.6,99,53,2.59,9.19
LAVERTON RAAF,08/08/2025,1.3,0.0, ,14.3,5.5,100,65,2.58,10.77
LAVERTON RAAF,09/08/2025,1.4,0.0, ,14.7,3.0,100,60,2.24,12.60
LAVERTON RAAF,10/08/2025,1.5,0.0, ,17.1,2.3,100,56,2.01,12.74
LAVERTON RAAF,11/08/2025,2.3,0.0, ,19.1,2.1,100,32,2.74,12.88
LAVERTON RAAF,12/08/2025,1.8,0.0, ,15.5,5.0,100,50,3.61,7.25
LAVERTON RAAF,13/08/2025,1.7,5.6, ,15.3,4.5,100,56,3.25,12.46
LAVERTON RAAF,14/08/2025,2.4,0.2, ,18.5,3.5,100,38,3.27,13.29
LAVERTON RAAF,15/08/2025,1.9,0.0, ,14.8,9.8,100,54,6.04,5.44
LAVERTON RAAF,16/08/2025,1.8,3.6, ,12.6,6.3,99,51,4.24,11.19
LAVERTON RAAF,17/08/2025,1.4,1.4, ,13.8,3.4,96,59,2.66,8.74
LAVERTON RAAF,18/08/2025,1.5,0.0, ,12.4,5.1,99,54,3.04,9.60
LAVERTON RAAF,19/08/2025,1.8,0.0, ,14.6,-0.3,99,48,2.43,13.89
LAVERTON RAAF,20/08/2025,2.0,0.0, ,16.6,0.5,99,39,2.27,14.18
LAVERTON RAAF,21/08/2025,2.2,0.0, ,18.7,1.7,99,42,2.56,14.33
LAVERTON RAAF,22/08/2025,2.7,0.0, ,20.3,9.7,84,48,3.81,10.75
LAVERTON RAAF,23/08/2025,2.0,0.0, ,15.2,7.0,99,52,3.47,12.36
LAVERTON RAAF,24/08/2025,1.9,0.0, ,14.7,3.3,99,52,3.04,14.57
LAVERTON RAAF,25/08/2025,2.9,0.0, ,19.4,1.8,100,32,3.90,10.23
LAVERTON RAAF,26/08/2025,2.9,0.0, ,17.8,8.6,99,41,7.41,5.79
LAVERTON RAAF,27/08/2025,2.8,6.0, ,16.8,9.7,99,48,7.73,12.98
LAVERTON RAAF,28/08/2025,3.4,0.4, ,17.3,8.6,81,43,6.90,13.47
LAVERTON RAAF,29/08/2025,2.0,0.4, ,14.2,8.5,95,60,6.77,8.37
LAVERTON RAAF,30/08/2025,2.0,12.8, ,12.9,5.8,99,57,6.97,11.05
LAVERTON RAAF,31/08/2025,2.3,1.4, ,17.1,6.3,99,51,4.21,12.29
Totals:,,61.9,33.8, ,,,,,, 
