'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/09/2025,2.2,0.6, ,16.6,6.7,98,49,3.53,12.22
LAVERTON RAAF,02/09/2025,2.6,0.0, ,17.6,7.9,99,44,4.55,11.82
LAVERTON RAAF,03/09/2025,3.8,0.0, ,19.0,11.6,87,32,6.36,13.16
LAVERTON RAAF,04/09/2025,3.0,0.2, ,15.8,9.4,91,39,6.10,12.57
LAVERTON RAAF,05/09/2025,2.2,0.0, ,14.1,1.5,99,45,3.08,16.59
LAVERTON RAAF,06/09/2025,3.9,0.0, ,21.8,1.6,99,34,5.11,16.37
LAVERTON RAAF,07/09/2025,3.3,0.0, ,19.1,13.1,91,51,8.42,10.28
LAVERTON RAAF,08/09/2025,3.8,0.6, ,21.5,10.5,90,39,5.61,14.68
LAVERTON RAAF,09/09/2025,2.7,0.6, ,18.2,10.6,100,45,3.82,14.04
LAVERTON RAAF,10/09/2025,1.8,0.6, ,13.2,4.6,99,65,3.91,12.26
LAVERTON RAAF,11/09/2025,2.2,3.8, ,15.2,8.8,100,57,4.13,13.89
LAVERTON RAAF,12/09/2025, ,1.4, , ,4.7,100,53,4.26,12.34
LAVERTON RAAF,13/09/2025,2.3, , ,18.3,9.0,100,57,3.02,12.84
LAVERTON RAAF,14/09/2025,4.3,0.0, ,22.1,9.1,87,34,5.30,18.33
LAVERTON RAAF,15/09/2025,7.0,0.0, ,25.7,12.7,61,22,8.18,17.22
LAVERTON RAAF,16/09/2025,4.1,0.0, ,20.6,15.2,93,35,6.76,13.76
LAVERTON RAAF,17/09/2025,3.7,1.4, ,16.7,8.2,78,37,5.81,16.08
LAVERTON RAAF,18/09/2025,4.3,0.0, ,20.7,4.2,91,33,5.62,18.92
LAVERTON RAAF,19/09/2025,6.0,0.0, ,23.5,13.0,88,24,8.71,18.28
LAVERTON RAAF,20/09/2025,3.3,0.6, ,15.6,6.9,84,41,6.02,15.16
LAVERTON RAAF,21/09/2025,2.5,0.0, ,18.3,10.0,97,52,5.88,6.74
LAVERTON RAAF,22/09/2025,3.0,0.8, ,15.3,4.6,98,47,5.66,18.64
LAVERTON RAAF,23/09/2025,3.0,0.6, ,18.4,6.6,98,50,4.70,15.90
LAVERTON RAAF,24/09/2025,2.5,0.0, ,17.4,11.9,100,57,4.75,12.82
LAVERTON RAAF,25/09/2025,3.1,2.4, ,18.4,11.2,80,50,5.46,9.29
LAVERTON RAAF,26/09/2025,4.2,0.0, ,24.1,13.5,93,28,5.35,8.21
LAVERTON RAAF,27/09/2025,4.2,0.0, ,19.6,7.4,87,34,5.21,19.70
LAVERTON RAAF,28/09/2025,2.9,0.0, ,16.9,8.9,92,48,3.35,17.35
LAVERTON RAAF,29/09/2025,4.4,0.0, ,23.9,4.6,99,31,3.94,20.28
LAVERTON RAAF,30/09/2025,3.4,1.2, ,21.2,13.1,92,36,4.26,9.70
Totals:,,99.7,14.8, ,,,,,, 
