'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/10/2025,3.9,2.8, ,19.4,8.9,94,40,7.42,14.57
LAVERTON RAAF,02/10/2025,3.0,5.0, ,16.0,8.2,94,49,7.92,11.95
LAVERTON RAAF,03/10/2025,3.1,0.4, ,19.7,10.9,98,55,6.21,13.97
LAVERTON RAAF,04/10/2025,4.5,0.0, ,26.1,7.4,100,28,2.76,21.99
LAVERTON RAAF,05/10/2025,6.0,0.0, ,28.0,15.4,86,23,7.26,7.51
LAVERTON RAAF,06/10/2025,3.1,1.8, ,16.6,10.3,97,39,4.91,13.25
LAVERTON RAAF,07/10/2025,4.2,0.0, ,20.6,6.4,92,35,4.32,22.06
LAVERTON RAAF,08/10/2025,5.0,0.0, ,24.3,6.1,88,33,5.26,19.67
LAVERTON RAAF,09/10/2025,4.8,0.0, ,21.6,9.8,92,35,6.44,19.90
LAVERTON RAAF,10/10/2025,6.6,0.0, ,23.6,12.6,58,31,9.16,16.22
LAVERTON RAAF,11/10/2025,5.1,0.0, ,22.5,12.2,100,27,6.24,20.66
LAVERTON RAAF,12/10/2025,4.1,1.4, ,21.3,8.6,100,35,5.80,14.25
LAVERTON RAAF,13/10/2025,3.2,3.6, ,16.3,5.1,98,43,2.94,21.81
LAVERTON RAAF,14/10/2025,4.4,0.0, ,21.3,6.6,96,36,4.45,21.98
Totals:,,61,15, ,,,,,, 
