'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/08/2025,1.6,0.0, ,14.0,0.7,98,53,3.33,11.84
LONGERENONG,02/08/2025,1.2,0.0, ,15.4,-0.5,98,47,1.14,12.29
LONGERENONG,03/08/2025,1.8,0.0, ,17.1,-2.5,98,42,2.35,12.40
LONGERENONG,04/08/2025,2.6,0.0, ,18.1,2.6,89,46,5.20,10.61
LONGERENONG,05/08/2025,1.9,2.2, ,15.0,4.0,96,56,4.56,11.41
LONGERENONG,06/08/2025,1.8,0.2, ,14.7,4.9,96,49,3.48,11.93
LONGERENONG,07/08/2025,1.4,0.0, ,12.6,-0.2,97,49,1.86,12.57
LONGERENONG,08/08/2025,2.0,0.0, ,15.3,0.3,97,49,3.90,12.90
LONGERENONG,09/08/2025,2.1,0.0, ,17.4,4.5,91,45,2.81,13.15
LONGERENONG,10/08/2025,2.0,0.0, ,17.6,6.7,86,53,2.68,12.83
LONGERENONG,11/08/2025,2.2,0.0, ,18.1,4.9,90,48,3.02,13.42
LONGERENONG,12/08/2025,1.1,6.4, ,13.8,8.8,96,74,2.31,6.92
LONGERENONG,13/08/2025,1.6,7.4, ,14.9,1.1,98,56,2.06,13.54
LONGERENONG,14/08/2025,2.0,0.0, ,16.3,1.5,97,45,2.57,13.83
LONGERENONG,15/08/2025,1.9,0.0, ,15.6,6.5,93,61,5.28,9.58
LONGERENONG,16/08/2025,1.7,1.2, ,11.9,1.4,96,54,3.50,12.79
LONGERENONG,17/08/2025,1.3,2.4, ,11.5,3.1,97,68,2.52,10.35
LONGERENONG,18/08/2025,1.8,0.2, ,12.1,3.9,94,55,3.97,13.23
LONGERENONG,19/08/2025,1.5,0.0, ,13.4,-2.7,96,50,1.27,14.38
LONGERENONG,20/08/2025,2.2,0.2, ,17.5,0.5,94,44,2.64,14.71
LONGERENONG,21/08/2025,2.4,0.0, ,19.1,3.3,83,47,2.84,14.74
LONGERENONG,22/08/2025,1.8,0.0, ,17.4,8.1,90,54,2.57,8.76
LONGERENONG,23/08/2025,2.0,0.0, ,16.8,3.9,98,45,2.35,13.04
LONGERENONG,24/08/2025,1.9,0.0, ,16.3,1.1,97,43,1.60,15.34
LONGERENONG,25/08/2025,1.9,0.0, ,15.2,3.7,89,55,3.13,9.88
LONGERENONG,26/08/2025,1.7,2.0, ,14.2,8.3,96,60,4.99,5.96
LONGERENONG,27/08/2025,2.6,13.2, ,13.6,7.4,93,51,7.38,15.28
LONGERENONG,28/08/2025,2.0,1.2, ,14.1,7.0,95,66,6.38,13.51
LONGERENONG,29/08/2025,1.8,2.6, ,11.4,6.0,96,64,9.15,10.52
LONGERENONG,30/08/2025,1.9,15.0, ,12.4,3.8,94,62,5.56,13.01
LONGERENONG,31/08/2025,1.9,0.0, ,15.3,5.5,97,65,3.97,13.96
Totals:,,57.6,54.2, ,,,,,, 
