'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/09/2025,1.9,0.8, ,15.4,4.3,98,54,1.71,15.08
LONGERENONG,02/09/2025,2.6,0.0, ,17.9,4.5,97,50,4.20,14.05
LONGERENONG,03/09/2025,2.5,0.0, ,16.6,5.6,93,53,4.67,14.27
LONGERENONG,04/09/2025,2.1,0.2, ,14.3,6.9,97,55,4.04,13.46
LONGERENONG,05/09/2025,2.1,0.0, ,14.4,-2.9,96,44,1.99,17.00
LONGERENONG,06/09/2025,2.6,0.0, ,18.1,4.5,79,54,4.19,11.67
LONGERENONG,07/09/2025,3.4,0.0, ,23.7,9.8,85,52,6.09,8.37
LONGERENONG,08/09/2025,2.7,2.0, ,18.5,5.2,95,53,4.38,14.85
LONGERENONG,09/09/2025,2.1,0.2, ,16.8,4.7,98,58,2.30,15.13
LONGERENONG,10/09/2025,1.7,0.0, ,13.2,5.4,90,67,3.37,9.94
LONGERENONG,11/09/2025,2.6,0.2, ,16.1,4.6,96,51,3.93,17.36
LONGERENONG,12/09/2025,2.0,0.2, ,16.9,-0.3,98,59,2.33,13.17
LONGERENONG,13/09/2025,2.3,0.0, ,17.9,6.5,96,56,1.55,16.19
LONGERENONG,14/09/2025,3.8,0.0, ,21.1,2.0,95,36,4.20,18.91
LONGERENONG,15/09/2025,5.4,0.2, ,26.2,7.0,89,27,5.70,16.06
LONGERENONG,16/09/2025,2.8,1.6, ,16.8,11.1,97,52,5.58,15.15
LONGERENONG,17/09/2025,2.7,0.6, ,16.4,3.3,96,42,3.36,14.92
LONGERENONG,18/09/2025,4.0,0.0, ,22.1,0.3,97,32,3.86,19.65
LONGERENONG,19/09/2025,4.3,0.2, ,20.4,8.0,93,36,6.34,19.66
LONGERENONG,20/09/2025,2.6,4.2, ,15.8,4.3,94,57,5.12,16.24
LONGERENONG,21/09/2025,2.3,0.2, ,16.8,8.4,97,68,5.37,15.07
LONGERENONG,22/09/2025,2.7,2.2, ,16.0,1.5,97,54,3.98,18.31
LONGERENONG,23/09/2025,2.3,0.2, ,16.6,4.7,95,59,3.85,12.11
LONGERENONG,24/09/2025,3.2,1.0, ,19.3,10.5,96,50,5.04,16.16
LONGERENONG,25/09/2025,2.5,0.2, ,16.5,10.0,92,61,4.80,12.75
LONGERENONG,26/09/2025,4.8,0.0, ,24.0,5.2,92,32,5.65,16.54
LONGERENONG,27/09/2025,3.4,0.0, ,18.4,1.3,98,43,4.60,19.61
LONGERENONG,28/09/2025,2.6,0.0, ,17.8,4.0,98,44,1.40,17.75
LONGERENONG,29/09/2025,3.8,0.0, ,24.1,2.4,92,36,3.15,16.53
LONGERENONG,30/09/2025,3.4,4.0, ,19.2,11.9,96,45,4.53,17.00
Totals:,,87.2,18.2, ,,,,,, 
