'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/10/2025,3.4,0.6, ,18.3,4.3,98,47,6.71,16.65
LONGERENONG,02/10/2025,3.4,3.2, ,16.6,5.7,93,49,7.01,19.74
LONGERENONG,03/10/2025,3.0,0.2, ,19.1,7.2,96,53,4.02,16.02
LONGERENONG,04/10/2025,4.2,0.2, ,26.2,0.9,98,29,2.05,22.60
LONGERENONG,05/10/2025,5.8,0.0, ,28.9,12.5,94,19,5.08,13.65
LONGERENONG,06/10/2025,2.7,2.4, ,15.6,9.3,94,50,4.19,14.23
LONGERENONG,07/10/2025,3.0,0.0, ,17.9,8.0,93,45,3.45,15.34
LONGERENONG,08/10/2025,4.1,0.0, ,21.3,1.6,95,39,4.12,21.10
LONGERENONG,09/10/2025,4.2,0.0, ,20.5,4.7,98,38,5.63,19.25
LONGERENONG,10/10/2025,4.9,0.0, ,22.1,3.9,95,38,7.99,18.12
LONGERENONG,11/10/2025,4.5,0.0, ,21.2,8.4,96,33,5.67,18.80
LONGERENONG,12/10/2025,4.0,0.4, ,20.4,4.2,98,40,5.49,17.46
LONGERENONG,13/10/2025,3.6,0.4, ,19.3,-0.7,98,32,2.05,24.19
LONGERENONG,14/10/2025,4.3,0.0, ,21.7,2.8,95,36,3.49,24.05
Totals:,,55.1,7.4, ,,,,,, 
