'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/08/2025,1.1,2.0, ,14.1,7.1,95,74,2.91,9.31
MALLACOOTA,02/08/2025,1.6,9.4, ,15.3,8.2,96,56,3.33,9.11
MALLACOOTA,03/08/2025,1.4,7.4, ,16.7,8.5,96,72,3.17,10.68
MALLACOOTA,04/08/2025,2.2,0.4, ,18.9,8.3,96,51,4.35,11.74
MALLACOOTA,05/08/2025,1.4,0.0, ,15.8,10.6,95,72,3.13,10.84
MALLACOOTA,06/08/2025,2.2,0.2, ,17.5,5.2,93,44,3.81,10.22
MALLACOOTA,07/08/2025,1.8,0.0, ,13.1,8.3,80,53,3.48,8.88
MALLACOOTA,08/08/2025,1.6,0.0, ,15.5,7.0,93,58,3.06,10.49
MALLACOOTA,09/08/2025,1.4,5.4, ,15.4,8.8,96,67,2.35,11.24
MALLACOOTA,10/08/2025,1.5,0.2, ,15.1,5.5,95,66,3.02,12.07
MALLACOOTA,11/08/2025,1.5,0.6, ,14.9,5.4,95,67,3.00,12.17
MALLACOOTA,12/08/2025,1.7,0.4, ,16.1,4.5,95,62,3.51,12.94
MALLACOOTA,13/08/2025,1.5,0.2, ,14.3,6.2,94,59,2.86,8.40
MALLACOOTA,14/08/2025,1.4,1.6, ,14.8,8.4,95,69,3.15,8.42
MALLACOOTA,15/08/2025,1.6,0.4, ,17.7,5.9,95,60,2.48,9.55
MALLACOOTA,16/08/2025,2.2,0.0, ,14.3,8.8,87,48,4.09,12.39
MALLACOOTA,17/08/2025,1.9,3.2, ,13.2,5.5,88,57,4.00,12.39
MALLACOOTA,18/08/2025,1.6,1.8, ,13.3,5.6,86,67,3.63,11.84
MALLACOOTA,19/08/2025,1.6,0.4, ,14.3,4.4,95,63,3.12,11.45
MALLACOOTA,20/08/2025,1.8,0.0, ,16.9,4.7,96,67,3.63,13.53
MALLACOOTA,21/08/2025,1.6,4.6, ,17.0,8.2,95,75,4.32,9.87
MALLACOOTA,22/08/2025,2.0,2.8, ,19.9,8.6,97,65,2.52,13.84
MALLACOOTA,23/08/2025,2.2,0.0, ,16.8,10.4,90,63,4.77,12.28
MALLACOOTA,24/08/2025,1.3,3.4, ,13.6,9.7,96,75,4.86,7.12
MALLACOOTA,25/08/2025,1.5,23.4, ,16.2,10.9,96,80,3.05,11.66
MALLACOOTA,26/08/2025,2.0,0.0, ,18.0,11.8,93,46,3.31,4.69
MALLACOOTA,27/08/2025,3.7,0.8, ,20.6,12.8,75,30,4.27,14.25
MALLACOOTA,28/08/2025,2.4,0.0, ,17.4,5.7,91,38,2.86,12.47
MALLACOOTA,29/08/2025,3.0,1.6, ,19.5,5.7,86,33,3.39,14.57
MALLACOOTA,30/08/2025,2.1,6.2, ,14.1,2.9,93,55,6.27,8.45
MALLACOOTA,31/08/2025,2.8,10.8, ,17.5,7.5,87,51,4.86,14.74
Totals:,,57.6,87.2, ,,,,,, 
