'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/09/2025,2.5,0.0, ,17.1,6.8,91,46,3.34,14.58
MALLACOOTA,02/09/2025,2.2,0.0, ,17.3,5.1,92,58,3.27,14.22
MALLACOOTA,03/09/2025,3.5,0.0, ,22.5,6.7,87,31,3.31,14.69
MALLACOOTA,04/09/2025,3.2,0.0, ,19.8,7.0,94,37,4.10,14.51
MALLACOOTA,05/09/2025,2.7,0.0, ,15.1,6.7,89,43,4.16,14.96
MALLACOOTA,06/09/2025,3.1,0.0, ,20.2,4.2,91,40,3.50,16.92
MALLACOOTA,07/09/2025,3.0,0.0, ,23.6,9.2,84,44,3.13,10.89
MALLACOOTA,08/09/2025,3.3,0.0, ,25.1,14.9,93,49,2.93,16.07
MALLACOOTA,09/09/2025,2.8,0.0, ,17.8,8.4,91,52,4.30,16.62
MALLACOOTA,10/09/2025,1.9,0.0, ,14.4,8.3,89,62,3.39,10.47
MALLACOOTA,11/09/2025,2.3,4.8, ,15.1,9.6,95,59,5.03,13.15
MALLACOOTA,12/09/2025,2.9,0.0, ,17.2,8.8,83,51,4.35,15.61
MALLACOOTA,13/09/2025,2.9,0.0, ,18.6,9.9,87,54,3.65,16.23
MALLACOOTA,14/09/2025,2.9,0.0, ,19.8,7.4,95,49,2.80,17.90
MALLACOOTA,15/09/2025,3.8,0.0, ,22.6,6.0,91,37,3.55,18.66
MALLACOOTA,16/09/2025,2.5,0.0, ,22.3,10.2,95,48,2.90,7.81
MALLACOOTA,17/09/2025,3.4,4.2, ,18.2,6.7,95,39,4.40,19.00
MALLACOOTA,18/09/2025,2.8,0.0, ,16.7,6.0,91,52,3.54,18.46
MALLACOOTA,19/09/2025,4.3,0.0, ,24.2,7.4,84,32,4.05,16.56
MALLACOOTA,20/09/2025,3.1,1.8, ,15.2,8.7,90,44,5.08,17.25
MALLACOOTA,21/09/2025,3.4,0.0, ,20.8,7.0,81,38,3.14,16.49
MALLACOOTA,22/09/2025, ,0.0, , ,9.5, , , ,16.99
MALLACOOTA,23/09/2025, , , , , , , , ,15.00
MALLACOOTA,24/09/2025, , , ,18.0, ,92,46,4.50,14.25
MALLACOOTA,25/09/2025,2.9,0.0, ,18.3,6.0,90,54,3.37,18.26
MALLACOOTA,26/09/2025,3.9,0.0, ,24.0,9.1,92,28,3.30,14.03
MALLACOOTA,27/09/2025,3.0,0.0, ,17.5,11.5,87,67,3.24,20.39
MALLACOOTA,28/09/2025,2.6,0.0, ,16.8,9.9,89,56,3.54,13.83
MALLACOOTA,29/09/2025,3.3,0.0, ,19.2,10.1,87,53,3.39,18.85
MALLACOOTA,30/09/2025,3.5,0.0, ,24.3,13.3,89,46,3.54,13.49
Totals:,,81.7,10.8, ,,,,,, 
