'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/08/2025,1.8,0.0, ,13.7,2.1,97,47,3.74,12.01
MANGALORE AIRPORT,02/08/2025,1.9,0.0, ,15.4,3.3,93,51,4.10,12.13
MANGALORE AIRPORT,03/08/2025,1.5,0.2, ,17.6,1.0,97,45,1.66,12.25
MANGALORE AIRPORT,04/08/2025,1.8,0.0, ,17.5,-0.8,97,63,4.32,11.48
MANGALORE AIRPORT,05/08/2025,1.6,5.2, ,14.2,6.4,96,58,3.67,10.26
MANGALORE AIRPORT,06/08/2025,1.4,0.0, ,14.8,2.1,96,62,2.63,10.39
MANGALORE AIRPORT,07/08/2025,1.6,0.2, ,13.5,0.0,96,53,3.05,12.73
MANGALORE AIRPORT,08/08/2025,2.0,0.0, ,15.6,4.3,93,45,3.39,12.86
MANGALORE AIRPORT,09/08/2025,1.8,0.0, ,17.0,3.3,96,46,2.19,12.99
MANGALORE AIRPORT,10/08/2025,1.5,0.0, ,17.1,1.8,97,51,1.32,13.12
MANGALORE AIRPORT,11/08/2025,1.4,0.2, ,16.2,0.5,97,52,1.32,13.25
MANGALORE AIRPORT,12/08/2025,1.0,0.0, ,11.8,0.5,97,67,1.72,5.92
MANGALORE AIRPORT,13/08/2025,1.7,7.2, ,15.0,6.0,98,57,2.86,12.04
MANGALORE AIRPORT,14/08/2025,1.9,0.0, ,15.7,0.4,98,41,2.44,13.66
MANGALORE AIRPORT,15/08/2025,1.5,0.0, ,14.2,4.5,96,67,4.24,8.69
MANGALORE AIRPORT,16/08/2025,1.5,1.4, ,12.4,2.0,98,52,2.40,12.08
MANGALORE AIRPORT,17/08/2025,1.0,0.0, ,11.3,0.7,96,76,2.06,9.04
MANGALORE AIRPORT,18/08/2025,1.9,0.2, ,12.9,1.9,96,52,3.60,14.22
MANGALORE AIRPORT,19/08/2025,2.0,0.0, ,15.4,1.1,89,43,2.45,14.26
MANGALORE AIRPORT,20/08/2025,2.2,0.0, ,17.7,-0.1,94,38,2.28,14.52
MANGALORE AIRPORT,21/08/2025,2.3,0.0, ,19.7,1.6,93,40,2.15,14.36
MANGALORE AIRPORT,22/08/2025,1.4,0.0, ,16.1,5.3,97,73,2.83,10.08
MANGALORE AIRPORT,23/08/2025,2.1,0.0, ,16.4,3.0,98,52,3.21,13.61
MANGALORE AIRPORT,24/08/2025,2.4,0.0, ,16.1,1.2,92,40,2.99,15.15
MANGALORE AIRPORT,25/08/2025,2.1,0.0, ,16.9,-0.4,97,46,2.27,14.21
MANGALORE AIRPORT,26/08/2025,1.5,2.2, ,14.0,5.8,96,62,4.27,3.85
MANGALORE AIRPORT,27/08/2025,2.3,13.6, ,15.2,8.2,95,56,6.19,11.19
MANGALORE AIRPORT,28/08/2025,1.9,0.2, ,13.7,7.3,88,63,4.60,9.70
MANGALORE AIRPORT,29/08/2025,1.8,2.4, ,12.4,6.8,94,60,6.26,8.09
MANGALORE AIRPORT,30/08/2025,1.8,12.2, ,11.1,5.2,93,63,5.97,12.56
MANGALORE AIRPORT,31/08/2025,1.7,0.4, ,14.7,5.2,95,61,2.47,11.74
Totals:,,54.3,45.6, ,,,,,, 
