'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/09/2025,1.7,0.0, ,14.8,5.3,98,64,1.78,13.19
MANGALORE AIRPORT,02/09/2025,2.1,0.0, ,15.8,2.8,97,57,3.50,13.80
MANGALORE AIRPORT,03/09/2025,2.6,0.0, ,17.9,8.2,89,54,4.67,11.95
MANGALORE AIRPORT,04/09/2025,2.1,0.4, ,16.1,6.4,91,59,3.69,12.28
MANGALORE AIRPORT,05/09/2025,2.3,0.6, ,15.4,-0.7,95,39,2.16,17.02
MANGALORE AIRPORT,06/09/2025,2.5,0.0, ,18.7,-0.2,96,59,3.89,16.74
MANGALORE AIRPORT,07/09/2025,2.5,0.0, ,16.9,7.6,92,56,7.96,4.50
MANGALORE AIRPORT,08/09/2025,2.3,6.2, ,17.9,6.5,97,58,3.39,14.49
MANGALORE AIRPORT,09/09/2025,2.2,0.0, ,17.4,1.5,97,51,2.07,15.71
MANGALORE AIRPORT,10/09/2025,2.5,0.0, ,13.9,6.3,78,58,6.71,9.52
MANGALORE AIRPORT,11/09/2025,2.6,0.0, ,15.2,5.0,94,49,4.75,13.91
MANGALORE AIRPORT,12/09/2025,1.9,0.0, ,15.9,0.3,98,60,1.50,15.29
MANGALORE AIRPORT,13/09/2025,2.0,0.0, ,18.4,2.2,97,58,1.23,15.15
MANGALORE AIRPORT,14/09/2025,3.1,0.0, ,19.8,4.2,96,47,4.03,16.07
MANGALORE AIRPORT,15/09/2025,5.0,0.0, ,23.0,8.8,82,34,6.71,18.94
MANGALORE AIRPORT,16/09/2025,1.8,2.8, ,13.1,11.9,97,51,4.07,6.11
MANGALORE AIRPORT,17/09/2025,2.0,4.4, ,14.3,2.0,97,53,2.54,13.27
MANGALORE AIRPORT,18/09/2025,2.9,0.0, ,18.0,2.0,97,49,3.72,18.62
MANGALORE AIRPORT,19/09/2025,3.6,0.0, ,19.8,9.3,79,48,6.25,12.77
MANGALORE AIRPORT,20/09/2025,2.9,0.2, ,15.8,3.2,91,43,3.95,17.64
MANGALORE AIRPORT,21/09/2025,1.5,0.0, ,14.7,7.0,95,73,3.56,7.39
MANGALORE AIRPORT,22/09/2025,2.7,3.8, ,14.1,3.0,96,43,4.41,16.38
MANGALORE AIRPORT,23/09/2025,2.3,0.0, ,17.3,1.5,96,56,1.84,16.19
MANGALORE AIRPORT,24/09/2025,2.1,0.0, ,18.2,3.8,97,53,1.84,12.18
MANGALORE AIRPORT,25/09/2025,2.0,0.0, ,16.0,4.1,97,60,2.82,11.31
MANGALORE AIRPORT,26/09/2025,4.4,0.0, ,22.8,8.2,89,29,4.88,15.29
MANGALORE AIRPORT,27/09/2025,2.9,0.0, ,18.1,0.7,98,50,2.67,20.25
MANGALORE AIRPORT,28/09/2025,2.9,0.0, ,17.2,3.4,94,42,2.32,19.41
MANGALORE AIRPORT,29/09/2025,3.7,0.0, ,20.7,0.9,95,42,3.49,21.57
MANGALORE AIRPORT,30/09/2025,3.8,0.0, ,21.3,11.3,84,41,5.03,13.53
Totals:,,78.9,18.4, ,,,,,, 
