'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/10/2025,2.5,0.2, ,16.7,3.2,95,55,4.24,12.15
MANGALORE AIRPORT,02/10/2025,3.2,1.0, ,17.0,7.2,90,47,5.89,14.11
MANGALORE AIRPORT,03/10/2025,3.2,0.0, ,20.9,6.7,92,47,3.18,16.13
MANGALORE AIRPORT,04/10/2025,3.7,0.0, ,23.3,2.9,98,40,2.06,22.39
MANGALORE AIRPORT,05/10/2025,6.2,0.0, ,29.9,10.4,83,23,4.75,17.46
MANGALORE AIRPORT,06/10/2025,2.9,0.8, ,17.0,10.8,91,40,3.72,12.27
MANGALORE AIRPORT,07/10/2025,3.7,0.0, ,19.2,0.3,95,40,3.71,22.53
MANGALORE AIRPORT,08/10/2025,3.6,0.0, ,23.0,1.7,94,41,3.06,16.62
MANGALORE AIRPORT,09/10/2025,4.0,0.0, ,21.6,5.4,95,37,3.90,19.14
MANGALORE AIRPORT,10/10/2025,5.3,0.0, ,23.3,4.1,88,32,6.00,22.29
MANGALORE AIRPORT,11/10/2025,4.3,0.0, ,22.3,5.9,94,36,4.27,19.29
MANGALORE AIRPORT,12/10/2025,3.0,0.0, ,19.0,3.2,95,43,3.56,13.51
MANGALORE AIRPORT,13/10/2025,3.4,1.6, ,17.5,1.8,95,40,2.54,22.91
MANGALORE AIRPORT,14/10/2025,4.0,0.0, ,22.1,0.4,93,35,2.31,23.51
Totals:,,53,3.6, ,,,,,, 
