'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/08/2025,1.0,0.0, ,13.2,3.2,100,66,1.52,11.56
MELBOURNE (OLYMPIC PARK),02/08/2025,1.0,0.0, ,15.9,4.8,100,56,0.76,11.04
MELBOURNE (OLYMPIC PARK),03/08/2025,1.7,0.2, ,19.8,3.3,100,31,1.46,11.81
MELBOURNE (OLYMPIC PARK),04/08/2025,2.4,0.0, ,17.9,6.0,79,50,4.47,9.37
MELBOURNE (OLYMPIC PARK),05/08/2025,2.2,2.6, ,16.7,9.9,84,42,3.44,9.47
MELBOURNE (OLYMPIC PARK),06/08/2025,1.5,0.0, ,15.1,9.8,83,55,2.25,8.21
MELBOURNE (OLYMPIC PARK),07/08/2025,1.2,0.2, ,13.4,5.8,92,52,1.26,10.87
MELBOURNE (OLYMPIC PARK),08/08/2025,1.1,0.0, ,13.8,7.6,100,74,1.45,10.35
MELBOURNE (OLYMPIC PARK),09/08/2025,1.2,0.2, ,15.3,5.4,100,60,1.07,12.53
MELBOURNE (OLYMPIC PARK),10/08/2025,1.4,0.0, ,17.6,4.5,100,47,1.10,12.72
MELBOURNE (OLYMPIC PARK),11/08/2025,2.0,0.0, ,19.0,4.6,100,35,2.02,12.73
MELBOURNE (OLYMPIC PARK),12/08/2025,1.6,0.0, ,14.9,6.7,100,51,3.32,7.41
MELBOURNE (OLYMPIC PARK),13/08/2025,1.2,10.2, ,14.3,6.0,100,66,1.03,12.34
MELBOURNE (OLYMPIC PARK),14/08/2025,2.2,0.0, ,19.4,5.1,100,31,2.14,13.26
MELBOURNE (OLYMPIC PARK),15/08/2025,1.9,0.0, ,14.7,8.8,96,53,4.99,5.25
MELBOURNE (OLYMPIC PARK),16/08/2025,1.8,4.4, ,12.9,7.4,86,46,2.52,11.47
MELBOURNE (OLYMPIC PARK),17/08/2025,1.6,0.6, ,13.9,4.7,85,53,2.31,9.83
MELBOURNE (OLYMPIC PARK),18/08/2025, ,0.0, , ,5.1,93,47,1.44,8.60
MELBOURNE (OLYMPIC PARK),19/08/2025,1.8,0.0, ,17.0,1.6,97,35,1.45,13.85
MELBOURNE (OLYMPIC PARK),20/08/2025,2.0,0.0, ,18.4,3.7,88,36,1.68,14.13
MELBOURNE (OLYMPIC PARK),21/08/2025,2.0,0.0, ,20.3,4.6,95,37,1.43,14.28
MELBOURNE (OLYMPIC PARK),22/08/2025,2.2,0.0, ,19.5,9.1,89,53,3.08,11.39
MELBOURNE (OLYMPIC PARK),23/08/2025,1.8,0.0, ,15.1,8.8,98,52,1.93,13.53
MELBOURNE (OLYMPIC PARK),24/08/2025,1.6,0.0, ,14.2,5.4,100,52,1.42,14.66
MELBOURNE (OLYMPIC PARK),25/08/2025,2.4,0.0, ,18.2,4.7,100,36,3.03,11.85
MELBOURNE (OLYMPIC PARK),26/08/2025,2.8,0.0, ,16.3,8.1,90,37,5.96,4.29
MELBOURNE (OLYMPIC PARK),27/08/2025,2.2,5.6, ,15.8,10.3,93,47,4.10,9.12
MELBOURNE (OLYMPIC PARK),28/08/2025,2.7,0.6, ,16.7,9.9,67,41,3.43,10.98
MELBOURNE (OLYMPIC PARK),29/08/2025,2.2,0.4, ,14.0,9.0,82,54,4.74,9.46
MELBOURNE (OLYMPIC PARK),30/08/2025,1.9,10.8, ,12.5,6.7,95,54,4.55,10.98
MELBOURNE (OLYMPIC PARK),31/08/2025,2.1,1.6, ,17.1,6.8,88,46,2.38,11.25
Totals:,,54.7,37.4, ,,,,,, 
