'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/09/2025,1.9,0.2, ,15.7,9.7,85,56,2.15,12.03
MELBOURNE (OLYMPIC PARK),02/09/2025,2.5,0.0, ,17.2,8.7,93,47,3.70,12.88
MELBOURNE (OLYMPIC PARK),03/09/2025,3.3,0.2, ,19.4,11.6,76,32,3.81,12.13
MELBOURNE (OLYMPIC PARK),04/09/2025,2.3,0.4, ,15.8,10.6,77,47,2.78,10.13
MELBOURNE (OLYMPIC PARK),05/09/2025,2.2,1.2, ,15.4,4.2,90,38,1.60,16.51
MELBOURNE (OLYMPIC PARK),06/09/2025,3.6,0.0, ,22.1,3.7,88,31,3.51,16.32
MELBOURNE (OLYMPIC PARK),07/09/2025,3.5,0.0, ,20.8,9.7,81,44,6.31,8.36
MELBOURNE (OLYMPIC PARK),08/09/2025,3.2,0.6, ,20.1,13.1,81,46,4.40,13.09
MELBOURNE (OLYMPIC PARK),09/09/2025,2.0,1.2, ,16.2,10.8,99,53,2.16,12.52
MELBOURNE (OLYMPIC PARK),10/09/2025,1.9,0.2, ,14.0,7.6,100,58,2.49,12.59
MELBOURNE (OLYMPIC PARK),11/09/2025,2.1,1.0, ,14.6,9.0,92,59,2.40,14.59
MELBOURNE (OLYMPIC PARK),12/09/2025,2.2,0.4, ,17.1,7.4,84,55,1.83,14.34
MELBOURNE (OLYMPIC PARK),13/09/2025,1.9,0.0, ,17.0,11.3,90,63,1.43,11.54
MELBOURNE (OLYMPIC PARK),14/09/2025,4.1,0.0, ,21.4,10.8,80,38,4.75,17.92
MELBOURNE (OLYMPIC PARK),15/09/2025,6.0,0.0, ,24.2,14.4,52,32,6.92,17.49
MELBOURNE (OLYMPIC PARK),16/09/2025,2.7,0.0, ,18.6,15.7,85,36,3.84,5.33
MELBOURNE (OLYMPIC PARK),17/09/2025,2.7,7.2, ,16.1,10.2,77,39,2.96,12.34
MELBOURNE (OLYMPIC PARK),18/09/2025,3.8,0.0, ,19.8,6.4,83,38,4.41,18.68
MELBOURNE (OLYMPIC PARK),19/09/2025,5.0,0.0, ,23.1,13.6,77,25,5.79,14.41
MELBOURNE (OLYMPIC PARK),20/09/2025,2.9,0.2, ,15.2,8.4,70,39,3.16,13.36
MELBOURNE (OLYMPIC PARK),21/09/2025,2.1,0.0, ,17.2,10.5,87,53,3.41,6.35
MELBOURNE (OLYMPIC PARK),22/09/2025,2.6,2.2, ,13.9,7.9,81,52,3.21,15.99
MELBOURNE (OLYMPIC PARK),23/09/2025,2.6,0.6, ,17.7,8.6,83,49,2.09,15.18
MELBOURNE (OLYMPIC PARK),24/09/2025,2.3,0.0, ,17.3,12.9,100,56,2.67,12.40
MELBOURNE (OLYMPIC PARK),25/09/2025,2.2,1.0, ,17.2,11.6,79,50,2.54,7.00
MELBOURNE (OLYMPIC PARK),26/09/2025,3.8,0.0, ,24.2,13.2,80,29,3.51,10.27
MELBOURNE (OLYMPIC PARK),27/09/2025,3.4,0.2, ,19.5,10.9,82,35,2.64,18.21
MELBOURNE (OLYMPIC PARK),28/09/2025,3.0,0.0, ,16.1,10.6,83,42,2.23,19.14
MELBOURNE (OLYMPIC PARK),29/09/2025,4.0,0.0, ,22.5,6.4,90,36,3.30,20.20
MELBOURNE (OLYMPIC PARK),30/09/2025,2.6,0.8, ,21.0,13.4,87,38,2.16,8.83
Totals:,,88.4,17.6, ,,,,,, 
