'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/10/2025,3.3,1.2, ,18.3,10.5,78,48,4.56,13.25
MELBOURNE (OLYMPIC PARK),02/10/2025,2.4,3.6, ,15.2,8.9,84,47,3.53,8.90
MELBOURNE (OLYMPIC PARK),03/10/2025,2.6,0.6, ,18.6,12.0,95,57,2.66,14.63
MELBOURNE (OLYMPIC PARK),04/10/2025,4.2,0.0, ,25.3,9.4,100,36,2.57,21.98
MELBOURNE (OLYMPIC PARK),05/10/2025,4.5,0.0, ,26.3,15.2,72,33,4.70,7.95
MELBOURNE (OLYMPIC PARK),06/10/2025,2.9,2.6, ,17.2,11.5,96,39,2.47,15.89
MELBOURNE (OLYMPIC PARK),07/10/2025,3.8,0.0, ,19.7,9.7,76,36,2.70,20.76
MELBOURNE (OLYMPIC PARK),08/10/2025,4.3,0.0, ,23.8,9.7,80,36,3.50,18.72
MELBOURNE (OLYMPIC PARK),09/10/2025,4.1,0.0, ,21.2,12.5,84,33,3.53,18.48
MELBOURNE (OLYMPIC PARK),10/10/2025,5.1,0.0, ,21.9,13.7,52,33,4.82,16.89
MELBOURNE (OLYMPIC PARK),11/10/2025,4.0,0.0, ,22.0,13.4,100,31,3.27,19.01
MELBOURNE (OLYMPIC PARK),12/10/2025,3.1,2.0, ,20.1,10.2,100,40,3.08,13.84
MELBOURNE (OLYMPIC PARK),13/10/2025,3.6,4.0, ,17.4,8.1,83,37,2.10,23.31
MELBOURNE (OLYMPIC PARK),14/10/2025,3.3,0.0, ,19.3,7.8,95,46,1.88,21.00
Totals:,,51.2,14, ,,,,,, 
