'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/08/2025,1.2,0.2, ,12.7,1.4,97,59,2.60,10.02
MELBOURNE AIRPORT,02/08/2025,1.2,0.0,4.6,13.1,5.2,97,62,2.31,9.15
MELBOURNE AIRPORT,03/08/2025,2.9,0.0,1.2,19.3,2.4,92,27,4.03,11.91
MELBOURNE AIRPORT,04/08/2025,3.1,0.2,2.6,18.1,6.2,78,54,9.67,7.30
MELBOURNE AIRPORT,05/08/2025,2.7,0.6,3.4,16.3,7.1,87,44,6.08,11.98
MELBOURNE AIRPORT,06/08/2025,1.8,0.2,3.4,13.7,8.2,91,57,4.98,8.71
MELBOURNE AIRPORT,07/08/2025,1.4,0.0,2.0,12.6,2.4,89,54,2.58,8.63
MELBOURNE AIRPORT,08/08/2025,1.2,0.2,1.0,13.9,4.6,97,66,2.75,8.49
MELBOURNE AIRPORT,09/08/2025,1.9,0.2,1.2,17.1,3.4,97,47,2.95,12.63
MELBOURNE AIRPORT,10/08/2025,2.4,0.0,2.0,18.6,1.0,91,40,3.34,12.76
MELBOURNE AIRPORT,11/08/2025,2.8,0.0,1.8,17.9,2.4,90,35,4.49,12.91
MELBOURNE AIRPORT,12/08/2025,2.0,0.0,3.4,13.7,4.6,96,57,7.29,7.53
MELBOURNE AIRPORT,13/08/2025,1.8,9.2,3.2,14.9,5.0,93,54,3.62,10.63
MELBOURNE AIRPORT,14/08/2025,3.0,0.0,0.8,18.1,3.1,95,32,4.84,13.33
MELBOURNE AIRPORT,15/08/2025,2.1,0.0,4.8,14.1,7.0,92,58,8.42,5.80
MELBOURNE AIRPORT,16/08/2025,1.9,3.4,1.2,12.3,5.3,89,55,4.96,12.56
MELBOURNE AIRPORT,17/08/2025,1.8,1.0, ,12.7,2.5,87,62,5.00,11.98
MELBOURNE AIRPORT,18/08/2025,1.5,0.0, ,11.3,4.0,92,52,3.20,7.98
MELBOURNE AIRPORT,19/08/2025,2.4,0.2,3.2,16.5,0.2,92,35,3.25,13.93
MELBOURNE AIRPORT,20/08/2025,2.6,0.0,2.8,18.3,0.7,87,34,3.09,14.21
MELBOURNE AIRPORT,21/08/2025,3.0,0.0,2.4,20.8,3.2,83,33,3.35,14.33
MELBOURNE AIRPORT,22/08/2025,2.7,0.0,3.0,19.0,8.0,85,52,5.41,10.86
MELBOURNE AIRPORT,23/08/2025,2.1,0.2,2.6,14.9,6.1,93,50,4.14,11.40
MELBOURNE AIRPORT,24/08/2025,2.0,0.0,2.0,14.8,2.4,94,50,3.10,14.75
MELBOURNE AIRPORT,25/08/2025,3.5,0.2,2.4,17.7,1.7,96,32,6.54,11.98
MELBOURNE AIRPORT,26/08/2025,2.8,0.0,6.0,15.3,10.5,93,50,11.51,5.32
MELBOURNE AIRPORT,27/08/2025,3.1,5.8,1.8,16.7,8.7,94,45,8.68,12.67
MELBOURNE AIRPORT,28/08/2025,3.2,0.0,4.8,16.0,7.0,79,43,7.05,10.32
MELBOURNE AIRPORT,29/08/2025,2.4,0.2,3.6,14.3,7.4,88,57,8.06,8.50
MELBOURNE AIRPORT,30/08/2025,2.2,12.8,6.0,12.6,4.8,95,55,7.98,12.63
MELBOURNE AIRPORT,31/08/2025,2.4,1.0,0.6,16.9,5.6,95,47,4.07,10.72
Totals:,,71.1,35.6,77.8,,,,,, 
