'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/09/2025,2.3,0.0,1.6,16.5,6.3,95,47,3.41,11.85
MELBOURNE AIRPORT,02/09/2025,2.9,0.0,2.8,17.1,7.6,91,47,6.39,10.77
MELBOURNE AIRPORT,03/09/2025,4.0,0.2,4.2,18.5,9.0,75,38,7.59,12.45
MELBOURNE AIRPORT,04/09/2025,2.8,0.2,3.8,15.4,8.1,90,43,6.07,10.49
MELBOURNE AIRPORT,05/09/2025,2.6,1.2,2.8,14.7,1.3,92,34,3.10,16.50
MELBOURNE AIRPORT,06/09/2025,4.3,0.0,3.6,20.3,1.0,94,39,8.95,16.43
MELBOURNE AIRPORT,07/09/2025,3.4,0.2,7.8,17.8,13.3,90,53,12.14,10.32
MELBOURNE AIRPORT,08/09/2025,3.5,2.8,4.4,19.8,10.9,94,46,6.86,14.79
MELBOURNE AIRPORT,09/09/2025,2.7,0.0,4.0,18.1,8.3,91,46,3.80,12.82
MELBOURNE AIRPORT,10/09/2025,1.6,0.2,3.4,12.6,4.9,95,63,4.41,6.91
MELBOURNE AIRPORT,11/09/2025,2.2,2.2,2.0,14.8,7.4,96,54,4.40,11.23
MELBOURNE AIRPORT,12/09/2025,2.5,2.4,1.6,16.6,5.6,89,53,4.52,12.56
MELBOURNE AIRPORT,13/09/2025,2.5,0.4,1.2,18.9,9.5,96,55,3.32,12.91
MELBOURNE AIRPORT,14/09/2025,4.4,0.2,2.0,21.1,7.9,88,38,7.10,18.25
MELBOURNE AIRPORT,15/09/2025,6.9,0.0,7.6,24.2,10.7,68,29,11.35,18.34
MELBOURNE AIRPORT,16/09/2025,4.3,0.0,12.6,19.3,13.7,76,34,7.19,11.01
MELBOURNE AIRPORT,17/09/2025,3.4,0.0,5.0,15.8,7.7,78,39,5.84,14.91
MELBOURNE AIRPORT,18/09/2025,4.5,0.0,4.4,19.6,4.9,83,38,8.60,18.62
MELBOURNE AIRPORT,19/09/2025,6.4,0.0,7.0,22.6,11.5,87,24,11.90,17.59
MELBOURNE AIRPORT,20/09/2025,3.3,0.0,8.8,15.5,6.8,80,40,6.13,12.54
MELBOURNE AIRPORT,21/09/2025,2.3,0.2,3.8,16.3,8.0,88,56,5.41,6.81
MELBOURNE AIRPORT,22/09/2025,3.2,2.6,2.4,14.7,6.0,86,41,6.64,14.01
MELBOURNE AIRPORT,23/09/2025,3.0,0.6,3.4,18.0,6.3,91,50,4.96,14.70
MELBOURNE AIRPORT,24/09/2025,2.8,0.0,3.8,18.4,11.6,94,52,5.44,10.16
MELBOURNE AIRPORT,25/09/2025,2.4,1.8,2.6,16.7,9.9,87,53,4.67,6.75
MELBOURNE AIRPORT,26/09/2025,5.2,0.0,3.8,24.2,11.8,80,27,7.07,8.35
MELBOURNE AIRPORT,27/09/2025,4.1,0.0,5.4,19.4,6.4,85,35,5.16,19.30
MELBOURNE AIRPORT,28/09/2025,3.0,0.0,6.0,16.7,6.7,87,41,3.56,14.73
MELBOURNE AIRPORT,29/09/2025,4.9,0.0,3.8,22.5,4.7,89,34,6.40,20.16
MELBOURNE AIRPORT,30/09/2025,3.6,0.4,7.0,22.5,12.5,100,40,5.10,11.02
Totals:,,105,15.6,132.6,,,,,, 
