'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/08/2025,1.9,0.0, ,15.5,2.6,99,43,2.93,13.28
MILDURA AIRPORT,02/08/2025,1.9,0.0, ,15.7,0.7,99,34,2.18,13.38
MILDURA AIRPORT,03/08/2025,1.9,0.0, ,18.9,0.0,99,32,1.72,13.48
MILDURA AIRPORT,04/08/2025,3.9,0.0, ,21.4,4.9,83,33,6.18,12.43
MILDURA AIRPORT,05/08/2025,2.4,0.0, ,18.1,7.2,75,36,2.74,13.07
MILDURA AIRPORT,06/08/2025,2.2,0.0, ,18.4,5.2,88,39,2.55,11.78
MILDURA AIRPORT,07/08/2025,2.2,0.0, ,16.0,2.9,97,36,2.97,13.90
MILDURA AIRPORT,08/08/2025,2.5,0.0, ,16.4,5.8,73,42,3.58,13.41
MILDURA AIRPORT,09/08/2025,3.2,0.0, ,21.0,6.6,81,34,3.83,13.70
MILDURA AIRPORT,10/08/2025,2.8,0.0, ,21.1,8.5,80,38,2.94,13.40
MILDURA AIRPORT,11/08/2025,2.9,0.0, ,21.8,7.4,82,35,3.02,13.73
MILDURA AIRPORT,12/08/2025,1.6,2.4, ,16.5,11.9,100,53,2.76,6.63
MILDURA AIRPORT,13/08/2025,2.1,5.0, ,16.4,4.5,99,48,2.85,14.34
MILDURA AIRPORT,14/08/2025,2.2,0.2, ,18.9,2.2,100,35,2.02,14.89
MILDURA AIRPORT,15/08/2025,2.2,0.0, ,16.6,8.6,91,48,3.94,8.86
MILDURA AIRPORT,16/08/2025,2.4,0.4, ,15.5,5.0,92,35,3.34,14.30
MILDURA AIRPORT,17/08/2025,2.2,1.0, ,15.1,5.0,94,40,2.96,13.39
MILDURA AIRPORT,18/08/2025,2.0,0.2, ,15.7,2.0,100,50,3.45,11.34
MILDURA AIRPORT,19/08/2025,2.2,0.0, ,16.2,-0.2,99,33,2.26,15.39
MILDURA AIRPORT,20/08/2025,2.9,0.0, ,20.1,3.3,90,33,2.87,15.73
MILDURA AIRPORT,21/08/2025,2.6,0.0, ,20.5,4.1,90,38,2.29,15.15
MILDURA AIRPORT,22/08/2025,3.1,0.0, ,22.2,9.7,80,28,2.52,14.21
MILDURA AIRPORT,23/08/2025,2.7,0.0, ,20.4,7.8,99,35,2.49,16.17
MILDURA AIRPORT,24/08/2025,2.5,0.0, ,19.4,2.7,96,35,2.11,15.64
MILDURA AIRPORT,25/08/2025,4.4,0.0, ,23.2,9.5,58,24,4.20,14.57
MILDURA AIRPORT,26/08/2025,2.9,0.0, ,19.1,13.9,88,29,4.08,5.77
MILDURA AIRPORT,27/08/2025,2.8,2.6, ,17.2,8.8,88,49,4.73,14.19
MILDURA AIRPORT,28/08/2025,3.0,3.0, ,17.3,7.3,85,45,5.00,14.62
MILDURA AIRPORT,29/08/2025,3.2,2.4, ,15.0,8.3,84,39,6.70,13.36
MILDURA AIRPORT,30/08/2025,3.0,3.0, ,15.7,4.6,88,36,4.74,16.02
MILDURA AIRPORT,31/08/2025,2.0,0.0, ,16.1,2.8,100,50,2.38,13.41
Totals:,,79.8,20.2, ,,,,,, 
