'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/09/2025,1.8,0.0, ,16.3,4.7,100,48,1.35,12.17
MILDURA AIRPORT,02/09/2025,3.2,0.0, ,21.2,4.0,100,28,2.59,16.95
MILDURA AIRPORT,03/09/2025,4.1,0.0, ,22.0,8.3,72,22,3.67,16.76
MILDURA AIRPORT,04/09/2025,3.1,0.0, ,20.5,5.8,88,34,2.64,17.13
MILDURA AIRPORT,05/09/2025,3.7,0.0, ,19.8,5.3,84,26,3.78,17.55
MILDURA AIRPORT,06/09/2025,6.1,0.0, ,28.8,9.7,46,20,4.89,12.86
MILDURA AIRPORT,07/09/2025,6.8,0.6, ,29.7,15.9,78,27,7.43,15.49
MILDURA AIRPORT,08/09/2025,4.0,3.8, ,24.6,7.9,86,20,2.71,17.77
MILDURA AIRPORT,09/09/2025,3.5,0.0, ,21.1,8.4,83,31,3.29,14.77
MILDURA AIRPORT,10/09/2025,2.0,7.0, ,14.1,8.7,100,58,4.56,10.21
MILDURA AIRPORT,11/09/2025,2.9,2.0, ,16.8,5.7,99,43,3.98,16.85
MILDURA AIRPORT,12/09/2025,2.6,0.0, ,17.8,3.9,100,40,2.56,14.13
MILDURA AIRPORT,13/09/2025,2.9,0.0, ,20.2,5.2,100,35,1.68,18.54
MILDURA AIRPORT,14/09/2025,4.4,0.0, ,23.2,6.1,87,23,3.61,19.78
MILDURA AIRPORT,15/09/2025,8.3,0.0, ,30.0,10.8,58,13,6.98,19.46
MILDURA AIRPORT,16/09/2025,2.3,0.0, ,14.8,13.9,91,36,3.14,7.84
MILDURA AIRPORT,17/09/2025,3.1,6.8, ,18.3,5.8,95,33,2.43,18.86
MILDURA AIRPORT,18/09/2025,4.9,0.0, ,23.4,6.1,82,17,3.81,20.58
MILDURA AIRPORT,19/09/2025,6.5,0.0, ,26.8,12.0,54,18,5.26,19.64
MILDURA AIRPORT,20/09/2025,3.7,0.0, ,18.2,6.1,85,35,4.28,18.67
MILDURA AIRPORT,21/09/2025,3.6,0.0, ,20.6,8.1,79,40,3.78,16.14
MILDURA AIRPORT,22/09/2025,3.8,0.0, ,19.2,6.1,99,29,4.07,19.97
MILDURA AIRPORT,23/09/2025,3.9,0.0, ,20.4,5.0,93,34,3.60,21.45
MILDURA AIRPORT,24/09/2025,4.5,0.0, ,23.1,9.5,81,32,3.56,21.29
MILDURA AIRPORT,25/09/2025,4.5,0.0, ,24.8,6.0,98,23,2.99,21.36
MILDURA AIRPORT,26/09/2025,7.4,0.0, ,30.2,10.3,70,9,4.93,21.81
MILDURA AIRPORT,27/09/2025,3.8,0.0, ,23.6,7.1,98,37,2.50,21.00
MILDURA AIRPORT,28/09/2025,3.4,0.0, ,21.8,5.7,86,33,1.86,19.78
MILDURA AIRPORT,29/09/2025,7.0,0.0, ,28.1,9.7,69,14,5.49,20.93
MILDURA AIRPORT,30/09/2025,5.4,0.0, ,23.1,16.1,66,23,4.70,18.91
Totals:,,127.2,20.2, ,,,,,, 
