'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/08/2025,1.2,0.0, ,13.4,2.2,95,63,2.75,10.83
MOORABBIN AIRPORT,02/08/2025,1.2,0.0, ,15.3,4.7,96,63,1.89,10.93
MOORABBIN AIRPORT,03/08/2025,1.5,0.0, ,18.3,1.2,96,34,1.30,11.73
MOORABBIN AIRPORT,04/08/2025,3.0,0.0, ,18.9,6.9,78,49,6.71,9.69
MOORABBIN AIRPORT,05/08/2025,2.5,3.6, ,16.5,9.7,87,45,5.70,9.15
MOORABBIN AIRPORT,06/08/2025,2.0,0.0, ,14.6,9.4,79,59,4.61,9.97
MOORABBIN AIRPORT,07/08/2025,1.3,0.0, ,14.0,5.2,92,56,2.10,9.74
MOORABBIN AIRPORT,08/08/2025,1.3,0.0, ,14.8,6.3,95,63,2.15,8.80
MOORABBIN AIRPORT,09/08/2025,1.3,0.0, ,15.0,1.9,97,61,1.72,12.52
MOORABBIN AIRPORT,10/08/2025,1.6,0.2, ,17.4,0.5,96,39,1.44,12.65
MOORABBIN AIRPORT,11/08/2025,1.7,0.0, ,18.7,1.3,95,42,1.61,12.24
MOORABBIN AIRPORT,12/08/2025,2.0,0.0, ,16.7,3.7,95,44,3.45,7.71
MOORABBIN AIRPORT,13/08/2025,1.4,9.4, ,14.2,4.2,97,64,2.40,12.11
MOORABBIN AIRPORT,14/08/2025,2.1,0.0, ,16.0,4.1,95,38,2.80,13.20
MOORABBIN AIRPORT,15/08/2025,2.5,0.0, ,15.5,9.5,91,49,7.48,5.42
MOORABBIN AIRPORT,16/08/2025,1.9,5.0, ,12.1,5.9,91,55,4.60,13.10
MOORABBIN AIRPORT,17/08/2025,1.8,0.0, ,14.4,3.8,85,53,3.39,9.75
MOORABBIN AIRPORT,18/08/2025,1.4,0.0, ,12.6,3.6,93,50,2.13,8.66
MOORABBIN AIRPORT,19/08/2025,1.5,0.0, ,14.9,-0.7,95,53,1.69,13.79
MOORABBIN AIRPORT,20/08/2025,1.9,0.0, ,17.9,0.2,94,35,1.64,14.07
MOORABBIN AIRPORT,21/08/2025,2.2,0.0, ,19.9,1.9,92,39,1.88,14.22
MOORABBIN AIRPORT,22/08/2025,2.6,0.0, ,19.5,7.6,86,53,4.65,10.26
MOORABBIN AIRPORT,23/08/2025,2.0,0.0, ,15.1,8.4,90,53,3.10,13.30
MOORABBIN AIRPORT,24/08/2025,2.2,0.0, ,16.6,3.6,92,46,2.83,14.55
MOORABBIN AIRPORT,25/08/2025,2.8,0.0, ,20.0,2.3,95,31,3.17,11.66
MOORABBIN AIRPORT,26/08/2025,3.5,0.0, ,18.2,9.6,91,38,8.59,5.09
MOORABBIN AIRPORT,27/08/2025,2.5,13.4, ,16.0,10.1,91,54,7.07,8.76
MOORABBIN AIRPORT,28/08/2025,3.3,2.0, ,16.1,10.0,69,44,6.25,12.22
MOORABBIN AIRPORT,29/08/2025,2.7,0.0, ,15.3,8.7,79,57,8.20,9.21
MOORABBIN AIRPORT,30/08/2025,2.5,5.0, ,12.8,7.7,90,50,7.74,13.57
MOORABBIN AIRPORT,31/08/2025,2.4,0.0, ,16.4,9.9,89,53,4.42,12.75
Totals:,,63.8,38.6, ,,,,,, 
