'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/09/2025,2.4,1.0, ,16.6,8.9,87,57,3.46,14.94
MOORABBIN AIRPORT,02/09/2025,3.0,0.0, ,17.2,9.4,87,48,6.32,11.57
MOORABBIN AIRPORT,03/09/2025,3.7,0.0, ,19.1,10.6,82,38,5.99,13.35
MOORABBIN AIRPORT,04/09/2025,2.5,0.8, ,14.9,9.6,84,53,5.24,11.67
MOORABBIN AIRPORT,05/09/2025,2.5,0.6, ,14.7,3.2,92,43,3.48,16.43
MOORABBIN AIRPORT,06/09/2025,3.6,0.0, ,22.0,0.7,94,30,3.59,16.27
MOORABBIN AIRPORT,07/09/2025,4.5,0.0, ,21.3,10.5,77,44,10.54,8.78
MOORABBIN AIRPORT,08/09/2025,3.6,0.6, ,20.0,12.7,77,44,5.72,10.52
MOORABBIN AIRPORT,09/09/2025,2.7,1.8, ,15.6,10.7,88,50,4.27,15.48
MOORABBIN AIRPORT,10/09/2025,2.0,0.2, ,14.0,6.4,92,56,4.04,10.54
MOORABBIN AIRPORT,11/09/2025,2.3,1.4, ,14.6,8.2,88,60,3.92,14.77
MOORABBIN AIRPORT,12/09/2025,2.5,0.2, ,16.8,6.9,86,58,3.83,15.72
MOORABBIN AIRPORT,13/09/2025,2.4,0.0, ,17.6,10.8,89,59,2.82,14.04
MOORABBIN AIRPORT,14/09/2025,4.7,0.0, ,22.0,10.9,82,36,7.14,17.05
MOORABBIN AIRPORT,15/09/2025,7.8,0.0, ,25.2,14.2,57,23,11.20,15.35
MOORABBIN AIRPORT,16/09/2025,3.4,0.6, ,18.9,14.0,87,36,5.79,8.70
MOORABBIN AIRPORT,17/09/2025, ,1.6, , ,9.1,79,41,4.92,15.99
MOORABBIN AIRPORT,18/09/2025, , , ,20.3, ,88,35,6.24,18.20
MOORABBIN AIRPORT,19/09/2025,5.7,0.0, ,22.6,12.9,83,27,9.30,14.62
MOORABBIN AIRPORT,20/09/2025,3.1,0.2, ,14.9,8.1,76,52,5.89,16.41
MOORABBIN AIRPORT,21/09/2025,2.5,0.2, ,16.7,10.2,88,55,5.65,7.02
MOORABBIN AIRPORT,22/09/2025,2.8,2.8, ,14.2,7.8,90,52,5.48,17.61
MOORABBIN AIRPORT,23/09/2025,2.8,1.0, ,16.5,8.7,91,54,4.34,16.86
MOORABBIN AIRPORT,24/09/2025,2.5,0.0, ,16.8,11.6,93,61,4.78,13.10
MOORABBIN AIRPORT,25/09/2025,2.6,2.0, ,16.2,11.2,87,54,5.51,8.19
MOORABBIN AIRPORT,26/09/2025,4.2,0.2, ,22.6,13.0,82,34,6.04,8.29
MOORABBIN AIRPORT,27/09/2025,4.1,0.0, ,18.6,10.3,84,36,5.24,19.79
MOORABBIN AIRPORT,28/09/2025,3.1,0.0, ,16.3,10.2,86,47,3.59,18.38
MOORABBIN AIRPORT,29/09/2025,4.4,0.0, ,23.4,4.7,93,34,3.95,20.51
MOORABBIN AIRPORT,30/09/2025,2.5,1.0, ,19.2,13.2,92,38,3.06,6.53
Totals:,,93.9,16.2, ,,,,,, 
