'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/10/2025,3.5,0.4, ,18.4,9.6,87,45,7.18,11.14
MOORABBIN AIRPORT,02/10/2025,2.8,5.0, ,14.8,8.6,87,50,7.67,8.38
MOORABBIN AIRPORT,03/10/2025,2.9,0.0, ,18.1,11.3,92,63,4.73,16.87
MOORABBIN AIRPORT,04/10/2025,4.0,0.2, ,23.8,7.0,97,41,3.00,21.76
MOORABBIN AIRPORT,05/10/2025,6.0,0.0, ,26.8,15.0,80,26,7.61,8.44
MOORABBIN AIRPORT,06/10/2025,3.5,3.2, ,16.1,10.9,86,43,4.70,19.37
MOORABBIN AIRPORT,07/10/2025,4.4,0.2, ,20.3,9.5,73,33,4.11,20.57
MOORABBIN AIRPORT,08/10/2025,5.0,0.0, ,24.1,8.6,75,33,5.14,16.60
MOORABBIN AIRPORT,09/10/2025,4.1,0.0, ,19.9,10.6,87,38,5.55,17.18
MOORABBIN AIRPORT,10/10/2025,6.1,0.0, ,22.9,12.6,56,32,7.98,16.22
MOORABBIN AIRPORT,11/10/2025,4.8,0.0, ,22.1,12.6,91,31,5.55,19.37
MOORABBIN AIRPORT,12/10/2025,3.9,2.6, ,20.0,10.8,95,37,5.17,15.65
MOORABBIN AIRPORT,13/10/2025,3.5,6.0, ,15.8,8.2,86,42,3.34,22.61
MOORABBIN AIRPORT,14/10/2025,3.9,0.2, ,19.3,7.6,88,44,3.80,22.57
Totals:,,58.4,17.8, ,,,,,, 
