'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/08/2025,0.9,0.0, ,12.5,1.2,100,67,1.21,10.03
MORTLAKE RACECOURSE,02/08/2025,1.0,0.0, ,14.2,4.6,100,71,2.06,9.38
MORTLAKE RACECOURSE,03/08/2025,1.8,0.0, ,16.8,1.5,100,51,3.33,11.68
MORTLAKE RACECOURSE,04/08/2025,2.3,0.2, ,17.0,4.5,100,55,8.17,8.28
MORTLAKE RACECOURSE,05/08/2025,1.7,1.6, ,14.9,7.2,100,64,6.25,11.27
MORTLAKE RACECOURSE,06/08/2025,1.5,1.2, ,12.3,7.2,100,57,4.13,10.88
MORTLAKE RACECOURSE,07/08/2025,0.9,0.2, ,11.4,3.0,100,65,1.40,6.67
MORTLAKE RACECOURSE,08/08/2025,1.0,0.0, ,14.8,4.3,100,76,1.62,10.20
MORTLAKE RACECOURSE,09/08/2025,1.5,0.0, ,17.2,1.6,100,49,1.50,12.46
MORTLAKE RACECOURSE,10/08/2025,1.6,0.4, ,17.3,1.1,100,52,1.86,12.60
MORTLAKE RACECOURSE,11/08/2025,2.0,0.0, ,17.1,3.6,100,48,3.24,12.74
MORTLAKE RACECOURSE,12/08/2025,0.7,2.8, ,13.3,7.4,100,91,3.94,5.05
MORTLAKE RACECOURSE,13/08/2025,1.4,4.0, ,14.9,3.4,100,62,1.98,12.44
MORTLAKE RACECOURSE,14/08/2025,2.1,0.0, ,17.1,2.4,100,51,4.05,13.08
MORTLAKE RACECOURSE,15/08/2025,1.7,0.0, ,13.3,6.8,100,60,6.90,6.73
MORTLAKE RACECOURSE,16/08/2025,1.2,6.8, ,10.8,3.2,100,70,2.89,12.61
MORTLAKE RACECOURSE,17/08/2025,1.0,2.6, ,12.2,3.5,100,80,2.92,9.33
MORTLAKE RACECOURSE,18/08/2025,1.2,0.0, ,11.9,1.5,100,59,1.74,8.62
MORTLAKE RACECOURSE,19/08/2025,1.5,0.0, ,13.7,-0.6,100,51,1.75,13.72
MORTLAKE RACECOURSE,20/08/2025,2.0,0.0, ,17.5,-0.5,100,50,2.64,14.04
MORTLAKE RACECOURSE,21/08/2025,2.1,0.0, ,18.6,1.5,100,49,2.53,14.19
MORTLAKE RACECOURSE,22/08/2025,1.4,0.0, ,15.6,9.0,100,71,3.75,8.13
MORTLAKE RACECOURSE,23/08/2025,1.7,0.2, ,14.7,4.8,100,52,2.20,13.54
MORTLAKE RACECOURSE,24/08/2025, ,0.0, , ,-1.0,100,59,1.93,14.59
MORTLAKE RACECOURSE,25/08/2025,2.2, , ,16.8,4.7,100,53,4.94,9.94
MORTLAKE RACECOURSE,26/08/2025,2.2,0.4, ,15.8,8.8,100,57,8.12,8.69
MORTLAKE RACECOURSE,27/08/2025,2.1,5.8, ,13.1,7.7,100,58,8.28,13.06
MORTLAKE RACECOURSE,28/08/2025,1.9,2.0, ,13.7,6.3,100,66,6.57,14.30
MORTLAKE RACECOURSE,29/08/2025, ,0.2, , ,6.8,100,77,8.72,7.59
MORTLAKE RACECOURSE,30/08/2025,2.0, , ,11.9,5.2,100,57,7.81,13.49
MORTLAKE RACECOURSE,31/08/2025,1.8,0.2, ,15.5,7.0,100,68,4.27,12.91
Totals:,,46.4,28.6, ,,,,,, 
