'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/09/2025,1.5,1.2, ,14.6,6.9,100,78,3.37,12.10
MORTLAKE RACECOURSE,02/09/2025,2.4,0.4, ,16.3,3.6,100,56,5.79,14.55
MORTLAKE RACECOURSE,03/09/2025,2.3,5.2, ,15.4,9.2,100,60,6.06,14.51
MORTLAKE RACECOURSE,04/09/2025, ,2.8, , ,7.2,100,55,5.36,15.00
MORTLAKE RACECOURSE,05/09/2025, , , ,13.0, ,100,55,2.58,16.44
MORTLAKE RACECOURSE,06/09/2025,3.1,0.0, ,18.7,3.2,100,47,5.91,14.86
MORTLAKE RACECOURSE,07/09/2025,2.7,1.4, ,19.9,8.8,100,63,9.21,10.81
MORTLAKE RACECOURSE,08/09/2025,2.4,2.0, ,17.4,10.2,100,61,6.33,13.43
MORTLAKE RACECOURSE,09/09/2025,2.1,0.0, ,13.8,7.7,100,57,3.15,15.66
MORTLAKE RACECOURSE,10/09/2025,1.4,0.0, ,13.0,0.4,100,78,3.52,13.25
MORTLAKE RACECOURSE,11/09/2025,1.8,0.6, ,13.7,4.4,100,69,4.03,13.97
MORTLAKE RACECOURSE,12/09/2025,1.8,1.2, ,15.4,3.7,100,74,3.76,14.18
MORTLAKE RACECOURSE,13/09/2025,1.9,2.0, ,16.7,10.3,100,69,3.03,12.56
MORTLAKE RACECOURSE,14/09/2025,3.4,0.4, ,19.8,5.2,100,46,5.54,18.34
MORTLAKE RACECOURSE,15/09/2025,4.3,0.0, ,22.6,10.5,93,42,7.59,14.78
MORTLAKE RACECOURSE,16/09/2025,2.7,0.0, ,16.4,10.1,100,58,6.96,16.48
MORTLAKE RACECOURSE,17/09/2025, ,2.0, , ,5.5,100,56,4.55,16.40
MORTLAKE RACECOURSE,18/09/2025, , , ,19.1, ,100,46,4.97,18.77
MORTLAKE RACECOURSE,19/09/2025,3.3,0.0, ,17.9,9.8,100,50,7.74,17.34
MORTLAKE RACECOURSE,20/09/2025,2.0,6.0, ,13.0,4.5,100,64,5.47,13.10
MORTLAKE RACECOURSE,21/09/2025,1.9,0.8, ,15.7,8.6,100,77,6.06,13.68
MORTLAKE RACECOURSE,22/09/2025,2.3,4.4, ,13.3,5.2,100,62,4.98,18.01
MORTLAKE RACECOURSE,23/09/2025,1.8,0.0, ,15.1,6.5,100,75,4.64,12.50
MORTLAKE RACECOURSE,24/09/2025,1.9,0.4, ,15.7,10.0,100,79,4.67,14.72
MORTLAKE RACECOURSE,25/09/2025, ,0.4, , ,9.9,100,83,5.52,10.75
MORTLAKE RACECOURSE,26/09/2025, , , ,18.3, ,100,69,5.95,11.46
MORTLAKE RACECOURSE,27/09/2025,2.2,0.4, ,15.6,6.2,100,66,4.88,14.04
MORTLAKE RACECOURSE,28/09/2025,2.1,0.6, ,14.5,3.6,100,60,2.17,15.69
MORTLAKE RACECOURSE,29/09/2025,2.3,0.2, ,18.4,4.6,100,59,3.50,11.49
MORTLAKE RACECOURSE,30/09/2025,2.1,16.6, ,16.1,11.6,100,74,4.03,13.87
Totals:,,55.7,49, ,,,,,, 
