'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/08/2025,1.0,0.2, ,14.1,1.7,99,61,1.46,10.86
MORWELL (LATROBE VALLEY AIRPORT),02/08/2025,1.0,3.4, ,13.8,5.4,100,74,2.12,8.69
MORWELL (LATROBE VALLEY AIRPORT),03/08/2025,1.3,0.2, ,16.3,4.7,100,59,1.86,11.11
MORWELL (LATROBE VALLEY AIRPORT),04/08/2025,1.2,0.4, ,16.8,2.4,100,53,1.15,11.33
MORWELL (LATROBE VALLEY AIRPORT),05/08/2025,2.2,1.2, ,16.1,3.4,92,46,4.66,10.22
MORWELL (LATROBE VALLEY AIRPORT),06/08/2025,1.7,0.2, ,13.3,3.5,94,56,5.02,6.68
MORWELL (LATROBE VALLEY AIRPORT),07/08/2025,1.1,0.0, ,12.8,5.4,97,58,1.85,7.84
MORWELL (LATROBE VALLEY AIRPORT),08/08/2025,1.0,0.0, ,13.4,2.6,97,64,1.47,8.10
MORWELL (LATROBE VALLEY AIRPORT),09/08/2025,1.7,0.0, ,15.6,4.0,97,56,3.30,12.38
MORWELL (LATROBE VALLEY AIRPORT),10/08/2025,1.8,0.2, ,15.6,5.3,100,47,2.87,11.89
MORWELL (LATROBE VALLEY AIRPORT),11/08/2025,1.7,0.0, ,15.3,3.9,100,49,2.70,12.62
MORWELL (LATROBE VALLEY AIRPORT),12/08/2025,1.3,0.2, ,16.4,3.0,100,47,1.09,11.20
MORWELL (LATROBE VALLEY AIRPORT),13/08/2025,1.6,4.8, ,14.6,4.4,99,60,4.12,10.59
MORWELL (LATROBE VALLEY AIRPORT),14/08/2025,1.4,0.2, ,15.5,0.4,99,51,1.30,13.07
MORWELL (LATROBE VALLEY AIRPORT),15/08/2025,1.4,0.2, ,15.3,0.6,99,51,2.33,4.95
MORWELL (LATROBE VALLEY AIRPORT),16/08/2025,1.3,5.6, ,11.1,3.6,94,73,4.52,9.90
MORWELL (LATROBE VALLEY AIRPORT),17/08/2025,1.5,4.2, ,14.0,3.2,98,49,1.59,12.73
MORWELL (LATROBE VALLEY AIRPORT),18/08/2025,1.4,0.2, ,13.1,-0.9,97,43,1.43,11.32
MORWELL (LATROBE VALLEY AIRPORT),19/08/2025,1.6,0.0, ,14.7,-2.9,96,51,1.80,13.65
MORWELL (LATROBE VALLEY AIRPORT),20/08/2025,1.8,0.0, ,18.5,1.8,100,33,1.33,13.30
MORWELL (LATROBE VALLEY AIRPORT),21/08/2025,1.7,0.2, ,17.6,2.3,100,61,2.17,14.06
MORWELL (LATROBE VALLEY AIRPORT),22/08/2025,1.6,0.2, ,18.6,7.2,100,53,1.38,10.22
MORWELL (LATROBE VALLEY AIRPORT),23/08/2025,2.2,0.0, ,15.8,6.9,98,43,3.62,10.89
MORWELL (LATROBE VALLEY AIRPORT),24/08/2025,1.7,0.2, ,15.9,-0.8,98,54,1.89,14.03
MORWELL (LATROBE VALLEY AIRPORT),25/08/2025,1.9,0.0, ,17.9,3.7,100,49,1.91,13.14
MORWELL (LATROBE VALLEY AIRPORT),26/08/2025,2.0,0.0, ,19.1,7.9,100,37,2.52,4.45
MORWELL (LATROBE VALLEY AIRPORT),27/08/2025,2.1,5.6, ,15.1,9.1,100,57,6.50,11.21
MORWELL (LATROBE VALLEY AIRPORT),28/08/2025,2.3,2.4, ,14.1,8.2,89,60,7.60,11.62
MORWELL (LATROBE VALLEY AIRPORT),29/08/2025,3.0,0.4, ,16.7,8.0,85,43,5.71,12.33
MORWELL (LATROBE VALLEY AIRPORT),30/08/2025,2.6,3.6, ,12.8,6.3,94,47,8.89,12.38
MORWELL (LATROBE VALLEY AIRPORT),31/08/2025,2.0,0.4, ,14.9,6.6,94,65,6.54,10.69
Totals:,,52.1,34.2, ,,,,,, 
