'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/09/2025,2.3,1.6, ,16.4,7.7,95,54,4.56,12.87
MORWELL (LATROBE VALLEY AIRPORT),02/09/2025,1.9,0.0, ,17.1,4.0,98,40,1.81,10.58
MORWELL (LATROBE VALLEY AIRPORT),03/09/2025,3.7,0.0, ,19.6,8.6,95,35,6.42,13.38
MORWELL (LATROBE VALLEY AIRPORT),04/09/2025,2.1,8.0, ,14.3,7.9,92,58,6.47,8.07
MORWELL (LATROBE VALLEY AIRPORT),05/09/2025,2.1,0.8, ,14.0,1.0,97,48,2.77,15.55
MORWELL (LATROBE VALLEY AIRPORT),06/09/2025,2.3,0.0, ,18.7,-1.7,98,43,1.75,16.57
MORWELL (LATROBE VALLEY AIRPORT),07/09/2025,3.1,0.0, ,22.3,6.5,88,43,4.15,9.10
MORWELL (LATROBE VALLEY AIRPORT),08/09/2025,4.2,0.0, ,21.6,12.0,92,36,6.35,16.27
MORWELL (LATROBE VALLEY AIRPORT),09/09/2025,3.0,3.4, ,16.2,10.3,90,50,7.05,13.74
MORWELL (LATROBE VALLEY AIRPORT),10/09/2025,1.5,0.0, ,13.0,1.7,96,59,1.91,9.25
MORWELL (LATROBE VALLEY AIRPORT),11/09/2025,2.3,0.2, ,15.6,4.6,96,54,4.90,12.08
MORWELL (LATROBE VALLEY AIRPORT),12/09/2025,2.3,0.6, ,15.8,8.0,92,62,5.99,12.72
MORWELL (LATROBE VALLEY AIRPORT),13/09/2025,2.3,0.0, ,16.9,10.5,96,63,5.09,13.07
MORWELL (LATROBE VALLEY AIRPORT),14/09/2025,2.9,0.2, ,22.0,4.1,100,34,1.75,17.77
MORWELL (LATROBE VALLEY AIRPORT),15/09/2025,4.2,0.0, ,25.8,3.6,93,19,2.77,18.25
MORWELL (LATROBE VALLEY AIRPORT),16/09/2025,3.0,7.8, ,16.0,12.8,96,27,5.46,7.81
MORWELL (LATROBE VALLEY AIRPORT),17/09/2025,3.3,7.2, ,15.2,7.9,91,43,7.67,16.23
MORWELL (LATROBE VALLEY AIRPORT),18/09/2025,2.9,0.0, ,19.2,0.0,97,33,2.25,18.08
MORWELL (LATROBE VALLEY AIRPORT),19/09/2025,4.7,0.0, ,23.6,3.3,93,29,5.12,18.00
MORWELL (LATROBE VALLEY AIRPORT),20/09/2025,2.9,4.4, ,15.1,6.0,89,53,8.05,15.08
MORWELL (LATROBE VALLEY AIRPORT),21/09/2025,2.9,0.2, ,16.6,7.6,92,53,7.15,12.48
MORWELL (LATROBE VALLEY AIRPORT),22/09/2025,2.7,11.2, ,13.7,6.4,92,52,6.85,15.92
MORWELL (LATROBE VALLEY AIRPORT),23/09/2025,2.7,1.2, ,16.4,6.9,93,59,6.58,13.82
MORWELL (LATROBE VALLEY AIRPORT),24/09/2025,3.5,0.0, ,16.4,10.8,94,40,8.33,12.54
MORWELL (LATROBE VALLEY AIRPORT),25/09/2025,2.6,2.6, ,15.5,10.3,93,58,8.62,9.96
MORWELL (LATROBE VALLEY AIRPORT),26/09/2025,4.1,0.6, ,21.5,11.3,92,37,6.14,13.87
MORWELL (LATROBE VALLEY AIRPORT),27/09/2025,4.1,0.8, ,18.8,9.5,88,44,7.04,20.73
MORWELL (LATROBE VALLEY AIRPORT),28/09/2025,2.6,0.0, ,15.6,8.9,88,56,4.17,13.68
MORWELL (LATROBE VALLEY AIRPORT),29/09/2025,3.1,0.0, ,20.3,1.3,97,41,1.86,20.93
MORWELL (LATROBE VALLEY AIRPORT),30/09/2025,2.9,0.0, ,21.6,11.9,94,46,3.37,10.09
Totals:,,88.2,50.8, ,,,,,, 
