'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/10/2025,3.4,3.2, ,17.7,5.6,96,45,6.52,16.18
MORWELL (LATROBE VALLEY AIRPORT),02/10/2025,2.9,7.4, ,13.4,7.6,93,47,8.50,12.99
MORWELL (LATROBE VALLEY AIRPORT),03/10/2025,2.9,6.2, ,17.0,9.6,93,61,8.36,13.69
MORWELL (LATROBE VALLEY AIRPORT),04/10/2025,4.2,1.2, ,22.9,9.0,94,43,3.90,21.86
MORWELL (LATROBE VALLEY AIRPORT),05/10/2025,4.7,0.0, ,28.2,4.8,99,23,3.00,16.62
MORWELL (LATROBE VALLEY AIRPORT),06/10/2025,3.1,18.0, ,15.6,10.1,94,52,6.91,17.07
MORWELL (LATROBE VALLEY AIRPORT),07/10/2025,3.9,0.2, ,19.5,6.7,91,44,4.15,22.50
MORWELL (LATROBE VALLEY AIRPORT),08/10/2025, ,0.0, , ,2.9,97,45,2.00,11.95
MORWELL (LATROBE VALLEY AIRPORT),09/10/2025, , , ,19.6, ,98,38,4.74,18.58
MORWELL (LATROBE VALLEY AIRPORT),10/10/2025,5.4,0.0, ,22.6,4.3,95,33,7.78,22.45
MORWELL (LATROBE VALLEY AIRPORT),11/10/2025,4.8,0.0, ,21.0,11.6,94,35,7.35,20.34
MORWELL (LATROBE VALLEY AIRPORT),12/10/2025,3.7,2.8, ,18.7,8.4,97,45,6.54,17.28
MORWELL (LATROBE VALLEY AIRPORT),13/10/2025,3.3,8.6, ,15.9,4.7,94,44,3.37,22.14
MORWELL (LATROBE VALLEY AIRPORT),14/10/2025,3.7,0.0, ,18.8,2.7,96,45,5.87,19.08
Totals:,,46,47.6, ,,,,,, 
