'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/08/2025,0.7,2.8, ,4.2,-2.1,100,78,0.66,11.07
MOUNT BAW BAW,02/08/2025,0.8,0.0, ,6.9,-1.0,100,81,2.70,11.70
MOUNT BAW BAW,03/08/2025,1.5,0.0, ,10.3,0.1,81,33,2.02,11.83
MOUNT BAW BAW,04/08/2025,1.5,0.0, ,6.5,2.6,100,40,4.25,11.48
MOUNT BAW BAW,05/08/2025,0.7,5.2, ,2.6,-0.6,100,83,4.62,10.11
MOUNT BAW BAW,06/08/2025,0.3,0.0, ,0.9,-0.6,100,100,4.34,3.80
MOUNT BAW BAW,07/08/2025,0.7,6.6, ,3.4,-3.3,100,99,0.53,10.36
MOUNT BAW BAW,08/08/2025,1.3,0.0, ,7.4,-2.5,100,37,2.12,12.00
MOUNT BAW BAW,09/08/2025,1.2,0.0, ,7.7,2.0,100,46,1.86,12.57
MOUNT BAW BAW,10/08/2025,1.5,0.0, ,8.3,0.4,83,36,2.40,12.70
MOUNT BAW BAW,11/08/2025,1.1,0.0, ,6.7,0.0,100,55,1.59,11.70
MOUNT BAW BAW,12/08/2025,1.0,0.0, ,6.3,0.2,100,68,2.53,11.18
MOUNT BAW BAW,13/08/2025,1.2,13.4, ,3.7,-1.9,100,41,3.42,7.45
MOUNT BAW BAW,14/08/2025,1.8,0.2, ,8.9,-3.6,63,26,2.26,13.25
MOUNT BAW BAW,15/08/2025,1.2,0.0, ,2.9,0.9,100,47,4.55,7.79
MOUNT BAW BAW,16/08/2025,0.6,13.2, ,-2.3,-3.4,100,100,0.00,5.56
MOUNT BAW BAW,17/08/2025,0.7,12.0, ,-0.1,-4.2,100,100,0.70,10.19
MOUNT BAW BAW,18/08/2025,0.9,3.4, ,2.3,-5.7,100,26,0.47,11.65
MOUNT BAW BAW,19/08/2025,1.3,0.0, ,7.3,-3.6,100,23,1.15,13.84
MOUNT BAW BAW,20/08/2025,1.6,0.0, ,7.1,0.9,95,45,2.71,14.11
MOUNT BAW BAW,21/08/2025,1.6,0.0, ,9.4,1.3,95,51,2.25,14.24
MOUNT BAW BAW,22/08/2025,1.0,0.0, ,7.3,3.1,100,80,2.83,10.41
MOUNT BAW BAW,23/08/2025,1.0,0.0, ,2.9,0.5,100,62,3.68,6.44
MOUNT BAW BAW,24/08/2025,1.7,7.2, ,7.2,-3.0,100,19,2.06,14.74
MOUNT BAW BAW,25/08/2025,2.2,0.0, ,11.6,-0.5,99,17,2.69,12.65
MOUNT BAW BAW,26/08/2025,2.1,1.4, ,7.5,2.9,100,27,6.25,7.83
MOUNT BAW BAW,27/08/2025,0.4,25.4, ,0.9,-0.7,100,100,6.51,7.29
MOUNT BAW BAW,28/08/2025,0.4,17.4, ,0.0,-2.0,100,100,5.94,8.30
MOUNT BAW BAW,29/08/2025,0.6,8.0, ,0.0,-1.5,100,100,3.37,9.24
MOUNT BAW BAW,30/08/2025,0.7,16.6, ,0.1,-4.1,100,100,0.00,5.73
MOUNT BAW BAW,31/08/2025,0.5,18.6, ,1.3,-4.2,100,100,3.64,7.77
Totals:,,33.8,151.4, ,,,,,, 
