'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/09/2025,0.6,10.8, ,1.6,-1.4,100,100,4.63,9.42
MOUNT BAW BAW,02/09/2025,1.0,0.0, ,2.8,-0.5,100,74,2.96,10.49
MOUNT BAW BAW,03/09/2025,1.3,0.8, ,5.0,0.2,100,69,4.99,13.25
MOUNT BAW BAW,04/09/2025,0.4,4.4, ,0.0,-1.1,100,100,5.50,4.67
MOUNT BAW BAW,05/09/2025,1.7,15.6, ,4.5,-4.4,100,35,3.10,16.35
MOUNT BAW BAW,06/09/2025,2.3,5.2, ,9.3,-3.4,77,30,3.05,16.66
MOUNT BAW BAW,07/09/2025,1.2,0.0, ,8.9,4.3,100,78,6.67,9.28
MOUNT BAW BAW,08/09/2025,1.9,1.8, ,8.2,4.6,100,57,4.62,16.14
MOUNT BAW BAW,09/09/2025,0.8,0.0, ,4.0,0.7,100,93,4.81,9.82
MOUNT BAW BAW,10/09/2025,0.9,0.0, ,2.3,-4.2,100,100,0.93,10.53
MOUNT BAW BAW,11/09/2025,0.7,5.2, ,0.4,-2.1,100,100,1.58,7.18
MOUNT BAW BAW,12/09/2025,0.5,4.0, ,2.6,-1.1,100,100,4.26,6.61
MOUNT BAW BAW,13/09/2025,1.1,2.6, ,6.0,-0.1,100,96,3.51,13.71
MOUNT BAW BAW,14/09/2025,1.8,0.0, ,8.4,1.6,100,70,4.30,17.76
MOUNT BAW BAW,15/09/2025,2.7,0.0, ,11.1,3.6,100,43,6.45,18.43
MOUNT BAW BAW,16/09/2025,1.1,25.2, ,4.0,4.0,100,59,5.31,4.69
MOUNT BAW BAW,17/09/2025,0.7,14.8, ,1.3,-2.5,100,93,5.82,11.18
MOUNT BAW BAW,18/09/2025,1.6,0.2, ,6.3,-2.1,100,68,3.99,17.57
MOUNT BAW BAW,19/09/2025,2.0,0.0, ,8.4,0.7,100,62,5.35,18.14
MOUNT BAW BAW,20/09/2025,0.5,7.4, ,1.1,-3.7,100,100,6.12,9.55
MOUNT BAW BAW,21/09/2025,0.6,1.4, ,2.8,-3.8,100,100,5.89,9.04
MOUNT BAW BAW,22/09/2025,0.5,24.4, ,0.0,-3.3,100,100,5.81,8.22
MOUNT BAW BAW,23/09/2025,1.0,30.6, ,3.9,-3.1,100,100,4.08,15.22
MOUNT BAW BAW,24/09/2025,0.5,0.4, ,2.7,0.0,100,100,7.16,6.12
MOUNT BAW BAW,25/09/2025,0.5,6.8, ,3.0,0.3,100,100,6.18,7.25
MOUNT BAW BAW,26/09/2025,1.4,0.0, ,7.9,1.3,100,71,5.87,11.06
MOUNT BAW BAW,27/09/2025,2.5,4.6, ,8.7,0.7,100,42,4.74,20.86
MOUNT BAW BAW,28/09/2025,1.2,1.8, ,4.7,-0.5,100,85,3.53,13.44
MOUNT BAW BAW,29/09/2025,2.4,0.0, ,10.8,-0.3,97,57,2.57,20.74
MOUNT BAW BAW,30/09/2025,1.5,0.2, ,7.9,4.6,100,63,4.21,8.98
Totals:,,36.9,168.2, ,,,,,, 
