'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/10/2025,0.9,5.8, ,2.4,-1.0,100,100,3.95,12.92
MOUNT BAW BAW,02/10/2025,0.6,12.0, ,2.1,-2.5,100,100,6.53,10.56
MOUNT BAW BAW,03/10/2025,0.5,6.2, ,9.1,-2.0,100,100,7.68,5.55
MOUNT BAW BAW,04/10/2025,3.1,3.8, ,13.9,1.7,100,42,3.31,21.94
MOUNT BAW BAW,05/10/2025, ,0.0, , ,7.5,100,40,5.04,18.66
MOUNT BAW BAW,06/10/2025, , , , ,-0.5,100,82,6.52,12.37
MOUNT BAW BAW,07/10/2025, , , ,9.1, ,100,46,3.93,22.68
MOUNT BAW BAW,08/10/2025,2.1,0.0, ,10.6,1.5,100,68,4.53,17.50
MOUNT BAW BAW,09/10/2025,2.0,0.0, ,7.7,3.0,100,61,4.54,16.48
MOUNT BAW BAW,10/10/2025,2.5,0.0, ,9.1,2.9,96,63,6.34,23.33
MOUNT BAW BAW,11/10/2025,2.4,0.0, ,8.3,1.4,100,57,4.97,21.12
MOUNT BAW BAW,12/10/2025,1.5,3.0, ,5.8,0.0,100,74,4.45,14.59
MOUNT BAW BAW,13/10/2025,2.0,19.6, ,6.2,-3.1,100,86,1.37,21.32
MOUNT BAW BAW,14/10/2025,1.8,1.8, ,7.9,-2.3,100,73,4.66,17.97
Totals:,,19.4,52.2, ,,,,,, 
