'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/08/2025,0.8,6.2, ,2.7,-3.8,99,68,2.59,11.93
MOUNT BULLER,02/08/2025,1.2,0.0, ,7.4,-1.8,100,62,3.99,12.05
MOUNT BULLER,03/08/2025,1.5,0.0, ,9.2,0.4,79,34,2.32,12.17
MOUNT BULLER,04/08/2025,1.2,0.0, ,3.6,1.3,100,59,10.99,7.92
MOUNT BULLER,05/08/2025,0.3,14.4, ,0.4,-1.3,100,100,9.36,7.68
MOUNT BULLER,06/08/2025,0.3,4.2, ,1.7,-1.5,100,99,6.15,5.67
MOUNT BULLER,07/08/2025,1.3,7.2, ,5.3,-4.4,99,17,1.73,12.66
MOUNT BULLER,08/08/2025,1.9,0.0, ,6.6,0.0,64,8,2.69,12.78
MOUNT BULLER,09/08/2025,1.4,0.0, ,8.2,0.3,99,38,2.15,12.91
MOUNT BULLER,10/08/2025,1.3,0.0, ,4.9,-0.8,91,46,2.53,13.04
MOUNT BULLER,11/08/2025,1.0,0.0, ,4.9,-0.8,99,63,1.58,11.89
MOUNT BULLER,12/08/2025,0.8,0.0, ,2.1,-1.1,100,79,4.78,10.44
MOUNT BULLER,13/08/2025,1.2,5.0, ,4.0,-0.8,100,57,4.49,12.96
MOUNT BULLER,14/08/2025,2.0,0.0, ,6.5,-2.0,92,34,6.07,13.59
MOUNT BULLER,15/08/2025,0.9,0.0, ,1.1,-0.4,100,70,11.67,7.68
MOUNT BULLER,16/08/2025,0.4,24.4, ,-2.4,-4.3,100,99,5.76,7.76
MOUNT BULLER,17/08/2025,0.5,4.0, ,-0.8,-4.8,100,99,4.08,9.93
MOUNT BULLER,18/08/2025,1.1,0.6, ,1.9,-5.7,100,61,2.32,14.14
MOUNT BULLER,19/08/2025,1.5,0.0, ,4.0,-2.8,80,44,2.96,14.18
MOUNT BULLER,20/08/2025,1.9,0.0, ,6.6,-0.1,85,27,3.09,14.45
MOUNT BULLER,21/08/2025,1.6,0.0, ,7.8,1.8,99,50,3.89,12.22
MOUNT BULLER,22/08/2025,0.6,0.0, ,2.8,1.9,100,94,6.18,7.45
MOUNT BULLER,23/08/2025,1.4,0.0, ,5.7,0.8,100,60,5.36,13.15
MOUNT BULLER,24/08/2025,2.1,4.6, ,6.9,-1.7,99,11,3.19,15.08
MOUNT BULLER,25/08/2025,2.4,0.0, ,8.0,0.8,91,18,5.02,14.18
MOUNT BULLER,26/08/2025,1.9,0.0, ,5.6,2.3,100,40,13.56,5.65
MOUNT BULLER,27/08/2025,0.2,29.4, ,-0.1,-1.3,100,100,9.81,3.25
MOUNT BULLER,28/08/2025,0.3,66.0, ,-0.4,-2.0,100,100,6.19,4.88
MOUNT BULLER,29/08/2025,0.3,48.2, ,-0.2,-1.9,100,99,11.10,4.76
MOUNT BULLER,30/08/2025,0.4,26.2, ,-0.4,-4.8,100,99,8.24,9.81
MOUNT BULLER,31/08/2025,0.4,4.8, ,0.0,-4.5,100,100,7.24,7.10
Totals:,,34.1,245.2, ,,,,,, 
