'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/09/2025,0.6,8.2, ,0.0,-2.5,100,100,4.65,10.45
MOUNT BULLER,02/09/2025,0.4,0.6, ,0.5,-2.1,100,100,7.91,8.11
MOUNT BULLER,03/09/2025,0.6,0.0, ,2.4,-1.5,100,90,10.09,9.43
MOUNT BULLER,04/09/2025,0.4,17.8, ,-0.1,-1.3,100,99,6.74,6.09
MOUNT BULLER,05/09/2025,1.4,9.6, ,3.4,-6.6,100,63,5.17,16.46
MOUNT BULLER,06/09/2025,1.6,0.0, ,6.8,-5.1,99,63,7.92,16.59
MOUNT BULLER,07/09/2025,0.8,0.0, ,7.0,1.3,100,86,14.52,7.62
MOUNT BULLER,08/09/2025,2.0,7.4, ,6.3,4.0,100,47,9.76,15.73
MOUNT BULLER,09/09/2025,1.4,0.0, ,4.6,-0.5,100,74,5.15,16.05
MOUNT BULLER,10/09/2025,2.2,0.0, ,5.7,0.0,100,16,5.43,10.71
MOUNT BULLER,11/09/2025,1.0,0.0, ,1.7,-3.3,100,82,9.36,16.10
MOUNT BULLER,12/09/2025,1.2,0.0, ,4.6,-3.8,100,70,6.23,11.66
MOUNT BULLER,13/09/2025,1.9,0.0, ,6.1,-1.6,100,49,5.17,17.05
MOUNT BULLER,14/09/2025,0.8,0.0, ,5.0,0.9,100,89,10.17,10.70
MOUNT BULLER,15/09/2025,2.3,0.0, ,9.0,1.8,100,56,14.67,18.89
MOUNT BULLER,16/09/2025,1.3,7.4, ,4.9,3.7,100,59,10.55,3.42
MOUNT BULLER,17/09/2025,0.6,32.2, ,-0.6,-3.0,100,100,5.26,11.47
MOUNT BULLER,18/09/2025,1.0,0.4, ,4.0,-2.7,100,86,6.55,13.54
MOUNT BULLER,19/09/2025,1.1,0.0, ,5.3,-0.7,100,76,10.88,10.68
MOUNT BULLER,20/09/2025,0.5,5.0, ,0.0,-4.3,100,99,8.06,10.98
MOUNT BULLER,21/09/2025,0.5,5.0, ,2.7,-3.9,100,100,7.66,7.91
MOUNT BULLER,22/09/2025,0.6,22.6, ,0.5,-3.7,100,99,7.86,11.77
MOUNT BULLER,23/09/2025,1.3,3.6, ,5.5,-4.2,100,75,7.01,14.60
MOUNT BULLER,24/09/2025,0.5,0.0, ,2.3,-0.6,100,100,6.96,6.20
MOUNT BULLER,25/09/2025,0.6,5.4, ,3.2,0.2,100,100,6.56,8.93
MOUNT BULLER,26/09/2025,1.5,0.2, ,7.1,0.4,100,65,9.72,8.57
MOUNT BULLER,27/09/2025,3.0,0.2, ,7.9,1.8,100,26,9.24,20.44
MOUNT BULLER,28/09/2025,2.1,0.0, ,7.3,-1.0,100,57,2.90,19.92
MOUNT BULLER,29/09/2025,2.7,0.0, ,9.8,-0.9,99,40,4.40,21.54
MOUNT BULLER,30/09/2025,1.8,0.0, ,8.4,3.6,100,58,10.86,8.04
Totals:,,37.7,125.6, ,,,,,, 
