'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/08/2025,0.6,3.0, ,0.0,-5.3,100,97,0.63,11.28
MOUNT HOTHAM,02/08/2025,0.4,0.2, ,0.1,-3.2,100,100,5.71,10.01
MOUNT HOTHAM,03/08/2025,0.9,0.0, ,2.7,-2.9,100,53,1.43,12.33
MOUNT HOTHAM,04/08/2025,1.1,0.0, ,2.7,-1.9,100,66,13.65,11.27
MOUNT HOTHAM,05/08/2025,0.2,22.2, ,-0.2,-0.7,100,100,12.05,6.75
MOUNT HOTHAM,06/08/2025,0.4,1.2, ,-0.1,-3.2,100,98,5.67,7.00
MOUNT HOTHAM,07/08/2025,0.7,5.4, ,2.3,-6.2,100,21,0.03,12.86
MOUNT HOTHAM,08/08/2025,0.8,0.0, ,3.6,-2.3,94,10,0.01,12.99
MOUNT HOTHAM,09/08/2025,0.9,0.0, ,7.1,-0.8,100,44,0.00,13.14
MOUNT HOTHAM,10/08/2025,1.0,0.0, ,2.6,-2.3,100,44,1.27,13.28
MOUNT HOTHAM,11/08/2025,1.0,0.0, ,7.4,-2.9,95,48,0.00,13.38
MOUNT HOTHAM,12/08/2025,0.9,0.0, ,0.9,-2.4,100,76,5.42,13.26
MOUNT HOTHAM,13/08/2025,1.0,2.8, ,3.7,-0.9,100,73,3.44,11.78
MOUNT HOTHAM,14/08/2025,2.1,0.0, ,6.8,-3.5,100,29,6.75,13.77
MOUNT HOTHAM,15/08/2025, ,0.2, , ,-0.5,100,5,14.83,8.27
MOUNT HOTHAM,16/08/2025,1.1, , ,-2.8,-5.2,100,1,2.70,7.22
MOUNT HOTHAM,17/08/2025,1.2,4.8, ,-1.6,-5.8,100,6,2.70,10.29
MOUNT HOTHAM,18/08/2025,0.9,0.4, ,0.4,-7.6,100,49,0.00,14.04
MOUNT HOTHAM,19/08/2025,0.9,0.0, ,3.7,-5.6,100,2,0.00,14.42
MOUNT HOTHAM,20/08/2025,1.5,0.0, ,6.5,-1.9,100,1,1.05,14.67
MOUNT HOTHAM,21/08/2025,1.7,0.0, ,6.7,-0.2,97,6,2.03,12.92
MOUNT HOTHAM,22/08/2025,2.2,0.6, ,1.8,1.2,100,1,8.45,11.84
MOUNT HOTHAM,23/08/2025,2.0,0.0, ,5.0,0.0,100,1,2.93,14.67
MOUNT HOTHAM,24/08/2025,2.0,0.0, ,4.6,-4.4,100,21,5.21,15.03
MOUNT HOTHAM,25/08/2025,2.0,0.0, ,7.1,-3.4,100,32,4.85,15.27
MOUNT HOTHAM,26/08/2025,2.8,0.0, ,3.6,1.4,100,1,15.80,8.46
MOUNT HOTHAM,27/08/2025, ,28.8, , ,-2.4,100,100,7.38,4.26
MOUNT HOTHAM,28/08/2025, , , ,-1.6, ,100,100,0.00,7.17
MOUNT HOTHAM,29/08/2025,0.5,0.0, ,-1.0,-3.1,100,100,2.66,5.10
MOUNT HOTHAM,30/08/2025,1.0,1.4, ,-1.8,-5.5,100,100,0.00,12.81
MOUNT HOTHAM,31/08/2025,0.6,0.0, ,-0.3,-5.8,100,100,3.97,11.24
Totals:,,32.4,71, ,,,,,, 
