'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/09/2025,0.8,0.0, ,-0.1,-2.3,100,100,3.80,13.76
MOUNT HOTHAM,02/09/2025,0.4,0.2, ,-0.8,-2.4,100,100,9.23,9.20
MOUNT HOTHAM,03/09/2025,0.4,0.0, ,1.0,-2.3,100,94,13.33,7.31
MOUNT HOTHAM,04/09/2025,0.3,2.8, ,-0.7,-2.0,100,99,10.32,5.55
MOUNT HOTHAM,05/09/2025,0.8,10.4, ,1.1,-7.4,100,94,4.72,15.47
MOUNT HOTHAM,06/09/2025,1.3,0.2, ,5.6,-5.8,100,72,9.79,16.24
MOUNT HOTHAM,07/09/2025,1.8,0.0, ,5.5,-0.5,76,68,16.80,11.27
MOUNT HOTHAM,08/09/2025,1.6,26.2, ,5.3,3.1,93,68,12.79,14.65
MOUNT HOTHAM,09/09/2025,1.2,0.2, ,3.5,-1.0,100,79,7.41,18.07
MOUNT HOTHAM,10/09/2025,1.0,0.0, ,4.3,-2.4,100,82,2.94,10.68
MOUNT HOTHAM,11/09/2025,1.1,0.0, ,-0.4,-4.1,100,100,2.04,16.29
MOUNT HOTHAM,12/09/2025,1.4,0.0, ,3.9,-3.8,100,80,2.87,17.92
MOUNT HOTHAM,13/09/2025,1.7,0.0, ,5.3,-0.9,100,71,3.36,18.83
MOUNT HOTHAM,14/09/2025,0.9,0.0, ,3.4,-0.1,100,87,11.92,15.67
MOUNT HOTHAM,15/09/2025,2.0,0.0, ,6.9,0.3,91,63,15.23,19.21
MOUNT HOTHAM,16/09/2025,1.2,3.4, ,3.9,3.0,100,63,13.71,4.34
MOUNT HOTHAM,17/09/2025,0.6,54.8, ,-1.3,-3.2,100,100,6.68,12.59
MOUNT HOTHAM,18/09/2025,0.8,0.6, ,2.5,-4.2,100,99,7.87,16.78
MOUNT HOTHAM,19/09/2025,1.1,0.0, ,4.0,-2.1,100,75,12.84,12.93
MOUNT HOTHAM,20/09/2025,0.7,10.4, ,-0.7,-4.8,100,91,9.38,14.18
MOUNT HOTHAM,21/09/2025,0.6,2.2, ,1.4,-4.4,100,90,10.35,10.06
MOUNT HOTHAM,22/09/2025,0.8,21.2, ,0.0,-4.3,100,100,7.77,18.66
MOUNT HOTHAM,23/09/2025,1.3,0.4, ,4.0,-4.6,100,77,8.31,19.43
MOUNT HOTHAM,24/09/2025,0.9,0.0, ,1.3,-1.0,100,92,7.18,13.50
MOUNT HOTHAM,25/09/2025,1.1,6.6, ,3.4,-0.4,100,82,10.19,15.98
MOUNT HOTHAM,26/09/2025,1.6,0.8, ,6.4,-0.2,100,64,12.13,13.77
MOUNT HOTHAM,27/09/2025,1.9,0.4, ,6.1,0.3,96,67,10.71,21.37
MOUNT HOTHAM,28/09/2025,2.0,0.0, ,5.9,-0.6,100,69,3.78,21.72
MOUNT HOTHAM,29/09/2025,2.2,0.0, ,7.8,-0.8,100,63,4.06,21.92
MOUNT HOTHAM,30/09/2025,1.9,0.0, ,7.2,1.2,92,60,12.68,9.00
Totals:,,35.4,140.8, ,,,,,, 
