'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/08/2025,0.9,1.0, ,10.9,3.0,100,75,1.30,11.22
MOUNT MOORNAPA,02/08/2025,0.9,0.0, ,12.1,5.0,100,78,1.35,9.82
MOUNT MOORNAPA,03/08/2025,1.0,0.2, ,12.6,4.5,99,80,1.52,11.80
MOUNT MOORNAPA,04/08/2025,2.0,0.0, ,19.0,7.0,100,49,3.43,11.54
MOUNT MOORNAPA,05/08/2025,1.8,3.0, ,15.0,7.6,99,46,3.42,12.05
MOUNT MOORNAPA,06/08/2025,1.3,0.0, ,12.1,6.1,89,64,3.23,7.14
MOUNT MOORNAPA,07/08/2025,1.1,0.2, ,11.0,5.0,95,62,1.61,10.19
MOUNT MOORNAPA,08/08/2025,1.1,0.2, ,11.7,4.1,99,72,1.66,11.70
MOUNT MOORNAPA,09/08/2025,1.2,0.0, ,13.8,4.6,100,68,1.85,12.50
MOUNT MOORNAPA,10/08/2025,1.2,0.2, ,12.7,5.0,100,66,1.82,12.68
MOUNT MOORNAPA,11/08/2025,1.3,0.4, ,13.3,4.4,100,67,1.84,12.82
MOUNT MOORNAPA,12/08/2025,1.6,0.2, ,14.8,5.4,98,45,2.08,12.23
MOUNT MOORNAPA,13/08/2025,1.2,1.4, ,12.9,7.1,100,70,1.94,11.44
MOUNT MOORNAPA,14/08/2025,1.6,0.0, ,14.8,4.4,92,56,1.89,13.22
MOUNT MOORNAPA,15/08/2025,1.5,0.0, ,13.9,7.1,100,47,2.88,4.51
MOUNT MOORNAPA,16/08/2025,1.2,2.8, ,9.0,4.5,99,62,2.45,9.39
MOUNT MOORNAPA,17/08/2025,1.2,0.8, ,10.9,3.9,90,61,1.43,11.17
MOUNT MOORNAPA,18/08/2025,1.2,0.0, ,11.0,3.9,93,51,0.94,10.96
MOUNT MOORNAPA,19/08/2025,1.4,0.0, ,12.4,1.2,99,61,1.98,13.80
MOUNT MOORNAPA,20/08/2025,1.8,0.0, ,14.8,5.0,95,45,1.83,14.07
MOUNT MOORNAPA,21/08/2025,1.7,0.2, ,16.5,7.1,100,66,1.79,14.07
MOUNT MOORNAPA,22/08/2025,2.0,0.0, ,17.7,8.8,92,56,2.95,10.62
MOUNT MOORNAPA,23/08/2025,1.6,0.0, ,13.8,8.9,88,60,2.01,11.03
MOUNT MOORNAPA,24/08/2025,1.4,0.0, ,12.8,5.0,100,64,1.40,11.44
MOUNT MOORNAPA,25/08/2025,1.6,0.0, ,16.2,4.9,99,62,1.64,12.96
MOUNT MOORNAPA,26/08/2025,3.2,0.0, ,19.0,10.5,71,32,4.44,6.36
MOUNT MOORNAPA,27/08/2025,2.2,10.2, ,15.4,7.9,100,49,4.36,12.82
MOUNT MOORNAPA,28/08/2025,2.4,3.4, ,14.0,5.8,77,51,4.14,14.97
MOUNT MOORNAPA,29/08/2025,2.3,0.0, ,15.5,6.0,99,47,3.81,14.03
MOUNT MOORNAPA,30/08/2025,1.6,3.4, ,10.7,4.5,99,64,4.70,11.98
MOUNT MOORNAPA,31/08/2025,2.3,0.4, ,15.7,4.3,76,49,2.70,13.82
Totals:,,48.8,28, ,,,,,, 
