'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/09/2025,2.0,0.4, ,15.4,6.4,99,44,1.82,14.58
MOUNT MOORNAPA,02/09/2025,2.3,0.0, ,16.2,5.1,93,40,2.99,11.72
MOUNT MOORNAPA,03/09/2025,3.1,0.0, ,18.6,7.8,94,35,4.11,14.51
MOUNT MOORNAPA,04/09/2025,2.1,0.0, ,14.9,6.8,99,48,3.13,12.24
MOUNT MOORNAPA,05/09/2025,2.0,0.4, ,13.0,3.7,91,49,2.15,15.93
MOUNT MOORNAPA,06/09/2025,2.6,0.2, ,18.8,3.1,88,40,2.24,16.72
MOUNT MOORNAPA,07/09/2025,3.5,0.0, ,20.4,12.0,66,48,6.31,5.63
MOUNT MOORNAPA,08/09/2025,4.2,0.0, ,21.7,13.7,71,16,3.43,17.01
MOUNT MOORNAPA,09/09/2025,2.6,0.0, ,17.1,9.4,88,46,2.61,16.33
MOUNT MOORNAPA,10/09/2025,1.2,0.0, ,10.2,5.2,99,74,1.47,9.40
MOUNT MOORNAPA,11/09/2025,1.7,3.2, ,12.8,4.7,100,69,2.24,13.59
MOUNT MOORNAPA,12/09/2025,2.0,0.0, ,14.1,5.3,82,61,2.70,12.09
MOUNT MOORNAPA,13/09/2025,2.3,0.0, ,17.2,8.0,94,54,1.21,17.65
MOUNT MOORNAPA,14/09/2025,3.3,0.0, ,21.3,8.5,93,40,2.87,18.16
MOUNT MOORNAPA,15/09/2025,5.6,0.0, ,24.3,11.8,57,21,5.25,18.12
MOUNT MOORNAPA,16/09/2025,2.5,0.0, ,15.3,12.7,100,29,4.10,7.75
MOUNT MOORNAPA,17/09/2025,3.0,2.6, ,15.9,6.7,87,40,3.55,17.90
MOUNT MOORNAPA,18/09/2025,2.9,0.0, ,17.6,5.1,80,37,2.51,16.84
MOUNT MOORNAPA,19/09/2025,4.7,0.0, ,21.9,9.6,75,33,5.92,16.20
MOUNT MOORNAPA,20/09/2025,2.8,0.2, ,13.9,5.9,94,38,3.78,16.28
MOUNT MOORNAPA,21/09/2025,3.0,0.2, ,19.1,7.3,99,42,3.28,16.17
MOUNT MOORNAPA,22/09/2025,1.9,1.4, ,11.1,5.0,96,62,3.67,14.32
MOUNT MOORNAPA,23/09/2025,2.6,1.8, ,16.6,4.6,87,58,2.46,18.71
MOUNT MOORNAPA,24/09/2025,2.1,0.0, ,15.2,8.7,96,57,3.09,11.62
MOUNT MOORNAPA,25/09/2025,2.2,0.8, ,16.1,8.2,84,50,2.81,8.26
MOUNT MOORNAPA,26/09/2025,3.2,0.0, ,20.1,10.9,97,31,4.25,8.29
MOUNT MOORNAPA,27/09/2025,3.6,0.0, ,22.4,8.0,99,12,1.76,19.46
MOUNT MOORNAPA,28/09/2025,2.1,0.0, ,15.0,7.2,99,56,1.44,13.59
MOUNT MOORNAPA,29/09/2025,3.3,0.0, ,19.9,6.1,90,37,1.73,21.16
MOUNT MOORNAPA,30/09/2025,3.5,0.0, ,23.0,10.8,98,33,3.13,13.62
Totals:,,83.9,11.2, ,,,,,, 
