'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/10/2025,3.6,0.0, ,17.9,8.7,99,35,3.59,20.66
MOUNT MOORNAPA,02/10/2025,3.2,1.2, ,15.6,6.1,99,41,4.57,18.34
MOUNT MOORNAPA,03/10/2025,2.6,0.2, ,17.0,9.2,99,55,3.46,14.66
MOUNT MOORNAPA,04/10/2025,3.3,0.0, ,21.7,7.1,99,44,1.28,21.68
MOUNT MOORNAPA,05/10/2025,4.8,0.0, ,25.6,13.2,73,26,4.01,13.58
MOUNT MOORNAPA,06/10/2025,2.7,9.0, ,15.1,7.7,100,48,2.81,17.04
MOUNT MOORNAPA,07/10/2025,3.5,0.0, ,19.2,5.3,99,35,1.93,22.68
MOUNT MOORNAPA,08/10/2025,3.0,0.0, ,22.6,8.8,95,38,2.29,12.44
MOUNT MOORNAPA,09/10/2025,4.5,0.0, ,20.9,9.3,100,24,3.89,22.92
MOUNT MOORNAPA,10/10/2025,6.3,0.0, ,25.0,13.4,47,20,4.47,23.36
MOUNT MOORNAPA,11/10/2025,4.7,0.0, ,21.4,11.7,100,25,3.98,23.05
MOUNT MOORNAPA,12/10/2025,2.9,0.2, ,18.9,8.3,100,37,2.32,14.36
MOUNT MOORNAPA,13/10/2025,3.1,2.6, ,16.2,4.6,97,42,2.04,21.16
MOUNT MOORNAPA,14/10/2025,4.0,0.0, ,21.9,4.9,97,31,1.89,24.09
Totals:,,52.2,13.2, ,,,,,, 
