'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/08/2025,0.9,4.2, ,11.6,4.4,100,74,1.54,10.12
MOUNT NOWA NOWA,02/08/2025,0.8,0.2, ,12.3,5.5,99,88,0.89,8.52
MOUNT NOWA NOWA,03/08/2025,1.3,0.8, ,15.4,6.0,97,67,2.12,11.85
MOUNT NOWA NOWA,04/08/2025,2.4,0.0, ,18.1,7.9,76,51,4.23,11.58
MOUNT NOWA NOWA,05/08/2025,2.0,2.4, ,17.2,8.1,99,40,3.06,12.07
MOUNT NOWA NOWA,06/08/2025,1.8,0.0, ,14.8,7.0,98,54,4.59,8.17
MOUNT NOWA NOWA,07/08/2025,1.3,1.0, ,11.7,6.0,86,59,2.46,9.01
MOUNT NOWA NOWA,08/08/2025,1.2,0.0, ,12.1,4.1,96,65,1.92,10.31
MOUNT NOWA NOWA,09/08/2025,1.2,0.0, ,15.0,4.8,98,67,1.55,11.46
MOUNT NOWA NOWA,10/08/2025,1.4,0.0, ,14.7,6.5,97,58,1.81,12.69
MOUNT NOWA NOWA,11/08/2025,1.3,0.0, ,14.0,5.7,97,61,1.60,12.45
MOUNT NOWA NOWA,12/08/2025,2.2,0.0, ,16.8,5.7,93,40,3.27,12.77
MOUNT NOWA NOWA,13/08/2025,1.5,1.8, ,13.9,7.2,99,59,2.55,10.86
MOUNT NOWA NOWA,14/08/2025,1.6,1.0, ,14.2,6.2,92,59,2.66,13.14
MOUNT NOWA NOWA,15/08/2025,2.2,0.0, ,14.3,7.9,98,47,6.29,6.42
MOUNT NOWA NOWA,16/08/2025,1.2,6.4, ,9.9,5.2,99,69,3.58,9.86
MOUNT NOWA NOWA,17/08/2025,1.3,0.2, ,10.7,2.5,89,62,2.21,11.08
MOUNT NOWA NOWA,18/08/2025,1.4,0.0, ,12.4,2.8,93,50,1.74,11.47
MOUNT NOWA NOWA,19/08/2025,1.6,0.0, ,13.8,3.4,99,56,1.92,13.82
MOUNT NOWA NOWA,20/08/2025,1.8,0.0, ,15.9,5.1,94,57,2.22,14.08
MOUNT NOWA NOWA,21/08/2025,1.7,0.0, ,17.9,7.9,95,63,2.04,12.58
MOUNT NOWA NOWA,22/08/2025,2.4,0.0, ,19.1,10.1,78,48,2.67,11.87
MOUNT NOWA NOWA,23/08/2025,1.7,0.0, ,15.3,9.1,91,60,2.53,9.49
MOUNT NOWA NOWA,24/08/2025,1.0,0.0, ,11.3,5.6,99,80,2.09,8.35
MOUNT NOWA NOWA,25/08/2025,2.0,0.8, ,18.8,7.0,99,62,2.56,14.16
MOUNT NOWA NOWA,26/08/2025,3.2,0.0, ,17.5,10.2,70,39,5.92,4.17
MOUNT NOWA NOWA,27/08/2025,3.0,2.8, ,17.5,9.1,98,40,6.19,12.73
MOUNT NOWA NOWA,28/08/2025,2.9,1.2, ,15.6,6.7,68,44,4.70,13.03
MOUNT NOWA NOWA,29/08/2025,3.1,0.0, ,16.4,7.5,93,40,6.59,14.31
MOUNT NOWA NOWA,30/08/2025,1.7,21.6, ,10.6,4.1,99,58,6.17,9.09
MOUNT NOWA NOWA,31/08/2025,2.5,0.6, ,16.8,4.6,81,48,3.29,14.32
Totals:,,55.6,45, ,,,,,, 
