'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/09/2025,2.2,0.0, ,16.0,7.5,90,44,2.15,14.57
MOUNT NOWA NOWA,02/09/2025,2.5,0.0, ,15.3,6.7,84,44,3.67,12.19
MOUNT NOWA NOWA,03/09/2025,3.7,0.0, ,19.5,8.4,74,34,4.98,14.03
MOUNT NOWA NOWA,04/09/2025,2.5,0.2, ,17.3,7.9,98,40,3.76,10.19
MOUNT NOWA NOWA,05/09/2025,2.1,5.0, ,13.1,3.3,91,45,2.57,14.52
MOUNT NOWA NOWA,06/09/2025,3.6,0.0, ,20.7,4.1,87,30,3.89,16.79
MOUNT NOWA NOWA,07/09/2025,4.8,0.0, ,20.9,9.1,53,42,8.87,8.15
MOUNT NOWA NOWA,08/09/2025,5.4,0.0, ,24.4,15.6,71,14,5.08,16.74
MOUNT NOWA NOWA,09/09/2025,2.9,0.0, ,17.6,9.2,82,42,2.83,17.36
MOUNT NOWA NOWA,10/09/2025,1.3,0.0, ,10.3,6.1,89,72,1.79,9.08
MOUNT NOWA NOWA,11/09/2025,1.7,2.4, ,14.6,5.6,100,67,3.21,11.55
MOUNT NOWA NOWA,12/09/2025,2.4,0.2, ,15.9,4.3,86,56,3.64,13.74
MOUNT NOWA NOWA,13/09/2025,2.5,0.0, ,17.0,8.2,89,55,2.36,17.46
MOUNT NOWA NOWA,14/09/2025,3.9,0.0, ,21.4,9.1,87,38,4.56,18.25
MOUNT NOWA NOWA,15/09/2025,5.9,0.0, ,24.4,11.8,55,24,6.09,18.33
MOUNT NOWA NOWA,16/09/2025,3.6,0.0, ,18.8,17.1,85,31,5.70,8.66
MOUNT NOWA NOWA,17/09/2025,3.4,0.0, ,17.4,8.2,83,34,3.84,17.73
MOUNT NOWA NOWA,18/09/2025,3.2,0.0, ,17.9,6.4,77,35,2.71,18.06
MOUNT NOWA NOWA,19/09/2025,5.3,0.0, ,21.7,9.7,66,28,7.18,15.55
MOUNT NOWA NOWA,20/09/2025,3.2,0.8, ,15.3,6.4,96,34,4.86,17.16
MOUNT NOWA NOWA,21/09/2025,3.6,0.0, ,19.7,7.0,99,35,4.99,14.98
MOUNT NOWA NOWA,22/09/2025,2.0,5.2, ,11.9,5.0,98,63,4.71,14.43
MOUNT NOWA NOWA,23/09/2025,2.6,3.2, ,17.0,5.0,94,55,3.44,15.80
MOUNT NOWA NOWA,24/09/2025,2.5,0.0, ,15.5,8.1,90,55,3.96,13.24
MOUNT NOWA NOWA,25/09/2025,1.8,0.8, ,14.7,8.7,89,56,2.97,6.08
MOUNT NOWA NOWA,26/09/2025,3.4,0.0, ,20.3,11.3,87,32,4.28,8.45
MOUNT NOWA NOWA,27/09/2025,3.0,0.0, ,18.0,8.7,94,55,1.92,20.82
MOUNT NOWA NOWA,28/09/2025,1.8,0.0, ,13.3,7.8,89,63,1.46,11.26
MOUNT NOWA NOWA,29/09/2025,3.3,0.0, ,19.8,7.5,86,36,1.74,21.21
MOUNT NOWA NOWA,30/09/2025,4.6,0.0, ,25.8,11.5,91,24,4.16,13.39
Totals:,,94.7,17.8, ,,,,,, 
