'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/08/2025,1.7,0.0, ,13.5,2.9,99,51,3.79,11.82
NHILL AERODROME,02/08/2025,1.3,0.0, ,13.9,0.8,99,53,1.69,12.39
NHILL AERODROME,03/08/2025,1.8,0.0, ,17.2,-0.9,100,40,2.13,12.57
NHILL AERODROME,04/08/2025, ,0.0, , ,6.0,89,41,4.84,10.14
NHILL AERODROME,05/08/2025,2.2, , ,15.3,5.5,100,47,5.22,11.38
NHILL AERODROME,06/08/2025,1.9,0.0, ,14.8,5.7,100,49,3.95,12.29
NHILL AERODROME,07/08/2025,1.6,0.0, ,12.0,0.8,99,47,2.91,12.44
NHILL AERODROME,08/08/2025,1.9,0.0, ,14.4,-0.3,99,54,4.47,13.18
NHILL AERODROME,09/08/2025,1.7,0.0, ,15.3,5.0,88,62,3.81,10.64
NHILL AERODROME,10/08/2025,2.3,0.0, ,17.2,7.7,84,55,4.46,12.95
NHILL AERODROME,11/08/2025,2.7,0.0, ,18.6,6.2,85,50,4.90,13.46
NHILL AERODROME,12/08/2025,1.7,12.4, ,16.7,8.5,100,59,3.68,9.30
NHILL AERODROME,13/08/2025,1.8,1.0, ,15.2,4.2,100,44,2.22,13.85
NHILL AERODROME,14/08/2025,2.0,0.0, ,17.3,2.4,99,47,2.51,13.99
NHILL AERODROME,15/08/2025,2.2,0.2, ,15.1,8.5,89,57,6.06,11.02
NHILL AERODROME,16/08/2025,1.7,0.6, ,11.9,2.5,99,57,4.39,13.19
NHILL AERODROME,17/08/2025,1.7,1.0, ,12.2,6.2,100,54,3.25,13.02
NHILL AERODROME,18/08/2025,2.0,0.2, ,13.5,3.6,100,48,4.08,14.36
NHILL AERODROME,19/08/2025,1.6,0.0, ,12.9,-0.7,95,47,1.80,14.53
NHILL AERODROME,20/08/2025,2.5,0.2, ,17.8,0.9,93,46,3.80,14.87
NHILL AERODROME,21/08/2025,2.7,0.0, ,18.7,5.3,85,48,3.80,14.89
NHILL AERODROME,22/08/2025,2.3,0.0, ,18.2,9.7,93,44,3.25,8.89
NHILL AERODROME,23/08/2025,2.2,0.0, ,16.4,5.0,100,41,2.58,14.63
NHILL AERODROME,24/08/2025,2.3,0.0, ,16.5,2.3,93,44,2.87,15.49
NHILL AERODROME,25/08/2025,2.6,0.0, ,17.7,6.6,75,45,3.94,9.20
NHILL AERODROME,26/08/2025,2.0,1.4, ,16.3,10.4,100,54,4.60,8.07
NHILL AERODROME,27/08/2025,2.7,7.6, ,13.8,8.0,93,51,8.84,14.23
NHILL AERODROME,28/08/2025,2.0,1.4, ,14.0,7.6,96,66,7.67,12.21
NHILL AERODROME,29/08/2025,1.7,2.4, ,10.6,6.8,99,63,9.43,10.03
NHILL AERODROME,30/08/2025,2.4,5.6, ,13.2,3.3,94,52,6.41,14.80
NHILL AERODROME,31/08/2025,2.1,0.2, ,14.9,5.9,99,60,4.66,14.69
Totals:,,61.3,34.2, ,,,,,, 
