'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/09/2025,2.1,0.4, ,15.8,4.9,100,52,2.87,14.70
NHILL AERODROME,02/09/2025,2.9,1.0, ,18.3,4.7,99,44,4.85,15.07
NHILL AERODROME,03/09/2025,3.0,0.0, ,16.2,6.2,87,42,5.18,15.12
NHILL AERODROME,04/09/2025,2.3,2.6, ,14.7,6.9,99,55,4.66,14.75
NHILL AERODROME,05/09/2025,2.6,0.4, ,14.3,-0.5,92,41,4.05,16.41
NHILL AERODROME,06/09/2025,3.2,0.0, ,19.3,4.9,79,51,6.61,8.85
NHILL AERODROME,07/09/2025,3.9,1.8, ,24.0,9.9,79,45,5.70,10.22
NHILL AERODROME,08/09/2025,3.2,0.4, ,19.0,7.4,93,45,5.35,15.33
NHILL AERODROME,09/09/2025,2.2,0.0, ,17.1,3.0,100,55,2.63,13.96
NHILL AERODROME,10/09/2025,1.9,0.2, ,13.4,6.1,93,63,5.54,9.83
NHILL AERODROME,11/09/2025,2.6,0.6, ,16.4,5.3,99,50,4.78,15.09
NHILL AERODROME,12/09/2025,2.2,0.2, ,16.0,3.5,99,60,3.35,15.05
NHILL AERODROME,13/09/2025,2.5,0.2, ,18.0,3.2,99,47,1.89,17.92
NHILL AERODROME,14/09/2025,4.4,0.2, ,22.2,6.0,88,28,4.71,19.02
NHILL AERODROME,15/09/2025,6.0,0.0, ,27.2,9.0,85,20,5.99,14.58
NHILL AERODROME,16/09/2025,2.7,1.6, ,16.0,11.2,94,56,6.46,13.77
NHILL AERODROME,17/09/2025,2.7,1.4, ,15.0,4.3,96,49,4.52,17.60
NHILL AERODROME,18/09/2025,4.4,0.2, ,22.9,2.8,91,25,3.95,19.39
NHILL AERODROME,19/09/2025,4.3,0.2, ,19.2,8.0,91,36,7.43,19.75
NHILL AERODROME,20/09/2025,2.7,0.2, ,15.1,3.6,93,54,5.95,16.70
NHILL AERODROME,21/09/2025,2.7,1.0, ,17.3,8.4,99,61,6.62,15.96
NHILL AERODROME,22/09/2025,3.3,1.0, ,17.0,3.8,90,44,5.29,17.97
NHILL AERODROME,23/09/2025,2.4,0.2, ,16.0,5.0,93,60,4.59,12.87
NHILL AERODROME,24/09/2025,3.3,0.0, ,17.9,10.4,89,52,6.63,15.93
NHILL AERODROME,25/09/2025,3.3,0.0, ,18.5,10.3,82,51,6.30,12.37
NHILL AERODROME,26/09/2025,5.8,0.0, ,23.0,6.1,90,24,7.82,19.69
NHILL AERODROME,27/09/2025,3.5,0.0, ,18.2,3.6,98,40,4.93,17.64
NHILL AERODROME,28/09/2025,2.9,0.0, ,18.1,5.8,96,43,2.37,17.33
NHILL AERODROME,29/09/2025,4.3,0.0, ,24.1,4.1,85,27,3.58,16.23
NHILL AERODROME,30/09/2025,3.6,5.0, ,18.6,11.8,98,45,6.17,17.22
Totals:,,96.9,18.8, ,,,,,, 
