'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/08/2025,1.1,4.4, ,12.7,-1.9,99,62,1.70,11.76
OMEO,02/08/2025,1.1,0.4, ,11.9,2.5,99,68,2.28,10.50
OMEO,03/08/2025,1.3,0.2, ,16.5,-1.8,99,38,1.09,12.16
OMEO,04/08/2025,2.1,0.2, ,15.9,-1.1,99,48,4.76,12.19
OMEO,05/08/2025,2.1,0.8, ,13.9,1.8,94,39,4.05,12.31
OMEO,06/08/2025,1.4,0.0, ,11.2,0.2,98,60,3.74,9.72
OMEO,07/08/2025,1.3,0.0, ,12.3,4.0,95,53,1.69,12.55
OMEO,08/08/2025,1.3,0.2, ,13.4,-4.3,99,50,1.53,12.74
OMEO,09/08/2025,1.3,0.0, ,14.9,0.3,99,54,1.03,12.43
OMEO,10/08/2025,1.5,0.0, ,15.4,-3.3,99,41,1.47,13.03
OMEO,11/08/2025,1.4,0.2, ,14.3,-0.8,99,38,1.29,12.79
OMEO,12/08/2025,1.6,0.2, ,13.5,-3.4,99,44,2.18,13.00
OMEO,13/08/2025,1.2,1.2, ,13.1,1.0,99,63,1.65,8.44
OMEO,14/08/2025,1.6,0.2, ,14.8,1.5,91,44,1.58,13.45
OMEO,15/08/2025,1.7,0.0, ,11.3,4.0,94,53,5.53,5.88
OMEO,16/08/2025,1.1,1.4, ,8.8,0.5,99,60,1.69,9.84
OMEO,17/08/2025,1.1,1.0, ,8.1,-0.7,99,54,1.68,10.16
OMEO,18/08/2025,1.2,1.6, ,10.1,-1.3,99,52,1.31,11.66
OMEO,19/08/2025,1.8,0.2, ,14.9,-4.8,99,33,1.58,13.86
OMEO,20/08/2025,1.8,0.0, ,16.9,-4.3,99,35,1.44,14.39
OMEO,21/08/2025,1.5,0.0, ,17.0,-1.4,99,52,1.06,12.28
OMEO,22/08/2025,1.8,0.2, ,15.4,0.1,99,51,2.28,12.76
OMEO,23/08/2025,1.7,0.0, ,15.7,0.0,99,55,2.36,11.26
OMEO,24/08/2025,1.6,0.0, ,12.8,1.4,96,57,2.24,12.54
OMEO,25/08/2025,2.1,0.0, ,17.6,0.4,99,48,2.57,13.85
OMEO,26/08/2025,2.8,0.0, ,16.2,4.4,91,45,6.66,10.24
OMEO,27/08/2025,2.2,7.4, ,11.4,7.7,96,51,6.57,13.43
OMEO,28/08/2025,2.3,10.6, ,11.5,3.9,96,47,6.02,14.23
OMEO,29/08/2025,2.1,0.8, ,11.5,4.3,96,53,6.32,12.76
OMEO,30/08/2025,1.6,9.0, ,9.1,2.0,97,55,3.59,11.28
OMEO,31/08/2025,2.3,0.0, ,13.4,-1.1,99,45,4.06,16.02
Totals:,,51,40.2, ,,,,,, 
