'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/09/2025,2.0,0.0, ,13.7,0.7,99,49,2.28,15.40
OMEO,02/09/2025,2.0,0.0, ,13.1,-0.2,99,46,3.22,13.60
OMEO,03/09/2025,2.9,0.0, ,14.0,4.6,79,47,6.21,14.56
OMEO,04/09/2025,2.5,0.0, ,13.2,8.1,99,41,4.99,13.89
OMEO,05/09/2025,2.0,0.0, ,12.5,-2.7,99,39,1.70,16.77
OMEO,06/09/2025,3.1,0.2, ,17.8,-1.9,95,29,3.47,17.08
OMEO,07/09/2025,3.5, , ,19.4,4.3,81,47,7.06,12.27
OMEO,08/09/2025,4.3,0.6, ,18.9,11.8,93,23,6.76,17.12
OMEO,09/09/2025,3.7,0.0, ,18.2,4.7,87,21,4.07,17.63
OMEO,10/09/2025,1.8,0.0, ,11.8,5.5,99,56,3.95,10.29
OMEO,11/09/2025,2.0,2.4, ,13.0,3.8,99,51,2.40,14.05
OMEO,12/09/2025,2.2,0.2, ,15.9,-3.5,99,43,1.31,17.60
OMEO,13/09/2025,2.6,0.0, ,18.1,-0.5,98,42,1.87,17.77
OMEO,14/09/2025,2.8,0.2, ,16.1,0.9,100,45,4.11,18.49
OMEO,15/09/2025,4.6,0.0, ,19.0,9.4,73,34,7.32,18.77
OMEO,16/09/2025,2.5,0.0, ,13.3,12.1,99,37,6.68,6.46
OMEO,17/09/2025,2.8,11.2, ,13.4,5.4,96,39,4.67,17.15
OMEO,18/09/2025,2.7,0.0, ,14.7,-1.4,97,41,3.03,18.97
OMEO,19/09/2025,3.5,0.0, ,17.1,2.4,94,39,6.07,17.61
OMEO,20/09/2025,3.1,2.2, ,12.7,4.1,78,36,4.59,18.78
OMEO,21/09/2025,2.6,0.2, ,13.9,4.6,90,56,5.44,17.32
OMEO,22/09/2025,2.1,0.0, ,11.4,3.0,90,50,2.60,14.61
OMEO,23/09/2025,2.6,0.4, ,16.3,1.3,91,47,2.32,17.54
OMEO,24/09/2025,3.1,0.2, ,17.1,4.1,99,34,3.49,15.64
OMEO,25/09/2025,3.2,0.2, ,16.6,6.8,93,34,4.92,13.04
OMEO,26/09/2025,4.2,0.0, ,18.5,8.0,78,35,6.14,18.16
OMEO,27/09/2025,4.6,0.0, ,19.4,1.9,83,23,5.32,21.17
OMEO,28/09/2025,2.8,0.0, ,16.4,2.9,96,54,3.19,18.92
OMEO,29/09/2025,3.5,0.0, ,19.0,6.4,89,41,3.03,20.75
OMEO,30/09/2025,3.8,0.0, ,20.0,6.4,84,34,4.52,14.14
Totals:,,89.1,18, ,,,,,, 
