'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/08/2025,1.0,1.0, ,13.6,4.6,97,65,1.06,10.56
ORBOST,02/08/2025,0.8,0.4, ,13.0,6.9,98,80,0.76,7.73
ORBOST,03/08/2025,1.2,1.0, ,17.7,3.8,98,55,1.13,11.85
ORBOST,04/08/2025,1.5,0.0, ,20.8,5.2,96,47,1.19,11.94
ORBOST,05/08/2025,1.7,1.0, ,19.7,7.8,94,47,1.87,11.74
ORBOST,06/08/2025,1.7,0.2, ,16.6,5.9,88,49,2.52,8.45
ORBOST,07/08/2025,1.5,0.6, ,13.4,8.1,78,52,1.97,9.04
ORBOST,08/08/2025,1.1,0.0, ,14.6,4.3,97,59,0.99,10.14
ORBOST,09/08/2025,1.3,0.0, ,16.1,5.4,97,59,1.27,11.66
ORBOST,10/08/2025,1.3,0.0, ,16.4,2.9,97,59,1.26,12.61
ORBOST,11/08/2025,1.2,0.0, ,15.4,3.0,98,60,0.83,12.18
ORBOST,12/08/2025,1.3,0.2, ,17.7,2.9,97,47,0.74,12.89
ORBOST,13/08/2025,1.4,0.6, ,14.9,7.7,93,57,1.77,10.97
ORBOST,14/08/2025,1.5,0.0, ,15.8,8.2,89,58,1.64,12.03
ORBOST,15/08/2025,1.5,0.2, ,17.1,4.7,91,47,1.44,8.84
ORBOST,16/08/2025,1.5,5.0, ,12.4,5.6,94,57,2.80,9.51
ORBOST,17/08/2025,1.5,0.0, ,12.7,3.5,90,54,2.09,10.44
ORBOST,18/08/2025,1.4,0.2, ,13.1,2.6,92,50,1.68,11.20
ORBOST,19/08/2025,1.4,0.0, ,15.0,0.2,98,58,0.98,13.86
ORBOST,20/08/2025,1.7,0.2, ,18.9,1.7,98,52,1.14,14.12
ORBOST,21/08/2025,1.7,0.0, ,19.6,3.9,98,57,1.32,13.90
ORBOST,22/08/2025,1.8,0.0, ,20.5,6.6,96,45,1.18,13.01
ORBOST,23/08/2025,1.7,0.0, ,16.3,9.3,87,64,2.01,11.32
ORBOST,24/08/2025,1.2,1.2, ,14.2,7.0,98,77,2.02,8.43
ORBOST,25/08/2025,1.8,4.4, ,19.9,9.0,98,65,1.44,14.04
ORBOST,26/08/2025,1.8,0.2, ,18.9,10.7,98,38,2.14,4.60
ORBOST,27/08/2025,3.5,0.4, ,19.1,11.2,85,35,5.22,14.71
ORBOST,28/08/2025,2.6,0.4, ,16.2,8.6,71,42,3.50,10.98
ORBOST,29/08/2025,3.3,0.8, ,18.5,6.7,76,33,4.18,14.62
ORBOST,30/08/2025,2.1,18.4, ,12.1,5.7,93,52,6.11,10.68
ORBOST,31/08/2025,2.3,4.2, ,17.2,7.5,88,50,2.68,13.56
Totals:,,51.3,40.6, ,,,,,, 
