'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/09/2025,2.2,0.6, ,16.7,8.4,95,44,2.01,15.00
ORBOST,02/09/2025,2.1,0.0, ,17.9,4.4,97,41,1.47,15.37
ORBOST,03/09/2025,3.4,0.0, ,20.5,8.3,90,36,4.29,15.79
ORBOST,04/09/2025,2.4,0.2, ,18.4,7.9,96,41,2.68,11.73
ORBOST,05/09/2025,2.2,0.6, ,14.3,5.3,85,46,2.20,15.60
ORBOST,06/09/2025,2.3,0.2, ,20.8,1.7,95,34,1.03,16.90
ORBOST,07/09/2025,3.0,0.0, ,24.6,9.0,72,39,2.57,9.96
ORBOST,08/09/2025,3.4,0.2, ,24.1,14.9,80,37,2.47,16.53
ORBOST,09/09/2025,2.7,0.0, ,17.7,7.5,80,47,2.47,16.71
ORBOST,10/09/2025,1.6,0.0, ,13.0,7.2,83,64,1.59,10.53
ORBOST,11/09/2025,2.0,5.8, ,14.9,7.7,97,62,2.94,13.98
ORBOST,12/09/2025,2.6,0.0, ,17.3,7.0,81,50,3.02,14.65
ORBOST,13/09/2025,2.5,0.0, ,17.9,11.0,91,54,1.82,17.05
ORBOST,14/09/2025,3.0,0.0, ,22.5,6.7,95,36,1.74,18.49
ORBOST,15/09/2025,3.2,0.0, ,25.8,6.8,83,25,1.26,18.66
ORBOST,16/09/2025,3.2,0.0, ,21.2,16.3,79,28,3.20,7.83
ORBOST,17/09/2025,3.5,0.4, ,18.6,8.3,85,33,3.48,18.79
ORBOST,18/09/2025,2.7,0.0, ,18.5,4.9,89,39,1.57,18.75
ORBOST,19/09/2025,4.0,0.2, ,24.4,8.3,72,32,3.25,14.56
ORBOST,20/09/2025,3.3,2.2, ,15.9,8.0,91,33,4.13,18.27
ORBOST,21/09/2025,3.4,0.0, ,20.7,9.6,95,38,3.87,14.30
ORBOST,22/09/2025,2.5,5.0, ,13.8,7.0,94,54,4.09,17.70
ORBOST,23/09/2025,2.5,1.2, ,17.1,6.9,82,54,2.74,13.86
ORBOST,24/09/2025,2.7,0.0, ,17.7,7.5,91,50,3.52,14.11
ORBOST,25/09/2025,1.7,0.2, ,17.0,7.9,95,59,1.72,7.81
ORBOST,26/09/2025,2.7,0.0, ,21.6,9.4,94,35,2.64,8.07
ORBOST,27/09/2025,2.7,0.0, ,16.0,8.2,95,61,1.58,20.98
ORBOST,28/09/2025,1.8,0.0, ,15.0,7.4,93,61,1.53,11.17
ORBOST,29/09/2025,3.0,0.0, ,19.8,7.7,96,46,0.95,21.33
ORBOST,30/09/2025,3.7,0.0, ,26.9,9.3,92,26,2.15,13.80
Totals:,,82,16.8, ,,,,,, 
