'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/08/2025,1.1,0.0, ,12.4,2.0,95,68,2.59,11.28
POINT COOK RAAF,02/08/2025,1.4,0.0, ,14.6,6.6,94,62,3.08,10.15
POINT COOK RAAF,03/08/2025,1.3,0.0, ,14.4,1.0,94,55,1.84,11.74
POINT COOK RAAF,04/08/2025,2.6,0.2, ,17.7,5.2,81,54,7.09,8.27
POINT COOK RAAF,05/08/2025,2.6,2.2, ,17.4,8.1,85,44,5.19,11.36
POINT COOK RAAF,06/08/2025,1.6,0.0, ,15.6,6.7,87,60,3.23,9.50
POINT COOK RAAF,07/08/2025,1.3,0.8, ,13.7,3.1,93,53,2.06,9.07
POINT COOK RAAF,08/08/2025,1.1,0.2, ,13.1,4.5,94,72,2.31,10.46
POINT COOK RAAF,09/08/2025,1.2,0.0, ,13.3,2.2,96,68,2.01,12.46
POINT COOK RAAF,10/08/2025,1.1,0.2, ,13.3,2.8,96,73,1.83,12.39
POINT COOK RAAF,11/08/2025,2.0,0.0, ,19.2,2.1,95,35,1.97,12.74
POINT COOK RAAF,12/08/2025,1.9,0.0, ,16.1,5.8,95,48,3.79,6.52
POINT COOK RAAF,13/08/2025,1.6,7.4, ,14.9,4.8,95,60,3.06,12.84
POINT COOK RAAF,14/08/2025,2.1,0.0, ,16.4,2.9,94,42,3.08,13.16
POINT COOK RAAF,15/08/2025,2.2,0.0, ,15.1,8.7,88,54,6.53,5.30
POINT COOK RAAF,16/08/2025,1.8,3.4, ,13.2,5.4,90,55,3.75,12.01
POINT COOK RAAF,17/08/2025,1.6,0.8, ,14.0,2.5,89,54,2.83,9.31
POINT COOK RAAF,18/08/2025,1.7,0.0, ,13.1,5.2,90,52,3.43,9.28
POINT COOK RAAF,19/08/2025,1.5,0.0, ,13.1,-0.2,93,56,2.24,13.76
POINT COOK RAAF,20/08/2025,1.8,0.0, ,15.2,-0.2,92,42,2.03,14.05
POINT COOK RAAF,21/08/2025,2.0,0.0, ,17.0,1.5,90,51,2.35,14.20
POINT COOK RAAF,22/08/2025,2.7,0.0, ,20.8,7.5,85,45,3.76,9.86
POINT COOK RAAF,23/08/2025,1.9,0.0, ,15.3,6.3,93,59,3.17,14.13
POINT COOK RAAF,24/08/2025,1.9,0.0, ,14.3,3.2,92,51,2.72,14.44
POINT COOK RAAF,25/08/2025,3.1,0.0, ,20.0,1.2,95,31,3.99,10.38
POINT COOK RAAF,26/08/2025,3.4,0.0, ,18.0,7.3,90,40,8.36,4.60
POINT COOK RAAF,27/08/2025,3.0,7.4, ,16.8,9.9,89,48,8.10,11.07
POINT COOK RAAF,28/08/2025,3.4,0.2, ,16.7,8.7,76,42,6.54,12.65
POINT COOK RAAF,29/08/2025,2.3,0.2, ,14.4,7.6,83,58,7.19,6.79
POINT COOK RAAF,30/08/2025,2.3,14.0, ,12.9,5.2,92,59,9.25,12.27
POINT COOK RAAF,31/08/2025,2.4,1.8, ,16.9,6.1,90,49,3.93,11.77
Totals:,,61.9,38.8, ,,,,,, 
