'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/09/2025,2.1,1.0, ,16.3,6.7,89,56,3.06,12.40
POINT COOK RAAF,02/09/2025,2.9,0.6, ,17.9,7.8,89,41,4.87,10.29
POINT COOK RAAF,03/09/2025,3.8,0.4, ,19.6,9.7,84,33,5.56,13.31
POINT COOK RAAF,04/09/2025,2.7,0.0, ,15.3,9.7,86,51,5.97,12.92
POINT COOK RAAF,05/09/2025,2.3,1.0, ,13.5,1.5,92,45,3.19,16.54
POINT COOK RAAF,06/09/2025,4.1,0.0, ,22.2,1.8,92,34,5.25,16.20
POINT COOK RAAF,07/09/2025,3.7,0.0, ,19.4,11.6,81,50,10.10,8.11
POINT COOK RAAF,08/09/2025,3.6,0.8, ,21.1,8.9,86,37,4.84,11.65
POINT COOK RAAF,09/09/2025,2.7,0.6, ,17.6,10.3,93,50,4.34,13.17
POINT COOK RAAF,10/09/2025,2.0,0.0, ,13.7,4.4,90,63,5.05,11.40
POINT COOK RAAF,11/09/2025,2.5,3.4, ,15.4,8.9,92,55,5.29,13.31
POINT COOK RAAF,12/09/2025,2.7,1.2, ,18.6,4.0,93,52,3.51,15.49
POINT COOK RAAF,13/09/2025,2.4,0.2, ,18.2,8.8,93,57,2.83,14.35
POINT COOK RAAF,14/09/2025,4.5,0.0, ,22.6,8.4,85,33,5.38,18.22
POINT COOK RAAF,15/09/2025,7.7,0.0, ,26.0,12.9,58,21,9.51,16.80
POINT COOK RAAF,16/09/2025,4.4,0.0, ,20.8,14.5,76,36,6.63,12.63
POINT COOK RAAF,17/09/2025,3.8,0.0, ,17.0,8.9,75,37,5.51,16.86
POINT COOK RAAF,18/09/2025,4.4,0.0, ,21.3,4.2,86,31,5.57,17.92
POINT COOK RAAF,19/09/2025,6.1,0.0, ,23.4,13.1,84,25,9.84,15.55
POINT COOK RAAF,20/09/2025,3.3,0.4, ,16.2,6.7,82,43,5.60,14.60
POINT COOK RAAF,21/09/2025,2.7,0.2, ,17.9,9.8,89,49,5.73,6.41
POINT COOK RAAF,22/09/2025,3.1,0.2, ,15.4,5.4,85,48,5.78,17.26
POINT COOK RAAF,23/09/2025,3.1,1.0, ,18.8,7.2,88,49,4.55,14.56
POINT COOK RAAF,24/09/2025,2.6,0.0, ,17.4,12.1,91,59,4.68,12.87
POINT COOK RAAF,25/09/2025,2.8,1.0, ,17.2,11.1,79,53,5.31,7.89
POINT COOK RAAF,26/09/2025,4.5,0.0, ,24.1,12.3,84,28,5.32,9.55
POINT COOK RAAF,27/09/2025,4.1,0.0, ,19.6,6.6,83,33,5.09,17.34
POINT COOK RAAF,28/09/2025,2.8,0.0, ,16.4,7.2,89,53,3.51,17.68
POINT COOK RAAF,29/09/2025,4.6,0.0, ,24.4,4.6,89,31,3.76,20.38
POINT COOK RAAF,30/09/2025,2.9,0.8, ,21.0,12.6,89,45,4.12,7.26
Totals:,,104.9,12.8, ,,,,,, 
