'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/08/2025,1.1,0.0, ,14.4,1.6,95,60,1.66,11.11
PORT FAIRY,02/08/2025,1.1,0.0, ,15.1,5.6,90,64,1.63,9.36
PORT FAIRY,03/08/2025,1.9,0.0, ,17.7,2.7,94,44,2.92,11.23
PORT FAIRY,04/08/2025,2.5,0.0, ,19.3,6.4,87,43,4.39,8.37
PORT FAIRY,05/08/2025,2.0,0.8, ,15.9,8.5,88,58,4.81,11.03
PORT FAIRY,06/08/2025,2.2,0.6, ,14.3,9.7,91,48,5.58,9.95
PORT FAIRY,07/08/2025,1.4,0.4, ,13.4,8.0,82,55,2.19,7.08
PORT FAIRY,08/08/2025,1.1,0.4, ,14.4,5.4,95,77,2.46,11.19
PORT FAIRY,09/08/2025,1.4,0.0, ,15.1,8.4,92,68,2.74,12.33
PORT FAIRY,10/08/2025,1.9,0.0, ,18.8,5.3,92,49,2.53,12.45
PORT FAIRY,11/08/2025,2.3,0.2, ,19.4,7.0,85,47,3.33,12.60
PORT FAIRY,12/08/2025,1.3,6.6, ,14.9,9.7,95,72,3.75,7.49
PORT FAIRY,13/08/2025,1.6,4.2, ,16.5,7.4,92,60,2.15,11.94
PORT FAIRY,14/08/2025,2.3,0.0, ,18.3,4.8,93,46,3.61,12.80
PORT FAIRY,15/08/2025,2.3,0.6, ,15.1,9.1,90,54,6.94,9.31
PORT FAIRY,16/08/2025,1.9,12.6, ,13.6,6.3,94,57,5.83,10.82
PORT FAIRY,17/08/2025,1.4,0.8, ,13.7,4.8,90,68,3.18,9.27
PORT FAIRY,18/08/2025,1.9,0.0, ,13.1,8.0,83,52,3.74,7.92
PORT FAIRY,19/08/2025,1.7,0.0, ,14.4,4.0,86,51,1.91,13.19
PORT FAIRY,20/08/2025,2.2,0.0, ,19.3,0.9,90,44,2.51,13.90
PORT FAIRY,21/08/2025,2.4,0.0, ,20.8,5.7,82,46,2.61,13.63
PORT FAIRY,22/08/2025,2.0,0.0, ,18.6,10.6,91,51,2.97,8.12
PORT FAIRY,23/08/2025,2.1,0.6, ,16.1,9.4,92,52,2.92,13.47
PORT FAIRY,24/08/2025,1.9,0.0, ,15.4,2.2,89,53,2.40,14.48
PORT FAIRY,25/08/2025,2.3,0.0, ,17.8,6.8,86,50,3.62,9.18
PORT FAIRY,26/08/2025,2.2,1.4, ,18.4,8.7,91,55,4.74,6.36
PORT FAIRY,27/08/2025,2.4,2.8, ,14.3,9.2,92,56,7.68,11.31
PORT FAIRY,28/08/2025,2.1,18.0, ,14.9,7.1,93,65,5.34,14.45
PORT FAIRY,29/08/2025,1.5,1.6, ,11.8,8.1,92,75,7.99,8.62
PORT FAIRY,30/08/2025,2.5,13.8, ,14.0,6.8,92,57,9.89,11.53
PORT FAIRY,31/08/2025,2.1,2.0, ,15.6,9.8,93,66,5.10,13.45
Totals:,,59,67.4, ,,,,,, 
